"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",1.28,0,3.52499999999999
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",7.15273,2,12.95315
4,45,30,37.5,"N",31.88413,28.4867,35.051625
5,30,15,22.5,"N",26.10434,22.33215,29.423125
6,15,0,7.5,"N",8.93563,4.993375,13.3986
7,0,-15,-7.5,"S",1.26,0,4
8,-15,-30,-22.5,"S",5.40125,1,10.420475
9,-30,-45,-37.5,"S",4.63609,1,9.138975
10,-45,-60,-52.5,"S",1.09,0,3.52499999999999
11,-60,-75,-67.5,"S",1.03,0,3
12,-75,-90,-82.5,"S",NA,NA,NA
