"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",NA,NA,NA
4,45,30,37.5,"N",22.2213,17.0508,26.5383
5,30,15,22.5,"N",8.23707,3.475,13.633775
6,15,0,7.5,"N",9.63168,4.999,14.32235
7,0,-15,-7.5,"S",5.67983,1,10.911525
8,-15,-30,-22.5,"S",1.90988,0,4.99905
9,-30,-45,-37.5,"S",11.43533,6.975075,16.219575
10,-45,-60,-52.5,"S",2.01994,0,5.52289999999999
11,-60,-75,-67.5,"S",2.00999,0,4
12,-75,-90,-82.5,"S",NA,NA,NA
