"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",3.3971,1,7.49102499999999
3,60,45,52.5,"N",0.78,0,2.52499999999999
4,45,30,37.5,"N",16.18021,10.821325,20.99295
5,30,15,22.5,"N",14.32218,8.8912,19.52885
6,15,0,7.5,"N",3.25953,0,6.996575
7,0,-15,-7.5,"S",8.11475,3.473575,12.082375
8,-15,-30,-22.5,"S",10.14322,4.474525,15.226875
9,-30,-45,-37.5,"S",2.77979,1,6.52237499999999
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",NA,NA,NA
