"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",0.6,0,2
2,75,60,67.5,"N",5.55645,2,9.90165
3,60,45,52.5,"N",12.98758,7.9799,18.162125
4,45,30,37.5,"N",31.61381,28.072525,34.569425
5,30,15,22.5,"N",23.57915,19.46435,28.1408
6,15,0,7.5,"N",0.3,0,1.52499999999999
7,0,-15,-7.5,"S",NA,NA,NA
8,-15,-30,-22.5,"S",4.80114,1,10.40555
9,-30,-45,-37.5,"S",4.57116,2,8.89725
10,-45,-60,-52.5,"S",0.37,0,1.52499999999999
11,-60,-75,-67.5,"S",1.80997,0,4.52499999999999
12,-75,-90,-82.5,"S",NA,NA,NA
