"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",1.28,0,3.52499999999999
3,60,45,52.5,"N",NA,NA,NA
4,45,30,37.5,"N",21.01204,16.735675,25.170225
5,30,15,22.5,"N",7.7918,2.475,13.109675
6,15,0,7.5,"N",8.34141,3,13.52905
7,0,-15,-7.5,"S",9.49366,3,15.1856
8,-15,-30,-22.5,"S",9.31088000000001,4,14.924725
9,-30,-45,-37.5,"S",3.50782,0,7.50614999999999
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",5.3197,2,11.6438
12,-75,-90,-82.5,"S",NA,NA,NA
