"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",2.18997,0,5
3,60,45,52.5,"N",0.89,0,3
4,45,30,37.5,"N",13.97912,8.768125,19.300875
5,30,15,22.5,"N",6.13771,2.998425,11.5976
6,15,0,7.5,"N",4.42029,1,8.47344999999999
7,0,-15,-7.5,"S",1.62995,0,4.52237499999999
8,-15,-30,-22.5,"S",3.20977,1,6.997
9,-30,-45,-37.5,"S",12.4798,7.452575,17.8141
10,-45,-60,-52.5,"S",9.03198,4,14.520875
11,-60,-75,-67.5,"S",3.31919,0,6.998525
12,-75,-90,-82.5,"S",NA,NA,NA
