"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",7.6151,2,12.82
2,75,60,67.5,"N",10.734,5.475,16.23575
3,60,45,52.5,"N",15.4299,9.92,21.17025
4,45,30,37.5,"N",30.2834,26.55075,33.12
5,30,15,22.5,"N",19.8802,14.708,24.214
6,15,0,7.5,"N",1.55,0,4
7,0,-15,-7.5,"S",2.23,0,5
8,-15,-30,-22.5,"S",3.2995,0,7.50924999999999
9,-30,-45,-37.5,"S",7.1001,3,13.31175
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",4.934,1,9.48399999999999
