"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",17.6668,12.5085,22.36
4,45,30,37.5,"N",28.8469,24.47575,32.13525
5,30,15,22.5,"N",9.8244,5,14.561
6,15,0,7.5,"N",10.7717,6.456,15.73475
7,0,-15,-7.5,"S",1.6,0,4.52499999999999
8,-15,-30,-22.5,"S",5.7932,1.475,10.4545
9,-30,-45,-37.5,"S",11.5107,6.4655,17.1305
10,-45,-60,-52.5,"S",1.51,0,4.52499999999999
11,-60,-75,-67.5,"S",NA,NA,NA
12,-75,-90,-82.5,"S",NA,NA,NA
