"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",NA,NA,NA
2,75,60,67.5,"N",NA,NA,NA
3,60,45,52.5,"N",NA,NA,NA
4,45,30,37.5,"N",19.56109,14.435725,24.996
5,30,15,22.5,"N",12.09063,6.94395,18.97915
6,15,0,7.5,"N",13.23705,6.458375,18.407575
7,0,-15,-7.5,"S",20.94075,17.147075,24.78555
8,-15,-30,-22.5,"S",12.97297,6.99385,18.887075
9,-30,-45,-37.5,"S",15.91105,9.9129,20.90115
10,-45,-60,-52.5,"S",1.74997,0,5
11,-60,-75,-67.5,"S",16.91374,12.067475,22.53615
12,-75,-90,-82.5,"S",7.01084,2,12.008975
