"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",1.81996,0,5.999525
2,75,60,67.5,"N",0.48,0,2
3,60,45,52.5,"N",10.92275,4.999475,16.12465
4,45,30,37.5,"N",8.23719,3,13.43115
5,30,15,22.5,"N",16.59007,11.41435,22.0203
6,15,0,7.5,"N",5.12596,1,9.38362499999999
7,0,-15,-7.5,"S",14.56334,8.8571,19.915
8,-15,-30,-22.5,"S",12.36643,7.876025,17.048825
9,-30,-45,-37.5,"S",5.7808,2,9.9221
10,-45,-60,-52.5,"S",0.9,0,3
11,-60,-75,-67.5,"S",2.71947,0,6
12,-75,-90,-82.5,"S",2.02956,0,6.52062499999999
