"id","x","y","rep","collections"
10,36.5,25.5,1,9
45,-21.5,-39.5,1,5
55,-162.5,72.5,1,1
63,80.5,-78.5,1,3
63,77.5,-78.5,1,1
69,30.5,40.5,1,1
145,29.5,38.5,1,1
172,20.5,36.5,1,24
173,21.5,37.5,1,4
216,27.5,35.5,1,2
224,31.5,34.5,1,1
293,20.5,37.5,1,6
293,20.5,28.5,1,1
293,21.5,37.5,1,4
330,-43.5,31.5,1,3
333,18.5,24.5,1,1
343,29.5,39.5,1,1
409,-46.5,41.5,1,1
419,-43.5,31.5,1,3
447,20.5,28.5,1,1
447,27.5,35.5,1,2
465,155.5,69.5,1,4
468,9.5,25.5,1,1
476,27.5,35.5,1,2
490,9.5,25.5,1,1
496,27.5,35.5,1,2
510,77.5,-78.5,1,1
521,80.5,-78.5,1,3
521,75.5,-78.5,1,1
552,155.5,69.5,1,4
567,-21.5,-39.5,1,5
570,34.5,23.5,1,1
578,80.5,-78.5,1,3
587,21.5,39.5,1,3
591,-21.5,-39.5,1,5
597,31.5,34.5,1,1
597,27.5,35.5,1,2
597,25.5,32.5,1,1
597,29.5,39.5,1,1
602,-46.5,41.5,1,1
615,75.5,-78.5,1,1
662,-40.5,59.5,1,7
672,-162.5,72.5,1,1
678,155.5,69.5,1,4
733,20.5,28.5,1,1
733,20.5,29.5,1,3
791,18.5,24.5,1,1
854,29.5,39.5,1,1
854,30.5,40.5,1,1
854,29.5,38.5,1,1
894,-43.5,31.5,1,3
899,27.5,31.5,1,2
915,-40.5,59.5,1,7
915,-41.5,59.5,1,12
917,18.5,24.5,1,1
944,20.5,28.5,1,1
975,30.5,40.5,1,1
975,21.5,39.5,1,3
981,75.5,-78.5,1,1
991,-43.5,31.5,1,3
991,-44.5,29.5,1,2
994,36.5,25.5,1,9
52,-43.5,31.5,2,3
55,-46.5,41.5,2,1
77,21.5,37.5,2,4
94,30.5,40.5,2,1
94,29.5,38.5,2,1
101,20.5,37.5,2,6
109,20.5,28.5,2,1
112,-43.5,31.5,2,3
130,-46.5,41.5,2,1
157,20.5,29.5,2,3
