"id","x","y","rep","collections"
4,-69.5,78.5,1,1
10,-38.5,2.5,1,4
35,-99.5,72.5,1,2
51,33.5,24.5,1,2
54,-51.5,23.5,1,2
58,27.5,39.5,1,1
58,27.5,41.5,1,14
72,135.5,-62.5,1,2
74,-95.5,69.5,1,1
75,51.5,38.5,1,2
78,-39.5,-2.5,1,2
105,41.5,72.5,1,2
105,43.5,72.5,1,5
110,19.5,38.5,1,1
110,18.5,75.5,1,1
120,41.5,72.5,1,2
120,43.5,71.5,1,7
120,44.5,70.5,1,10
124,79.5,35.5,1,1
128,19.5,39.5,1,3
128,23.5,44.5,1,1
132,-48.5,38.5,1,5
132,-60.5,37.5,1,1
132,-51.5,35.5,1,8
132,-51.5,36.5,1,8
132,-47.5,36.5,1,3
132,-55.5,45.5,1,1
132,-47.5,37.5,1,2
152,15.5,26.5,1,1
170,-56.5,52.5,1,2
183,-53.5,35.5,1,5
183,-53.5,41.5,1,1
183,-54.5,38.5,1,1
183,-52.5,36.5,1,7
186,21.5,49.5,1,3
192,40.5,31.5,1,2
193,27.5,42.5,1,8
193,39.5,46.5,1,1
193,23.5,46.5,1,8
193,28.5,43.5,1,2
195,20.5,37.5,1,1
197,10.5,76.5,1,1
199,-53.5,44.5,1,12
200,-58.5,38.5,1,1
211,-57.5,24.5,1,1
217,29.5,40.5,1,11
217,30.5,42.5,1,3
217,27.5,39.5,1,1
237,-71.5,68.5,1,1
245,135.5,-62.5,1,2
245,137.5,-62.5,1,1
254,32.5,41.5,1,1
254,29.5,41.5,1,1
264,39.5,46.5,1,1
274,-51.5,43.5,1,1
274,-48.5,39.5,1,2
274,-49.5,39.5,1,7
274,-53.5,39.5,1,3
274,-55.5,45.5,1,1
275,-39.5,-3.5,1,6
275,-52.5,25.5,1,3
277,-64.5,73.5,1,1
281,-70.5,67.5,1,1
287,23.5,22.5,1,3
291,-54.5,29.5,1,1
291,-51.5,32.5,1,1
292,137.5,-62.5,1,1
296,24.5,21.5,1,2
296,21.5,44.5,1,1
298,23.5,46.5,1,8
298,20.5,46.5,1,4
301,83.5,31.5,1,1
305,65.5,34.5,1,3
307,39.5,11.5,1,1
308,-57.5,64.5,1,1
309,-61.5,78.5,1,1
312,-33.5,-66.5,1,5
325,-59.5,38.5,1,3
340,28.5,39.5,1,4
340,32.5,41.5,1,1
340,28.5,41.5,1,3
340,39.5,44.5,1,1
349,83.5,31.5,1,1
350,-53.5,35.5,1,5
351,-50.5,35.5,1,5
361,10.5,76.5,1,1
363,83.5,31.5,1,1
364,86.5,-52.5,1,1
385,37.5,48.5,1,1
389,44.5,70.5,1,10
390,-54.5,26.5,1,4
396,77.5,29.5,1,2
401,149.5,50.5,1,4
402,23.5,44.5,1,1
402,24.5,47.5,1,1
402,24.5,45.5,1,7
402,23.5,46.5,1,8
402,22.5,47.5,1,1
402,25.5,43.5,1,7
402,23.5,45.5,1,7
402,25.5,46.5,1,1
402,23.5,47.5,1,1
412,-133.5,78.5,1,1
419,27.5,40.5,1,1
431,-55.5,37.5,1,2
431,-55.5,45.5,1,1
456,-54.5,38.5,1,1
469,-50.5,43.5,1,22
470,31.5,41.5,1,7
487,-52.5,28.5,1,1
499,45.5,71.5,1,7
499,45.5,70.5,1,4
499,44.5,70.5,1,10
522,15.5,26.5,1,1
522,17.5,33.5,1,1
522,23.5,21.5,1,2
522,26.5,44.5,1,4
554,-59.5,53.5,1,4
554,-57.5,50.5,1,2
559,25.5,46.5,1,1
586,-55.5,45.5,1,1
587,36.5,12.5,1,2
587,35.5,14.5,1,2
596,29.5,41.5,1,1
596,21.5,46.5,1,15
605,56.5,-4.5,1,1
609,-61.5,78.5,1,1
620,31.5,41.5,1,7
620,32.5,41.5,1,1
624,32.5,24.5,1,3
624,25.5,39.5,1,2
624,26.5,41.5,1,3
624,28.5,39.5,1,4
624,21.5,44.5,1,1
629,42.5,72.5,1,9
629,44.5,70.5,1,10
632,-59.5,64.5,1,2
633,22.5,47.5,1,1
633,22.5,49.5,1,2
633,23.5,47.5,1,1
633,21.5,49.5,1,3
633,22.5,48.5,1,1
633,21.5,47.5,1,1
635,-70.5,73.5,1,2
637,9.5,-0.5,1,1
637,40.5,12.5,1,21
638,-41.5,80.5,1,2
643,40.5,31.5,1,2
646,62.5,45.5,1,1
648,25.5,62.5,1,18
652,-60.5,49.5,1,4
658,45.5,70.5,1,4
661,19.5,46.5,1,2
662,19.5,35.5,1,2
662,23.5,38.5,1,1
662,20.5,35.5,1,4
662,23.5,44.5,1,1
662,20.5,34.5,1,1
662,21.5,34.5,1,1
662,19.5,38.5,1,1
664,32.5,41.5,1,1
664,27.5,40.5,1,1
664,26.5,41.5,1,3
664,26.5,44.5,1,4
677,-63.5,67.5,1,1
680,-49.5,38.5,1,54
687,32.5,41.5,1,1
687,33.5,46.5,1,1
691,-36.5,-58.5,1,2
698,10.5,76.5,1,1
699,25.5,46.5,1,1
719,57.5,37.5,1,1
722,19.5,35.5,1,2
724,-54.5,43.5,1,1
724,-56.5,33.5,1,15
724,-52.5,35.5,1,2
724,-52.5,24.5,1,3
724,-52.5,36.5,1,7
728,20.5,46.5,1,4
728,22.5,44.5,1,1
728,20.5,47.5,1,1
728,22.5,47.5,1,1
728,22.5,48.5,1,1
728,21.5,47.5,1,1
728,21.5,46.5,1,15
728,22.5,49.5,1,2
728,22.5,46.5,1,15
728,21.5,49.5,1,3
729,-51.5,36.5,1,8
742,-24.5,39.5,1,1
745,18.5,75.5,1,1
745,7.5,79.5,1,4
754,68.5,38.5,1,2
777,19.5,39.5,1,3
780,16.5,26.5,1,1
780,15.5,25.5,1,1
780,23.5,24.5,1,1
780,13.5,23.5,1,2
780,23.5,21.5,1,2
783,-54.5,26.5,1,4
784,21.5,44.5,1,1
789,36.5,12.5,1,2
795,-57.5,64.5,1,1
798,-96.5,70.5,1,14
799,-52.5,24.5,1,3
800,25.5,62.5,1,18
800,42.5,71.5,1,4
805,-57.5,51.5,1,9
827,21.5,44.5,1,1
839,135.5,-62.5,1,2
843,42.5,72.5,1,9
843,43.5,71.5,1,7
843,45.5,71.5,1,7
859,32.5,46.5,1,1
859,31.5,41.5,1,7
859,26.5,43.5,1,1
859,26.5,38.5,1,3
859,25.5,43.5,1,7
859,27.5,39.5,1,1
859,29.5,40.5,1,11
859,28.5,43.5,1,2
859,27.5,42.5,1,8
859,26.5,41.5,1,3
859,25.5,40.5,1,2
859,25.5,45.5,1,8
859,28.5,40.5,1,11
869,15.5,26.5,1,1
871,43.5,71.5,1,7
871,42.5,71.5,1,4
880,62.5,45.5,1,1
883,10.5,76.5,1,1
892,23.5,21.5,1,2
892,16.5,25.5,1,1
904,42.5,12.5,1,3
906,19.5,39.5,1,3
906,26.5,39.5,1,8
915,-54.5,43.5,1,1
916,18.5,46.5,1,4
937,-90.5,60.5,1,12
940,137.5,-62.5,1,1
942,31.5,41.5,1,7
942,33.5,32.5,1,4
942,26.5,44.5,1,4
943,39.5,46.5,1,1
947,22.5,47.5,1,1
959,-24.5,39.5,1,1
960,56.5,-6.5,1,1
993,68.5,38.5,1,2
994,51.5,38.5,1,2
994,52.5,38.5,1,1
4,-51.5,23.5,2,2
6,31.5,28.5,2,1
6,37.5,31.5,2,1
8,60.5,36.5,2,2
12,-52.5,35.5,2,2
32,72.5,33.5,2,1
43,1.5,27.5,2,1
44,-33.5,-66.5,2,5
59,-44.5,81.5,2,1
66,43.5,72.5,2,5
66,44.5,70.5,2,10
66,45.5,70.5,2,4
66,41.5,72.5,2,2
66,42.5,72.5,2,9
66,43.5,71.5,2,7
67,29.5,41.5,2,1
67,25.5,44.5,2,5
80,-133.5,78.5,2,1
82,65.5,34.5,2,3
102,30.5,47.5,2,1
116,-69.5,78.5,2,1
130,43.5,72.5,2,5
132,24.5,44.5,2,1
132,22.5,44.5,2,1
132,26.5,44.5,2,4
132,24.5,47.5,2,1
132,21.5,47.5,2,1
132,23.5,46.5,2,8
132,25.5,45.5,2,8
132,20.5,47.5,2,1
132,21.5,44.5,2,1
132,19.5,46.5,2,2
138,25.5,46.5,2,1
138,24.5,48.5,2,6
138,23.5,47.5,2,1
138,24.5,47.5,2,1
138,22.5,47.5,2,1
152,60.5,36.5,2,2
185,18.5,46.5,2,4
185,20.5,35.5,2,4
185,19.5,38.5,2,1
193,-53.5,39.5,2,3
203,23.5,22.5,2,3
203,23.5,21.5,2,2
207,21.5,44.5,2,1
207,20.5,33.5,2,1
207,23.5,45.5,2,7
207,23.5,44.5,2,1
207,19.5,39.5,2,3
215,51.5,38.5,2,2
218,71.5,24.5,2,3
219,27.5,41.5,2,14
220,39.5,29.5,2,1
224,12.5,36.5,2,1
225,32.5,28.5,2,3
238,79.5,35.5,2,1
254,35.5,13.5,2,1
264,-61.5,78.5,2,1
268,25.5,46.5,2,1
268,27.5,39.5,2,1
268,25.5,39.5,2,2
268,25.5,45.5,2,8
272,10.5,0.5,2,2
280,-64.5,73.5,2,1
291,-25.5,13.5,2,3
293,-62.5,38.5,2,2
293,-54.5,43.5,2,1
293,-53.5,35.5,2,5
297,43.5,72.5,2,5
300,26.5,42.5,2,1
300,24.5,47.5,2,1
304,23.5,45.5,2,7
304,23.5,44.5,2,1
304,27.5,41.5,2,14
304,28.5,43.5,2,2
307,21.5,49.5,2,3
323,-47.5,45.5,2,2
323,-55.5,45.5,2,1
334,32.5,24.5,2,3
334,32.5,23.5,2,3
334,32.5,22.5,2,2
334,32.5,25.5,2,4
358,24.5,44.5,2,1
358,22.5,47.5,2,1
381,22.5,49.5,2,2
382,-32.5,12.5,2,4
383,23.5,24.5,2,1
383,32.5,23.5,2,3
383,23.5,21.5,2,2
383,32.5,24.5,2,3
416,39.5,44.5,2,1
416,36.5,48.5,2,1
416,37.5,48.5,2,1
418,-98.5,68.5,2,1
423,79.5,35.5,2,1
430,23.5,46.5,2,8
430,23.5,47.5,2,1
448,36.5,12.5,2,2
458,23.5,22.5,2,3
464,-96.5,70.5,2,14
464,-71.5,68.5,2,1
471,18.5,46.5,2,4
479,72.5,33.5,2,1
489,22.5,46.5,2,15
502,43.5,72.5,2,5
502,42.5,72.5,2,9
508,-51.5,36.5,2,8
510,15.5,25.5,2,1
524,65.5,34.5,2,3
546,22.5,46.5,2,15
546,19.5,46.5,2,2
551,35.5,13.5,2,1
551,29.5,41.5,2,1
562,-55.5,45.5,2,1
562,-53.5,44.5,2,12
584,43.5,72.5,2,5
597,23.5,38.5,2,1
597,24.5,48.5,2,6
607,12.5,36.5,2,1
607,23.5,38.5,2,1
607,19.5,35.5,2,2
607,26.5,38.5,2,3
607,28.5,37.5,2,3
615,-53.5,41.5,2,1
628,-101.5,71.5,2,6
628,-99.5,72.5,2,2
633,33.5,32.5,2,4
652,-54.5,37.5,2,1
652,-55.5,37.5,2,2
652,-56.5,33.5,2,15
652,-54.5,38.5,2,1
652,-59.5,38.5,2,3
652,-53.5,35.5,2,5
654,-64.5,64.5,2,1
660,-51.5,36.5,2,8
660,-52.5,36.5,2,7
660,-47.5,36.5,2,3
667,-45.5,39.5,2,3
667,-49.5,36.5,2,18
667,-49.5,37.5,2,12
669,-50.5,38.5,2,3
672,32.5,23.5,2,3
672,36.5,47.5,2,8
672,32.5,22.5,2,2
676,43.5,71.5,2,7
676,44.5,70.5,2,10
693,-96.5,70.5,2,14
697,137.5,-63.5,2,2
700,-56.5,48.5,2,1
705,-39.5,0.5,2,2
709,-59.5,53.5,2,4
709,-59.5,52.5,2,1
719,-52.5,35.5,2,2
719,-53.5,35.5,2,5
719,-51.5,32.5,2,1
719,-54.5,40.5,2,2
722,-38.5,2.5,2,4
737,71.5,24.5,2,3
755,9.5,-0.5,2,1
759,149.5,50.5,2,4
760,24.5,48.5,2,6
760,25.5,46.5,2,1
760,32.5,46.5,2,1
767,36.5,12.5,2,2
767,40.5,12.5,2,21
767,36.5,11.5,2,5
768,42.5,71.5,2,4
773,10.5,0.5,2,2
773,9.5,-0.5,2,1
778,41.5,72.5,2,2
787,71.5,24.5,2,3
787,68.5,38.5,2,2
790,-57.5,64.5,2,1
792,-53.5,36.5,2,2
792,-54.5,26.5,2,4
798,21.5,46.5,2,15
807,83.5,31.5,2,1
809,-60.5,61.5,2,3
820,-50.5,36.5,2,19
823,-28.5,-47.5,2,4
826,39.5,46.5,2,1
826,39.5,44.5,2,1
829,52.5,38.5,2,1
829,51.5,38.5,2,2
831,60.5,36.5,2,2
831,57.5,37.5,2,1
856,-60.5,37.5,2,1
860,39.5,11.5,2,1
860,36.5,11.5,2,5
860,41.5,10.5,2,7
860,36.5,12.5,2,2
860,42.5,12.5,2,3
864,20.5,37.5,2,1
864,26.5,43.5,2,1
864,23.5,45.5,2,7
864,27.5,38.5,2,1
864,27.5,42.5,2,8
864,26.5,39.5,2,8
867,-55.5,45.5,2,1
867,-56.5,33.5,2,15
867,-60.5,37.5,2,1
867,-59.5,38.5,2,3
877,21.5,49.5,2,3
877,21.5,46.5,2,15
881,26.5,38.5,2,3
901,42.5,72.5,2,9
915,-59.5,64.5,2,2
923,41.5,10.5,2,7
942,-64.5,73.5,2,1
942,-59.5,61.5,2,2
966,-48.5,39.5,2,2
966,-47.5,45.5,2,2
973,-64.5,73.5,2,1
977,149.5,51.5,2,2
989,20.5,37.5,2,1
993,28.5,41.5,2,3
997,-99.5,70.5,2,2
997,-99.5,72.5,2,2
997,-98.5,68.5,2,1
25,41.5,12.5,3,2
25,41.5,10.5,3,7
25,41.5,11.5,3,1
29,-99.5,72.5,3,2
40,23.5,45.5,3,7
40,23.5,44.5,3,1
40,23.5,47.5,3,1
40,27.5,39.5,3,1
49,45.5,71.5,3,7
50,-56.5,48.5,3,1
52,25.5,62.5,3,18
58,26.5,43.5,3,1
58,27.5,41.5,3,14
58,25.5,46.5,3,1
58,27.5,40.5,3,1
58,26.5,39.5,3,8
76,-44.5,81.5,3,1
92,27.5,41.5,3,14
96,137.5,-63.5,3,2
96,137.5,-62.5,3,1
98,22.5,44.5,3,1
98,21.5,46.5,3,15
102,19.5,39.5,3,3
102,19.5,38.5,3,1
102,20.5,37.5,3,1
109,16.5,76.5,3,5
111,-39.5,-2.5,3,2
117,51.5,38.5,3,2
138,-59.5,52.5,3,1
143,16.5,76.5,3,5
149,32.5,28.5,3,3
177,57.5,37.5,3,1
183,51.5,38.5,3,2
183,52.5,38.5,3,1
186,29.5,41.5,3,1
186,27.5,40.5,3,1
186,29.5,40.5,3,11
191,-51.5,38.5,3,2
191,-59.5,38.5,3,3
199,17.5,33.5,3,1
203,28.5,41.5,3,3
203,32.5,46.5,3,1
203,31.5,41.5,3,7
227,-55.5,45.5,3,1
227,-53.5,44.5,3,12
229,-57.5,64.5,3,1
242,-64.5,64.5,3,1
245,68.5,38.5,3,2
247,-54.5,43.5,3,1
247,-53.5,36.5,3,2
248,-61.5,67.5,3,1
249,15.5,26.5,3,1
269,71.5,24.5,3,3
269,68.5,21.5,3,2
276,-3.5,1.5,3,15
276,0.5,-10.5,3,2
282,-55.5,25.5,3,1
282,-47.5,35.5,3,16
282,-49.5,35.5,3,1
282,-55.5,46.5,3,6
282,-45.5,39.5,3,3
282,-47.5,39.5,3,1
282,-54.5,43.5,3,1
284,-57.5,64.5,3,1
289,43.5,71.5,3,7
296,32.5,41.5,3,1
296,26.5,44.5,3,4
300,18.5,75.5,3,1
307,44.5,70.5,3,10
307,10.5,76.5,3,1
307,43.5,71.5,3,7
309,41.5,12.5,3,2
309,42.5,17.5,3,6
313,44.5,70.5,3,10
343,45.5,70.5,3,4
349,35.5,32.5,3,1
349,38.5,31.5,3,1
351,-52.5,35.5,3,2
351,-47.5,37.5,3,2
361,26.5,43.5,3,1
361,30.5,42.5,3,3
377,15.5,25.5,3,1
382,36.5,11.5,3,5
382,41.5,11.5,3,1
382,40.5,12.5,3,21
382,42.5,17.5,3,6
389,-56.5,33.5,3,15
392,-39.5,-2.5,3,2
421,18.5,46.5,3,4
422,-61.5,78.5,3,1
425,41.5,10.5,3,7
429,-60.5,37.5,3,1
429,-53.5,39.5,3,3
429,-50.5,38.5,3,3
429,-54.5,38.5,3,1
429,-51.5,32.5,3,1
444,62.5,45.5,3,1
444,52.5,38.5,3,1
455,-50.5,43.5,3,22
455,-53.5,39.5,3,3
455,-51.5,35.5,3,8
455,-53.5,47.5,3,1
455,-56.5,48.5,3,1
455,-47.5,35.5,3,16
456,62.5,45.5,3,1
461,137.5,-62.5,3,1
465,42.5,17.5,3,6
472,-59.5,64.5,3,2
472,-59.5,61.5,3,2
472,-58.5,50.5,3,1
482,41.5,72.5,3,2
486,-95.5,69.5,3,1
486,-101.5,71.5,3,6
486,-99.5,72.5,3,2
486,-70.5,73.5,3,2
490,12.5,36.5,3,1
497,38.5,24.5,3,1
523,26.5,38.5,3,3
539,36.5,11.5,3,5
539,35.5,14.5,3,2
550,-47.5,44.5,3,1
558,-59.5,38.5,3,3
569,-54.5,37.5,3,1
569,-55.5,25.5,3,1
591,32.5,25.5,3,4
592,-54.5,37.5,3,1
592,-45.5,39.5,3,3
592,-56.5,33.5,3,15
593,-53.5,49.5,3,2
595,21.5,44.5,3,1
595,22.5,47.5,3,1
595,22.5,49.5,3,2
595,20.5,47.5,3,1
605,62.5,45.5,3,1
613,40.5,31.5,3,2
613,38.5,31.5,3,1
623,16.5,25.5,3,1
639,22.5,44.5,3,1
639,23.5,44.5,3,1
661,-47.5,45.5,3,2
670,-54.5,37.5,3,1
680,15.5,7.5,3,1
685,39.5,46.5,3,1
693,32.5,22.5,3,2
694,-97.5,70.5,3,2
694,-96.5,70.5,3,14
699,-90.5,60.5,3,12
706,22.5,47.5,3,1
710,52.5,38.5,3,1
719,10.5,0.5,3,2
729,36.5,48.5,3,1
729,24.5,45.5,3,7
729,24.5,43.5,3,2
729,22.5,44.5,3,1
746,72.5,33.5,3,1
751,72.5,33.5,3,1
751,69.5,33.5,3,1
751,77.5,29.5,3,2
753,32.5,23.5,3,3
753,32.5,22.5,3,2
762,26.5,38.5,3,3
769,45.5,70.5,3,4
776,11.5,77.5,3,5
776,7.5,79.5,3,4
787,41.5,72.5,3,2
787,43.5,72.5,3,5
787,44.5,70.5,3,10
787,42.5,72.5,3,9
