"id","x","y","rep","collections"
3,-1.5,53.5,1,2
32,69.5,-22.5,1,2
32,70.5,-22.5,1,2
48,110.5,-8.5,1,21
55,19.5,27.5,1,35
82,106.5,-4.5,1,1
87,141.5,21.5,1,1
107,69.5,-22.5,1,2
130,109.5,-9.5,1,3
160,27.5,26.5,1,4
160,31.5,26.5,1,4
165,141.5,21.5,1,1
202,35.5,31.5,1,1
202,29.5,29.5,1,13
202,34.5,30.5,1,17
203,26.5,26.5,1,1
203,28.5,26.5,1,8
204,-41.5,26.5,1,1
212,27.5,25.5,1,2
212,30.5,28.5,1,8
212,19.5,29.5,1,5
212,26.5,27.5,1,1
216,118.5,16.5,1,1
234,70.5,-22.5,1,2
239,44.5,39.5,1,1
239,36.5,31.5,1,8
240,39.5,-3.5,1,12
256,106.5,-6.5,1,3
266,69.5,-22.5,1,2
266,70.5,-22.5,1,2
271,28.5,27.5,1,14
289,48.5,28.5,1,1
289,44.5,27.5,1,40
295,110.5,-6.5,1,1
319,38.5,-3.5,1,3
319,39.5,-3.5,1,12
362,30.5,26.5,1,8
424,136.5,-89.5,1,1
424,137.5,-89.5,1,1
459,109.5,-9.5,1,3
475,65.5,5.5,1,1
522,27.5,29.5,1,4
522,28.5,29.5,1,10
522,19.5,30.5,1,3
522,28.5,28.5,1,11
522,31.5,29.5,1,1
522,34.5,28.5,1,1
522,29.5,30.5,1,13
524,20.5,29.5,1,2
524,19.5,30.5,1,3
529,69.5,-22.5,1,2
536,20.5,29.5,1,2
554,3.5,55.5,1,2
556,123.5,-89.5,1,2
561,3.5,55.5,1,2
573,136.5,-89.5,1,1
614,118.5,13.5,1,20
625,110.5,-6.5,1,1
638,3.5,55.5,1,2
638,-1.5,53.5,1,2
645,29.5,30.5,1,13
663,65.5,5.5,1,1
674,49.5,27.5,1,1
709,26.5,27.5,1,1
723,136.5,-89.5,1,1
733,106.5,-6.5,1,3
739,29.5,27.5,1,3
739,28.5,26.5,1,8
739,19.5,29.5,1,5
753,119.5,16.5,1,2
753,119.5,15.5,1,4
773,137.5,-89.5,1,1
782,119.5,16.5,1,2
802,119.5,16.5,1,2
812,137.5,-89.5,1,1
812,136.5,-89.5,1,1
812,138.5,-89.5,1,1
813,44.5,27.5,1,40
843,4.5,54.5,1,2
847,119.5,15.5,1,4
860,27.5,26.5,1,4
860,28.5,26.5,1,8
930,34.5,30.5,1,17
969,44.5,39.5,1,1
984,30.5,29.5,1,1
984,28.5,28.5,1,11
984,35.5,30.5,1,20
994,110.5,-6.5,1,1
9,26.5,30.5,2,7
9,28.5,30.5,2,11
9,27.5,29.5,2,4
9,30.5,29.5,2,1
9,29.5,28.5,2,1
9,27.5,30.5,2,5
9,30.5,28.5,2,8
9,29.5,29.5,2,13
9,28.5,29.5,2,10
9,27.5,27.5,2,33
9,26.5,27.5,2,1
9,27.5,28.5,2,1
9,28.5,28.5,2,11
9,29.5,30.5,2,13
79,19.5,30.5,2,3
79,19.5,29.5,2,5
79,20.5,30.5,2,5
85,35.5,31.5,2,1
85,31.5,29.5,2,1
85,36.5,31.5,2,8
89,44.5,27.5,2,40
119,4.5,54.5,2,2
129,69.5,-22.5,2,2
171,19.5,27.5,2,35
178,69.5,-22.5,2,2
188,36.5,32.5,2,1
217,3.5,55.5,2,2
223,27.5,25.5,2,2
225,20.5,30.5,2,5
226,70.5,-22.5,2,2
228,27.5,26.5,2,4
256,138.5,-89.5,2,1
256,137.5,-89.5,2,1
256,136.5,-89.5,2,1
260,29.5,27.5,2,3
264,69.5,-22.5,2,2
264,70.5,-22.5,2,2
280,39.5,-3.5,2,12
280,38.5,-3.5,2,3
283,39.5,-3.5,2,12
303,136.5,-89.5,2,1
352,4.5,54.5,2,2
353,26.5,26.5,2,1
353,30.5,26.5,2,8
372,48.5,28.5,2,1
396,35.5,31.5,2,1
414,110.5,-7.5,2,1
438,65.5,5.5,2,1
448,136.5,-89.5,2,1
454,49.5,27.5,2,1
475,118.5,16.5,2,1
475,119.5,15.5,2,4
475,119.5,16.5,2,2
475,118.5,13.5,2,20
475,116.5,14.5,2,1
477,141.5,22.5,2,1
477,141.5,21.5,2,1
496,141.5,22.5,2,1
496,119.5,15.5,2,4
496,141.5,21.5,2,1
513,4.5,54.5,2,2
514,34.5,28.5,2,1
514,30.5,26.5,2,8
515,123.5,-89.5,2,2
521,118.5,13.5,2,20
528,123.5,-89.5,2,2
541,-41.5,26.5,2,1
549,107.5,-7.5,2,1
567,35.5,31.5,2,1
567,30.5,28.5,2,8
567,31.5,29.5,2,1
576,35.5,30.5,2,20
576,34.5,30.5,2,17
576,35.5,31.5,2,1
581,24.5,18.5,2,3
583,4.5,54.5,2,2
583,3.5,55.5,2,2
715,28.5,27.5,2,14
715,27.5,26.5,2,4
715,28.5,28.5,2,11
729,38.5,-3.5,2,3
732,109.5,-9.5,2,3
735,29.5,30.5,2,13
735,29.5,29.5,2,13
735,34.5,30.5,2,17
735,28.5,30.5,2,11
735,35.5,30.5,2,20
746,29.5,29.5,2,13
