"id","x","y","rep","collections"
40,2.5,39.5,1,1
40,2.5,40.5,1,19
40,3.5,40.5,1,2
79,6.5,42.5,1,1
79,2.5,41.5,1,3
86,-64.5,12.5,1,6
88,-66.5,39.5,1,1
89,145.5,-49.5,1,1
98,13.5,37.5,1,1
116,127.5,-45.5,1,1
205,-84.5,19.5,1,1
230,2.5,41.5,1,3
231,-84.5,19.5,1,1
254,11.5,40.5,1,2
254,8.5,39.5,1,1
254,6.5,42.5,1,1
254,14.5,40.5,1,1
258,118.5,4.5,1,1
290,23.5,33.5,1,1
335,118.5,4.5,1,1
353,16.5,46.5,1,1
357,128.5,-45.5,1,1
375,118.5,4.5,1,1
453,16.5,46.5,1,1
485,137.5,48.5,1,1
550,8.5,39.5,1,1
550,14.5,40.5,1,1
555,-84.5,19.5,1,1
562,128.5,-45.5,1,1
576,29.5,32.5,1,1
576,50.5,27.5,1,1
590,-62.5,8.5,1,1
593,50.5,27.5,1,1
610,6.5,42.5,1,1
617,23.5,33.5,1,1
627,29.5,32.5,1,1
630,-176.5,-42.5,1,4
683,11.5,40.5,1,2
683,2.5,40.5,1,19
683,2.5,39.5,1,1
683,2.5,41.5,1,3
700,-5.5,35.5,1,4
753,128.5,-44.5,1,4
758,137.5,48.5,1,1
814,128.5,-45.5,1,1
827,145.5,-49.5,1,1
829,-164.5,59.5,1,1
840,127.5,-45.5,1,1
840,128.5,-45.5,1,1
852,137.5,48.5,1,1
857,23.5,33.5,1,1
879,11.5,40.5,1,2
947,2.5,39.5,1,1
947,2.5,41.5,1,3
947,-5.5,35.5,1,4
955,15.5,40.5,1,2
991,-176.5,-41.5,1,44
991,-177.5,-41.5,1,58
22,14.5,40.5,2,1
38,-5.5,35.5,2,4
59,-64.5,12.5,2,6
73,137.5,48.5,2,1
77,11.5,40.5,2,2
77,13.5,37.5,2,1
91,-66.5,39.5,2,1
109,-84.5,19.5,2,1
110,2.5,39.5,2,1
110,3.5,40.5,2,2
110,6.5,42.5,2,1
141,-164.5,59.5,2,1
143,13.5,37.5,2,1
149,2.5,39.5,2,1
166,-84.5,19.5,2,1
175,11.5,40.5,2,2
182,8.5,39.5,2,1
190,3.5,40.5,2,2
190,6.5,42.5,2,1
190,2.5,41.5,2,3
190,2.5,40.5,2,19
228,137.5,48.5,2,1
229,23.5,33.5,2,1
279,-64.5,12.5,2,6
306,2.5,39.5,2,1
306,2.5,40.5,2,19
306,2.5,41.5,2,3
328,8.5,39.5,2,1
328,-5.5,35.5,2,4
351,127.5,-45.5,2,1
351,128.5,-44.5,2,4
380,11.5,40.5,2,2
390,-5.5,35.5,2,4
455,145.5,-49.5,2,1
461,118.5,4.5,2,1
504,-84.5,19.5,2,1
524,145.5,-49.5,2,1
528,3.5,40.5,2,2
530,-176.5,-41.5,2,44
530,-177.5,-41.5,2,58
531,-164.5,59.5,2,1
532,-5.5,35.5,2,4
548,14.5,-34.5,2,1
549,14.5,-34.5,2,1
550,23.5,33.5,2,1
557,-84.5,19.5,2,1
569,15.5,40.5,2,2
569,11.5,40.5,2,2
603,-177.5,-41.5,2,58
636,50.5,27.5,2,1
673,118.5,4.5,2,1
675,50.5,27.5,2,1
688,14.5,40.5,2,1
723,14.5,-34.5,2,1
748,137.5,48.5,2,1
787,128.5,-45.5,2,1
828,11.5,40.5,2,2
860,11.5,40.5,2,2
860,6.5,42.5,2,1
863,3.5,40.5,2,2
866,-176.5,-41.5,2,44
915,-164.5,59.5,2,1
930,127.5,-45.5,2,1
940,-164.5,59.5,2,1
958,11.5,40.5,2,2
969,118.5,4.5,2,1
975,-164.5,59.5,2,1
3,-66.5,39.5,3,1
16,14.5,40.5,3,1
50,2.5,40.5,3,19
73,-5.5,35.5,3,4
91,-5.5,35.5,3,4
98,-62.5,8.5,3,1
118,50.5,27.5,3,1
131,-176.5,-41.5,3,44
131,-176.5,-42.5,3,4
137,-66.5,39.5,3,1
152,29.5,32.5,3,1
152,16.5,46.5,3,1
152,15.5,40.5,3,2
171,13.5,37.5,3,1
178,137.5,48.5,3,1
190,145.5,-49.5,3,1
202,127.5,-45.5,3,1
208,16.5,46.5,3,1
220,29.5,32.5,3,1
221,3.5,40.5,3,2
281,127.5,-45.5,3,1
298,-66.5,39.5,3,1
301,2.5,39.5,3,1
316,128.5,-44.5,3,4
320,2.5,40.5,3,19
320,2.5,41.5,3,3
350,127.5,-45.5,3,1
423,-164.5,59.5,3,1
453,23.5,33.5,3,1
481,128.5,-45.5,3,1
481,128.5,-44.5,3,4
482,127.5,-45.5,3,1
484,14.5,40.5,3,1
