"id","x","y","rep","collections"
16,-40.5,22.5,1,5
29,-35.5,1.5,1,13
31,36.5,31.5,1,2
31,33.5,34.5,1,3
37,31.5,23.5,1,2
41,-20.5,38.5,1,3
43,-40.5,8.5,1,6
64,31.5,23.5,1,2
69,-37.5,11.5,1,53
69,-37.5,10.5,1,39
69,-36.5,10.5,1,5
69,-36.5,11.5,1,25
74,-38.5,8.5,1,11
78,42.5,27.5,1,6
78,42.5,26.5,1,11
78,41.5,26.5,1,2
78,43.5,26.5,1,9
78,40.5,28.5,1,1
78,41.5,28.5,1,4
78,41.5,27.5,1,16
78,38.5,27.5,1,2
78,44.5,26.5,1,1
90,-45.5,-31.5,1,3
98,77.5,-51.5,1,2
112,36.5,31.5,1,2
113,-39.5,9.5,1,2
125,-45.5,-31.5,1,3
134,154.5,-54.5,1,2
134,155.5,-55.5,1,2
138,-30.5,-46.5,1,1
138,-31.5,-47.5,1,3
143,86.5,-39.5,1,1
149,-49.5,-18.5,1,2
156,-31.5,-47.5,1,3
156,-30.5,-46.5,1,1
170,-48.5,-59.5,1,3
217,-179.5,-72.5,1,4
217,-178.5,-73.5,1,4
217,-177.5,-73.5,1,5
222,90.5,-40.5,1,7
234,170.5,-61.5,1,11
234,169.5,-61.5,1,1
244,-23.5,38.5,1,1
244,-20.5,38.5,1,3
245,-47.5,-62.5,1,1
256,41.5,27.5,1,16
256,43.5,24.5,1,2
256,42.5,25.5,1,4
256,41.5,28.5,1,4
257,90.5,-40.5,1,7
266,-47.5,-62.5,1,1
267,1.5,31.5,1,14
270,-31.5,-47.5,1,3
270,-30.5,-46.5,1,1
270,-27.5,-46.5,1,1
284,89.5,-41.5,1,1
304,0.5,31.5,1,12
305,104.5,-37.5,1,1
308,65.5,-37.5,1,3
321,-20.5,38.5,1,3
324,3.5,34.5,1,2
324,4.5,33.5,1,1
331,154.5,-55.5,1,2
331,155.5,-54.5,1,16
336,108.5,-37.5,1,4
338,126.5,-11.5,1,5
349,72.5,-38.5,1,1
350,3.5,33.5,1,2
378,-43.5,-63.5,1,2
385,155.5,-55.5,1,2
409,106.5,-37.5,1,3
412,77.5,-51.5,1,2
422,-45.5,-30.5,1,19
422,-46.5,-27.5,1,1
425,55.5,-42.5,1,7
431,-40.5,22.5,1,5
451,-23.5,38.5,1,1
454,-43.5,-63.5,1,2
457,170.5,-64.5,1,25
457,170.5,-63.5,1,8
457,169.5,-61.5,1,1
457,176.5,-72.5,1,1
457,171.5,-61.5,1,1
457,178.5,-72.5,1,1
457,170.5,-61.5,1,11
470,77.5,-51.5,1,2
470,78.5,-51.5,1,22
476,-39.5,-51.5,1,3
488,67.5,-37.5,1,2
499,-45.5,-30.5,1,19
526,-47.5,-62.5,1,1
528,-178.5,-73.5,1,4
528,-177.5,-73.5,1,5
558,-45.5,-31.5,1,3
558,-45.5,-30.5,1,19
565,-38.5,8.5,1,11
569,104.5,-37.5,1,1
583,35.5,32.5,1,4
585,-178.5,-73.5,1,4
592,170.5,-64.5,1,25
610,-39.5,-51.5,1,3
610,-30.5,-46.5,1,1
626,86.5,-39.5,1,1
644,3.5,34.5,1,2
653,-20.5,38.5,1,3
661,-43.5,-63.5,1,2
662,172.5,-66.5,1,4
697,32.5,31.5,1,8
697,33.5,34.5,1,3
697,42.5,27.5,1,6
707,-48.5,-59.5,1,3
709,-38.5,-57.5,1,3
716,91.5,-40.5,1,1
720,-49.5,-18.5,1,2
725,3.5,32.5,1,4
725,4.5,33.5,1,1
725,5.5,33.5,1,1
725,3.5,34.5,1,2
728,67.5,-37.5,1,2
728,65.5,-37.5,1,3
742,-24.5,38.5,1,12
755,178.5,-72.5,1,1
755,176.5,-72.5,1,1
763,126.5,-11.5,1,5
763,125.5,-11.5,1,1
807,78.5,-51.5,1,22
824,136.5,12.5,1,18
832,32.5,33.5,1,4
840,3.5,33.5,1,2
851,72.5,-38.5,1,1
852,-43.5,-63.5,1,2
868,-49.5,-18.5,1,2
873,31.5,23.5,1,2
873,41.5,26.5,1,2
873,36.5,29.5,1,1
873,38.5,23.5,1,2
874,-24.5,38.5,1,12
885,-46.5,-27.5,1,1
887,32.5,33.5,1,4
890,178.5,-72.5,1,1
890,176.5,-72.5,1,1
902,136.5,12.5,1,18
902,137.5,13.5,1,2
906,-38.5,-57.5,1,3
962,-177.5,-73.5,1,5
962,-178.5,-73.5,1,4
