"id","x","y","rep","collections"
3,20.5,42.5,1,2
3,28.5,37.5,1,1
3,23.5,41.5,1,8
5,-112.5,74.5,1,2
5,-114.5,75.5,1,11
6,-49.5,82.5,1,3
9,91.5,-44.5,1,2
27,-40.5,6.5,1,3
27,-41.5,-1.5,1,2
47,6.5,36.5,1,3
66,-10.5,79.5,1,1
66,-12.5,74.5,1,4
73,-44.5,0.5,1,9
80,-51.5,6.5,1,13
80,-49.5,9.5,1,13
90,-47.5,11.5,1,19
98,-106.5,68.5,1,5
111,30.5,26.5,1,71
111,32.5,24.5,1,12
113,32.5,33.5,1,1
114,-36.5,1.5,1,102
116,143.5,-1.5,1,14
116,146.5,-0.5,1,19
121,30.5,26.5,1,71
123,-15.5,34.5,1,5
123,-8.5,36.5,1,2
135,-51.5,6.5,1,13
145,17.5,45.5,1,2
146,-62.5,38.5,1,1
146,-36.5,36.5,1,3
149,-49.5,-36.5,1,32
156,-55.5,-31.5,1,1
160,151.5,-45.5,1,1
173,15.5,38.5,1,4
173,20.5,42.5,1,2
197,74.5,-33.5,1,2
197,74.5,-22.5,1,128
200,15.5,39.5,1,11
216,-66.5,84.5,1,1
232,38.5,36.5,1,15
248,16.5,41.5,1,5
252,14.5,44.5,1,1
253,122.5,16.5,1,3
260,-0.5,36.5,1,1
261,-0.5,36.5,1,1
266,38.5,36.5,1,15
266,35.5,37.5,1,8
266,32.5,33.5,1,1
266,28.5,37.5,1,1
269,91.5,-44.5,1,2
273,152.5,-63.5,1,7
301,23.5,35.5,1,1
309,-66.5,84.5,1,1
321,-49.5,-36.5,1,32
323,-72.5,-65.5,1,1
328,21.5,-16.5,1,2
329,-49.5,82.5,1,3
331,130.5,18.5,1,13
333,-41.5,19.5,1,3
369,81.5,-36.5,1,1
397,50.5,-31.5,1,13
402,23.5,35.5,1,1
411,137.5,39.5,1,1
419,-99.5,12.5,1,4
433,98.5,-38.5,1,4
433,118.5,-32.5,1,11
438,-55.5,31.5,1,10
440,21.5,-16.5,1,2
445,32.5,33.5,1,1
458,-46.5,1.5,1,10
458,-45.5,-2.5,1,55
461,-50.5,-7.5,1,1
488,-35.5,3.5,1,121
493,-15.5,34.5,1,5
495,19.5,-12.5,1,1
499,17.5,44.5,1,6
499,17.5,45.5,1,2
501,-49.5,82.5,1,3
507,-45.5,-2.5,1,55
507,-40.5,6.5,1,3
512,-51.5,-52.5,1,1
519,153.5,8.5,1,3
529,-41.5,19.5,1,3
531,27.5,-20.5,1,19
539,143.5,-1.5,1,14
546,81.5,-36.5,1,1
552,15.5,38.5,1,4
552,17.5,44.5,1,6
555,-18.5,81.5,1,4
556,130.5,18.5,1,13
563,19.5,-12.5,1,1
575,151.5,-61.5,1,1
575,152.5,-63.5,1,7
588,152.5,-63.5,1,7
593,30.5,26.5,1,71
605,-72.5,-65.5,1,1
607,152.5,-63.5,1,7
609,21.5,-16.5,1,2
609,19.5,-12.5,1,1
631,137.5,39.5,1,1
640,79.5,56.5,1,1
645,-1.5,36.5,1,20
653,74.5,-33.5,1,2
656,136.5,-15.5,1,11
668,-50.5,-7.5,1,1
672,15.5,39.5,1,11
673,-100.5,70.5,1,4
677,-51.5,-52.5,1,1
678,-40.5,6.5,1,3
685,32.5,33.5,1,1
695,4.5,68.5,1,1
705,-41.5,-1.5,1,2
705,-42.5,-3.5,1,11
724,153.5,8.5,1,3
724,151.5,4.5,1,1
730,151.5,-43.5,1,1
733,-47.5,11.5,1,19
733,-46.5,13.5,1,1
733,-45.5,9.5,1,1
733,-49.5,9.5,1,13
741,17.5,45.5,1,2
742,-10.5,79.5,1,1
761,-112.5,74.5,1,2
770,22.5,39.5,1,2
775,34.5,26.5,1,24
785,30.5,26.5,1,71
794,14.5,44.5,1,1
794,17.5,44.5,1,6
811,-52.5,85.5,1,2
813,-36.5,1.5,1,102
814,-112.5,74.5,1,2
819,-51.5,-32.5,1,17
823,117.5,21.5,1,1
828,27.5,-20.5,1,19
830,151.5,-61.5,1,1
842,169.5,8.5,1,1
860,35.5,37.5,1,8
860,30.5,26.5,1,71
861,34.5,26.5,1,24
870,-100.5,70.5,1,4
874,153.5,8.5,1,3
880,19.5,-12.5,1,1
882,151.5,-45.5,1,1
900,118.5,-32.5,1,11
903,-15.5,34.5,1,5
907,-55.5,-31.5,1,1
911,6.5,68.5,1,1
913,-12.5,74.5,1,4
914,-41.5,-1.5,1,2
914,-44.5,0.5,1,9
914,-46.5,13.5,1,1
