"id","x","y","rep","collections"
8,19.5,38.5,1,27
23,78.5,39.5,1,1
37,20.5,29.5,1,1
44,94.5,45.5,1,1
61,52.5,42.5,1,1
63,-49.5,35.5,1,10
64,52.5,42.5,1,1
65,94.5,45.5,1,1
69,30.5,36.5,1,19
69,30.5,42.5,1,2
85,35.5,9.5,1,2
95,23.5,37.5,1,2
95,19.5,38.5,1,27
103,50.5,-9.5,1,6
117,-28.5,-31.5,1,2
124,19.5,20.5,1,5
139,174.5,45.5,1,3
156,-178.5,47.5,1,1
161,-43.5,31.5,1,71
162,-62.5,52.5,1,11
178,-28.5,-31.5,1,2
178,-28.5,-28.5,1,1
179,114.5,47.5,1,2
181,40.5,38.5,1,5
204,27.5,35.5,1,1
205,114.5,44.5,1,3
245,21.5,39.5,1,7
246,-43.5,33.5,1,10
292,-25.5,-86.5,1,15
308,-28.5,-31.5,1,2
308,-28.5,-28.5,1,1
312,35.5,9.5,1,2
313,64.5,44.5,1,1
313,76.5,45.5,1,1
313,59.5,44.5,1,1
317,28.5,33.5,1,29
328,-25.5,-86.5,1,15
336,64.5,44.5,1,1
348,-44.5,28.5,1,22
350,19.5,38.5,1,27
354,-25.5,-25.5,1,1
358,-48.5,44.5,1,2
358,-50.5,42.5,1,21
366,-49.5,35.5,1,10
366,-48.5,44.5,1,2
371,76.5,37.5,1,1
379,-43.5,31.5,1,71
379,-42.5,36.5,1,7
379,-49.5,35.5,1,10
415,5.5,23.5,1,11
428,19.5,20.5,1,5
428,20.5,36.5,1,11
462,7.5,44.5,1,2
473,11.5,42.5,1,5
487,-48.5,44.5,1,2
487,-50.5,42.5,1,21
499,78.5,39.5,1,1
506,59.5,44.5,1,1
518,-49.5,35.5,1,10
547,25.5,-28.5,1,10
555,2.5,25.5,1,3
575,118.5,44.5,1,1
583,114.5,47.5,1,2
584,59.5,44.5,1,1
588,-43.5,31.5,1,71
602,19.5,38.5,1,27
602,20.5,36.5,1,11
602,21.5,39.5,1,7
602,23.5,37.5,1,2
602,20.5,29.5,1,1
605,40.5,38.5,1,5
615,-62.5,52.5,1,11
620,52.5,42.5,1,1
622,23.5,37.5,1,2
640,11.5,42.5,1,5
645,78.5,39.5,1,1
652,-28.5,-31.5,1,2
652,-28.5,-28.5,1,1
654,36.5,24.5,1,4
661,30.5,-30.5,1,1
673,64.5,44.5,1,1
698,-50.5,42.5,1,21
708,-39.5,35.5,1,1
