"id","x","y","rep","collections"
49,-1.5,37.5,1,3
57,44.5,5.5,1,1
58,58.5,10.5,1,1
87,28.5,44.5,1,1
121,46.5,45.5,1,5
148,10.5,40.5,1,9
156,24.5,24.5,1,24
281,13.5,39.5,1,5
283,-57.5,-66.5,1,25
349,66.5,26.5,1,2
366,61.5,19.5,1,1
398,-81.5,12.5,1,1
412,-73.5,31.5,1,35
412,-73.5,28.5,1,13
412,-73.5,26.5,1,2
412,-77.5,28.5,1,14
429,16.5,48.5,1,5
482,58.5,41.5,1,1
489,-65.5,38.5,1,3
496,-112.5,48.5,1,37
502,16.5,48.5,1,5
507,105.5,-55.5,1,2
533,-65.5,38.5,1,3
534,14.5,24.5,1,2
573,-110.5,38.5,1,2
612,-88.5,27.5,1,6
662,27.5,49.5,1,2
666,140.5,48.5,1,4
673,-69.5,30.5,1,26
733,-73.5,26.5,1,2
733,-73.5,31.5,1,35
780,13.5,39.5,1,5
789,60.5,15.5,1,1
817,-56.5,-58.5,1,1
836,46.5,45.5,1,5
865,61.5,19.5,1,1
891,-112.5,48.5,1,37
898,-1.5,47.5,1,30
939,66.5,26.5,1,2
952,-56.5,-58.5,1,1
974,10.5,40.5,1,9
987,58.5,41.5,1,1
7,28.5,44.5,2,1
101,24.5,24.5,2,24
118,5.5,42.5,2,2
130,28.5,24.5,2,5
137,-170.5,-54.5,2,16
186,47.5,43.5,2,2
222,24.5,24.5,2,24
235,1.5,50.5,2,2
247,1.5,50.5,2,2
247,5.5,50.5,2,2
252,5.5,50.5,2,2
269,-1.5,47.5,2,30
284,16.5,48.5,2,5
307,47.5,43.5,2,2
339,58.5,41.5,2,1
354,15.5,44.5,2,33
387,7.5,29.5,2,2
390,16.5,48.5,2,5
402,-169.5,-52.5,2,1
431,16.5,48.5,2,5
431,7.5,29.5,2,2
432,-170.5,-54.5,2,16
435,-1.5,47.5,2,30
460,28.5,44.5,2,1
469,47.5,43.5,2,2
502,58.5,10.5,2,1
513,27.5,49.5,2,2
521,97.5,-42.5,2,3
527,8.5,-32.5,2,5
535,28.5,24.5,2,5
537,27.5,49.5,2,2
549,13.5,39.5,2,5
550,14.5,24.5,2,2
555,15.5,44.5,2,33
560,66.5,26.5,2,2
605,28.5,24.5,2,5
605,10.5,40.5,2,9
605,35.5,45.5,2,2
629,-73.5,28.5,2,13
657,-64.5,4.5,2,1
670,-170.5,-54.5,2,16
680,44.5,5.5,2,1
682,15.5,44.5,2,33
713,-56.5,-58.5,2,1
720,-110.5,38.5,2,2
721,28.5,44.5,2,1
721,16.5,48.5,2,5
740,140.5,48.5,2,4
834,35.5,45.5,2,2
929,66.5,26.5,2,2
969,47.5,43.5,2,2
974,-56.5,6.5,2,1
998,1.5,50.5,2,2
31,66.5,26.5,3,2
71,5.5,42.5,3,2
78,5.5,50.5,3,2
79,1.5,50.5,3,2
85,61.5,19.5,3,1
120,28.5,44.5,3,1
163,140.5,48.5,3,4
186,15.5,44.5,3,33
206,-65.5,38.5,3,3
227,-77.5,28.5,3,14
227,-88.5,27.5,3,6
227,-84.5,29.5,3,2
238,5.5,42.5,3,2
247,66.5,26.5,3,2
270,-169.5,-52.5,3,1
290,61.5,19.5,3,1
298,63.5,14.5,3,1
299,1.5,50.5,3,2
308,-39.5,-28.5,3,1
322,58.5,10.5,3,1
367,8.5,-32.5,3,5
374,-88.5,27.5,3,6
374,-77.5,28.5,3,14
378,-73.5,31.5,3,35
384,-1.5,47.5,3,30
405,140.5,48.5,3,4
408,58.5,41.5,3,1
412,-56.5,-58.5,3,1
443,16.5,48.5,3,5
443,15.5,44.5,3,33
455,46.5,45.5,3,5
468,5.5,42.5,3,2
501,58.5,10.5,3,1
502,35.5,47.5,3,1
545,-56.5,-58.5,3,1
557,5.5,50.5,3,2
560,24.5,24.5,3,24
565,105.5,-53.5,3,1
565,100.5,-55.5,3,6
565,105.5,-55.5,3,2
595,46.5,45.5,3,5
606,28.5,44.5,3,1
612,-77.5,28.5,3,14
614,-1.5,47.5,3,30
673,105.5,-53.5,3,1
702,35.5,47.5,3,1
705,16.5,48.5,3,5
705,15.5,44.5,3,33
727,-113.5,41.5,3,1
815,27.5,49.5,3,2
815,15.5,44.5,3,33
824,61.5,19.5,3,1
854,105.5,-55.5,3,2
888,110.5,-55.5,3,1
889,35.5,45.5,3,2
895,-73.5,31.5,3,35
920,7.5,29.5,3,2
957,5.5,50.5,3,2
960,66.5,26.5,3,2
994,27.5,49.5,3,2
25,58.5,10.5,4,1
38,-169.5,-52.5,4,1
125,35.5,47.5,4,1
136,-8.5,47.5,4,2
190,100.5,-55.5,4,6
218,27.5,49.5,4,2
223,35.5,45.5,4,2
275,-56.5,-58.5,4,1
276,14.5,24.5,4,2
302,35.5,45.5,4,2
312,28.5,24.5,4,5
328,44.5,5.5,4,1
344,15.5,44.5,4,33
410,105.5,-55.5,4,2
441,10.5,40.5,4,9
473,44.5,5.5,4,1
475,35.5,47.5,4,1
475,35.5,45.5,4,2
476,61.5,19.5,4,1
500,-64.5,4.5,4,1
525,24.5,24.5,4,24
543,64.5,17.5,4,37
578,1.5,50.5,4,2
578,7.5,29.5,4,2
588,-169.5,-52.5,4,1
605,28.5,44.5,4,1
664,100.5,-55.5,4,6
664,110.5,-55.5,4,1
722,-170.5,-54.5,4,16
775,-81.5,12.5,4,1
776,7.5,29.5,4,2
780,-170.5,-54.5,4,16
799,14.5,24.5,4,2
813,10.5,40.5,4,9
816,61.5,19.5,4,1
834,47.5,43.5,4,2
856,-1.5,37.5,4,3
864,-81.5,12.5,4,1
937,-73.5,28.5,4,13
937,-73.5,26.5,4,2
952,63.5,14.5,4,1
961,5.5,50.5,4,2
3,35.5,47.5,5,1
24,35.5,47.5,5,1
117,46.5,45.5,5,5
144,-65.5,38.5,5,3
145,35.5,47.5,5,1
151,97.5,-42.5,5,3
186,35.5,47.5,5,1
268,44.5,5.5,5,1
298,-18.5,21.5,5,2
304,60.5,15.5,5,1
333,-18.5,21.5,5,2
375,24.5,24.5,5,24
417,13.5,39.5,5,5
419,46.5,45.5,5,5
426,60.5,15.5,5,1
438,35.5,47.5,5,1
467,35.5,45.5,5,2
471,-69.5,30.5,5,26
475,-169.5,-52.5,5,1
478,-84.5,29.5,5,2
478,-73.5,26.5,5,2
486,105.5,-55.5,5,2
487,15.5,44.5,5,33
528,-66.5,-19.5,5,3
529,7.5,29.5,5,2
603,-56.5,6.5,5,1
609,58.5,10.5,5,1
609,64.5,17.5,5,37
612,15.5,44.5,5,33
660,13.5,39.5,5,5
682,-66.5,-19.5,5,3
696,60.5,15.5,5,1
696,63.5,14.5,5,1
756,1.5,50.5,5,2
794,35.5,45.5,5,2
809,-73.5,31.5,5,35
816,-65.5,38.5,5,3
843,14.5,24.5,5,2
865,64.5,17.5,5,37
873,14.5,24.5,5,2
884,24.5,24.5,5,24
884,16.5,48.5,5,5
903,100.5,-55.5,5,6
903,97.5,-42.5,5,3
908,-57.5,-66.5,5,25
912,61.5,19.5,5,1
