"id","x","y","rep","collections"
48,29.5,37.5,1,1
48,35.5,37.5,1,3
48,36.5,37.5,1,2
48,19.5,35.5,1,18
67,20.5,34.5,1,1
67,21.5,33.5,1,11
67,20.5,32.5,1,1
68,27.5,32.5,1,6
76,-43.5,36.5,1,1
77,45.5,-25.5,1,2
91,83.5,36.5,1,1
94,25.5,31.5,1,2
96,20.5,35.5,1,22
96,19.5,28.5,1,5
96,20.5,34.5,1,1
96,23.5,33.5,1,1
100,30.5,-28.5,1,3
124,-43.5,37.5,1,30
125,23.5,18.5,1,5
127,35.5,-21.5,1,2
134,31.5,-28.5,1,3
159,21.5,33.5,1,11
159,27.5,31.5,1,7
159,22.5,31.5,1,2
169,20.5,33.5,1,1
169,20.5,35.5,1,22
169,20.5,32.5,1,1
169,21.5,33.5,1,11
195,-37.5,30.5,1,2
231,25.5,34.5,1,1
261,113.5,18.5,1,2
261,113.5,17.5,1,13
265,23.5,18.5,1,5
266,72.5,32.5,1,2
293,-56.5,42.5,1,5
303,25.5,32.5,1,1
306,-49.5,31.5,1,1
310,52.5,47.5,1,1
321,23.5,18.5,1,5
388,102.5,24.5,1,9
433,35.5,-21.5,1,2
435,31.5,38.5,1,1
435,30.5,38.5,1,1
435,29.5,37.5,1,1
440,23.5,18.5,1,5
441,49.5,44.5,1,1
470,-37.5,31.5,1,5
489,22.5,35.5,1,7
505,23.5,19.5,1,3
505,25.5,31.5,1,2
506,-34.5,32.5,1,3
513,36.5,23.5,1,1
529,72.5,32.5,1,2
553,20.5,32.5,1,1
572,31.5,12.5,1,1
574,38.5,18.5,1,1
597,44.5,-3.5,1,2
603,49.5,44.5,1,1
623,27.5,32.5,1,6
653,34.5,38.5,1,1
703,80.5,35.5,1,14
706,-43.5,37.5,1,30
711,29.5,37.5,1,1
733,37.5,15.5,1,1
755,38.5,18.5,1,1
766,23.5,18.5,1,5
780,113.5,17.5,1,13
794,22.5,35.5,1,7
801,44.5,-3.5,1,2
801,44.5,-2.5,1,1
820,38.5,11.5,1,1
821,113.5,18.5,1,2
823,44.5,-2.5,1,1
830,146.5,44.5,1,1
837,38.5,5.5,1,12
869,-43.5,37.5,1,30
871,72.5,32.5,1,2
876,35.5,-21.5,1,2
884,36.5,36.5,1,1
884,35.5,37.5,1,3
894,22.5,35.5,1,7
894,19.5,34.5,1,10
894,20.5,35.5,1,22
894,20.5,34.5,1,1
894,19.5,36.5,1,2
911,26.5,30.5,1,1
911,22.5,35.5,1,7
911,25.5,31.5,1,2
911,21.5,33.5,1,11
911,26.5,28.5,1,1
911,20.5,32.5,1,1
911,24.5,34.5,1,1
916,20.5,32.5,1,1
916,22.5,31.5,1,2
916,27.5,31.5,1,7
916,25.5,32.5,1,1
916,27.5,32.5,1,6
925,37.5,19.5,1,2
932,19.5,27.5,1,3
937,39.5,11.5,1,3
937,38.5,11.5,1,1
976,25.5,34.5,1,1
976,24.5,33.5,1,1
976,24.5,34.5,1,1
976,23.5,33.5,1,1
982,36.5,36.5,1,1
21,146.5,44.5,2,1
33,35.5,37.5,2,3
35,-33.5,31.5,2,1
44,114.5,18.5,2,1
74,49.5,44.5,2,1
74,35.5,37.5,2,3
74,31.5,38.5,2,1
142,27.5,32.5,2,6
165,115.5,15.5,2,1
167,25.5,32.5,2,1
167,19.5,34.5,2,10
167,21.5,33.5,2,11
167,19.5,28.5,2,5
194,52.5,47.5,2,1
261,-37.5,30.5,2,2
268,102.5,6.5,2,9
290,38.5,18.5,2,1
299,26.5,28.5,2,1
305,44.5,-2.5,2,1
320,20.5,34.5,2,1
336,23.5,33.5,2,1
336,27.5,31.5,2,7
344,23.5,33.5,2,1
344,25.5,32.5,2,1
344,20.5,33.5,2,1
349,31.5,12.5,2,1
368,45.5,-25.5,2,2
416,23.5,18.5,2,5
426,38.5,4.5,2,1
426,38.5,11.5,2,1
426,38.5,5.5,2,12
430,44.5,-3.5,2,2
452,98.5,6.5,2,3
452,100.5,24.5,2,1
452,102.5,6.5,2,9
472,-34.5,32.5,2,3
503,30.5,-28.5,2,3
512,27.5,32.5,2,6
553,19.5,28.5,2,5
555,26.5,30.5,2,1
587,59.5,33.5,2,1
593,36.5,36.5,2,1
593,34.5,38.5,2,1
615,49.5,44.5,2,1
658,146.5,44.5,2,1
684,-56.5,42.5,2,5
685,34.5,38.5,2,1
685,30.5,38.5,2,1
715,24.5,34.5,2,1
726,31.5,38.5,2,1
728,20.5,33.5,2,1
728,22.5,35.5,2,7
728,22.5,31.5,2,2
748,37.5,15.5,2,1
766,-43.5,36.5,2,1
766,-38.5,28.5,2,1
766,-33.5,31.5,2,1
766,-34.5,32.5,2,3
783,21.5,33.5,2,11
783,22.5,16.5,2,3
803,-38.5,28.5,2,1
832,25.5,34.5,2,1
832,26.5,28.5,2,1
873,72.5,32.5,2,2
902,23.5,33.5,2,1
902,21.5,33.5,2,11
902,22.5,35.5,2,7
918,83.5,36.5,2,1
927,-73.5,57.5,2,1
947,52.5,47.5,2,1
998,44.5,-2.5,2,1
9,80.5,36.5,3,4
9,80.5,35.5,3,14
19,80.5,35.5,3,14
32,38.5,5.5,3,12
34,26.5,30.5,3,1
42,68.5,34.5,3,1
78,68.5,34.5,3,1
113,-43.5,37.5,3,30
135,38.5,4.5,3,1
135,38.5,18.5,3,1
160,27.5,32.5,3,6
160,35.5,37.5,3,3
170,25.5,34.5,3,1
176,102.5,6.5,3,9
178,27.5,32.5,3,6
233,44.5,-2.5,3,1
233,44.5,-3.5,3,2
250,22.5,35.5,3,7
250,20.5,35.5,3,22
271,38.5,5.5,3,12
276,58.5,33.5,3,1
292,24.5,34.5,3,1
303,36.5,37.5,3,2
317,20.5,32.5,3,1
318,-43.5,36.5,3,1
318,-43.5,37.5,3,30
343,22.5,16.5,3,3
359,20.5,36.5,3,24
373,34.5,38.5,3,1
373,35.5,37.5,3,3
373,36.5,36.5,3,1
374,102.5,24.5,3,9
376,38.5,4.5,3,1
405,-56.5,42.5,3,5
410,-43.5,36.5,3,1
417,24.5,34.5,3,1
417,26.5,28.5,3,1
417,25.5,32.5,3,1
484,-79.5,59.5,3,7
507,59.5,33.5,3,1
512,49.5,44.5,3,1
514,29.5,36.5,3,1
514,34.5,16.5,3,2
514,27.5,31.5,3,7
520,44.5,-2.5,3,1
520,44.5,-3.5,3,2
528,29.5,37.5,3,1
528,36.5,37.5,3,2
570,36.5,36.5,3,1
650,44.5,-3.5,3,2
652,30.5,-28.5,3,3
652,31.5,-28.5,3,3
661,-34.5,32.5,3,3
661,-37.5,30.5,3,2
701,39.5,11.5,3,3
708,35.5,-21.5,3,2
