"id","x","y","rep","collections"
6,54.5,41.5,1,6
6,50.5,43.5,1,5
6,52.5,42.5,1,1
56,22.5,27.5,1,14
64,22.5,61.5,1,8
73,-41.5,9.5,1,1
75,18.5,48.5,1,2
75,19.5,50.5,1,4
84,32.5,33.5,1,6
84,25.5,30.5,1,12
84,39.5,1.5,1,1
101,37.5,10.5,1,1
114,15.5,21.5,1,37
130,-44.5,16.5,1,7
135,43.5,41.5,1,1
135,28.5,38.5,1,4
136,50.5,43.5,1,5
137,22.5,13.5,1,1
144,22.5,61.5,1,8
201,46.5,40.5,1,1
238,34.5,33.5,1,1
238,33.5,33.5,1,10
239,60.5,33.5,1,1
280,53.5,41.5,1,3
280,54.5,41.5,1,6
283,44.5,40.5,1,1
283,47.5,40.5,1,5
284,-41.5,65.5,1,3
301,-33.5,-2.5,1,1
302,24.5,30.5,1,1
322,47.5,30.5,1,1
332,53.5,-15.5,1,11
338,44.5,40.5,1,1
345,66.5,56.5,1,2
345,63.5,54.5,1,3
346,-41.5,64.5,1,1
346,-41.5,65.5,1,3
349,15.5,21.5,1,37
349,16.5,22.5,1,2
359,-41.5,9.5,1,1
378,46.5,31.5,1,17
378,45.5,31.5,1,2
381,23.5,28.5,1,3
412,47.5,44.5,1,1
416,45.5,-11.5,1,1
442,16.5,23.5,1,1
442,22.5,35.5,1,1
442,24.5,29.5,1,1
442,35.5,16.5,1,1
442,32.5,17.5,1,6
444,60.5,33.5,1,1
455,68.5,57.5,1,1
476,21.5,27.5,1,10
478,52.5,42.5,1,1
479,60.5,33.5,1,1
499,32.5,33.5,1,6
499,31.5,33.5,1,17
500,63.5,57.5,1,1
521,19.5,50.5,1,4
527,45.5,-11.5,1,1
537,24.5,29.5,1,1
552,22.5,61.5,1,8
553,-31.5,74.5,1,3
562,66.5,56.5,1,2
564,-52.5,42.5,1,14
568,25.5,30.5,1,12
597,16.5,22.5,1,2
597,21.5,27.5,1,10
618,22.5,61.5,1,8
628,63.5,56.5,1,1
630,59.5,-41.5,1,5
637,-42.5,14.5,1,1
644,63.5,56.5,1,1
644,64.5,56.5,1,2
647,28.5,38.5,1,4
679,-41.5,64.5,1,1
696,25.5,30.5,1,12
698,46.5,1.5,1,8
713,32.5,32.5,1,1
718,59.5,-41.5,1,5
723,46.5,40.5,1,1
733,33.5,33.5,1,10
755,45.5,-11.5,1,1
758,60.5,33.5,1,1
766,53.5,-15.5,1,11
783,37.5,8.5,1,2
783,37.5,10.5,1,1
783,38.5,12.5,1,2
784,-40.5,64.5,1,10
785,-32.5,-2.5,1,2
787,23.5,28.5,1,3
787,21.5,27.5,1,10
787,21.5,26.5,1,1
787,22.5,28.5,1,1
787,24.5,30.5,1,1
801,-40.5,7.5,1,1
806,38.5,12.5,1,2
821,24.5,35.5,1,15
824,63.5,57.5,1,1
830,63.5,57.5,1,1
836,63.5,56.5,1,1
843,22.5,27.5,1,14
843,23.5,28.5,1,3
871,33.5,16.5,1,4
878,24.5,35.5,1,15
878,22.5,35.5,1,1
878,19.5,36.5,1,1
897,68.5,57.5,1,1
915,63.5,57.5,1,1
923,22.5,61.5,1,8
969,63.5,54.5,1,3
993,45.5,-38.5,1,1
30,-41.5,9.5,2,1
46,24.5,35.5,2,15
46,32.5,35.5,2,1
72,-40.5,64.5,2,10
129,35.5,16.5,2,1
136,-41.5,65.5,2,3
141,22.5,61.5,2,8
148,16.5,23.5,2,1
148,15.5,21.5,2,37
165,38.5,6.5,2,22
179,24.5,35.5,2,15
195,34.5,33.5,2,1
195,32.5,32.5,2,1
195,32.5,16.5,2,1
198,32.5,17.5,2,6
208,46.5,40.5,2,1
221,14.5,17.5,2,7
222,59.5,-41.5,2,5
231,-41.5,64.5,2,1
276,43.5,41.5,2,1
283,31.5,33.5,2,17
292,-42.5,14.5,2,1
303,47.5,40.5,2,5
303,46.5,40.5,2,1
311,15.5,21.5,2,37
318,64.5,56.5,2,2
318,66.5,57.5,2,2
318,63.5,57.5,2,1
318,63.5,56.5,2,1
322,-52.5,42.5,2,14
407,45.5,-38.5,2,1
410,58.5,21.5,2,6
426,22.5,28.5,2,1
