"id","x","y","rep","collections"
4,-75.5,25.5,1,1
9,118.5,2.5,1,1
21,23.5,46.5,1,1
36,3.5,38.5,1,3
36,7.5,41.5,1,5
58,2.5,41.5,1,20
64,-64.5,11.5,1,1
89,-81.5,12.5,1,2
94,-0.5,37.5,1,2
94,2.5,42.5,1,2
103,3.5,40.5,1,2
106,-81.5,12.5,1,2
123,138.5,45.5,1,1
125,20.5,43.5,1,10
128,39.5,41.5,1,1
137,130.5,34.5,1,1
170,-178.5,-41.5,1,1
181,3.5,41.5,1,4
181,2.5,42.5,1,2
197,9.5,43.5,1,13
213,22.5,43.5,1,6
267,130.5,34.5,1,1
281,14.5,-33.5,1,1
283,-6.5,35.5,1,5
300,22.5,42.5,1,2
301,48.5,24.5,1,1
301,50.5,23.5,1,1
326,-178.5,-41.5,1,1
326,-179.5,-40.5,1,6
326,-177.5,-47.5,1,1
333,-69.5,-36.5,1,1
344,161.5,63.5,1,1
350,3.5,38.5,1,3
350,8.5,40.5,1,3
350,15.5,39.5,1,2
350,3.5,40.5,1,2
350,3.5,41.5,1,4
358,22.5,43.5,1,6
363,130.5,34.5,1,1
371,10.5,44.5,1,6
371,40.5,40.5,1,1
375,23.5,46.5,1,1
424,7.5,40.5,1,5
430,7.5,40.5,1,5
432,-64.5,11.5,1,1
432,-64.5,10.5,1,8
432,-64.5,9.5,1,1
452,39.5,41.5,1,1
452,44.5,39.5,1,1
472,11.5,41.5,1,3
479,-68.5,39.5,1,4
487,33.5,32.5,1,3
506,-71.5,-43.5,1,2
513,-75.5,25.5,1,1
528,-6.5,35.5,1,5
545,7.5,41.5,1,5
545,7.5,40.5,1,5
545,3.5,40.5,1,2
545,9.5,43.5,1,13
545,6.5,40.5,1,2
545,8.5,43.5,1,1
545,10.5,43.5,1,9
548,118.5,2.5,1,1
553,15.5,39.5,1,2
583,10.5,44.5,1,6
628,161.5,63.5,1,1
634,-81.5,12.5,1,2
637,-81.5,12.5,1,2
643,8.5,40.5,1,3
643,-0.5,37.5,1,2
643,23.5,46.5,1,1
652,-71.5,-43.5,1,2
652,-70.5,-41.5,1,2
652,-69.5,-36.5,1,1
652,-70.5,-40.5,1,1
657,23.5,46.5,1,1
658,-81.5,12.5,1,2
659,11.5,41.5,1,3
659,7.5,40.5,1,5
686,14.5,-33.5,1,1
689,8.5,40.5,1,3
695,-68.5,39.5,1,4
695,-74.5,32.5,1,1
719,15.5,39.5,1,2
726,3.5,40.5,1,2
726,8.5,40.5,1,3
726,10.5,43.5,1,9
726,7.5,41.5,1,5
726,3.5,38.5,1,3
750,48.5,19.5,1,1
758,44.5,39.5,1,1
758,48.5,38.5,1,1
764,-68.5,39.5,1,4
764,-69.5,39.5,1,1
788,29.5,33.5,1,1
788,23.5,46.5,1,1
788,15.5,39.5,1,2
816,134.5,36.5,1,4
829,130.5,34.5,1,1
829,134.5,36.5,1,4
837,41.5,40.5,1,1
837,40.5,40.5,1,1
837,39.5,41.5,1,1
840,22.5,42.5,1,2
840,8.5,43.5,1,1
840,10.5,43.5,1,9
840,20.5,43.5,1,10
862,33.5,32.5,1,3
878,138.5,45.5,1,1
909,138.5,45.5,1,1
930,-74.5,32.5,1,1
930,-73.5,34.5,1,1
942,-55.5,10.5,1,1
945,49.5,17.5,1,10
971,-55.5,10.5,1,1
8,138.5,45.5,2,1
15,29.5,33.5,2,1
15,23.5,46.5,2,1
24,11.5,41.5,2,3
41,-75.5,25.5,2,1
50,10.5,41.5,2,5
50,6.5,40.5,2,2
56,130.5,34.5,2,1
65,121.5,-0.5,2,2
77,-71.5,-43.5,2,2
84,8.5,40.5,2,3
95,29.5,33.5,2,1
106,-179.5,-40.5,2,6
106,-177.5,-47.5,2,1
