"id","x","y","rep","collections"
19,138.5,34.5,1,1
24,-41.5,28.5,1,12
24,-40.5,31.5,1,2
34,26.5,32.5,1,8
34,21.5,30.5,1,7
35,-52.5,26.5,1,1
35,-45.5,27.5,1,5
48,16.5,33.5,1,1
53,17.5,37.5,1,3
56,30.5,-30.5,1,2
96,-41.5,62.5,1,4
104,17.5,20.5,1,6
110,108.5,45.5,1,2
115,34.5,19.5,1,11
118,28.5,38.5,1,8
121,41.5,42.5,1,3
121,41.5,35.5,1,1
130,-44.5,29.5,1,24
130,-53.5,32.5,1,6
135,-54.5,48.5,1,4
136,11.5,47.5,1,1
146,30.5,-30.5,1,2
165,-31.5,-35.5,1,2
172,-156.5,-82.5,1,10
179,-59.5,51.5,1,123
216,-44.5,29.5,1,24
222,17.5,31.5,1,1
253,-45.5,27.5,1,5
257,17.5,20.5,1,6
269,157.5,45.5,1,1
274,52.5,49.5,1,1
279,31.5,39.5,1,1
279,27.5,40.5,1,26
279,33.5,37.5,1,4
282,35.5,38.5,1,1
291,162.5,46.5,1,2
291,157.5,45.5,1,1
297,-44.5,29.5,1,24
301,11.5,47.5,1,1
304,-59.5,51.5,1,123
313,36.5,33.5,1,2
313,23.5,30.5,1,3
331,-52.5,26.5,1,1
334,-32.5,-30.5,1,1
337,-32.5,-30.5,1,1
337,-31.5,-35.5,1,2
361,41.5,42.5,1,3
385,17.5,20.5,1,6
405,16.5,33.5,1,1
408,26.5,37.5,1,4
411,24.5,28.5,1,1
422,74.5,38.5,1,1
424,52.5,49.5,1,1
435,108.5,45.5,1,2
454,27.5,40.5,1,26
463,-60.5,39.5,1,2
470,35.5,38.5,1,1
471,41.5,42.5,1,3
473,28.5,38.5,1,8
495,-32.5,-30.5,1,1
511,41.5,-5.5,1,11
518,29.5,-33.5,1,1
518,25.5,-33.5,1,10
523,40.5,-18.5,1,27
525,17.5,37.5,1,3
525,19.5,32.5,1,1
527,138.5,34.5,1,1
534,27.5,-37.5,1,13
537,25.5,-33.5,1,10
537,27.5,-37.5,1,13
537,30.5,-37.5,1,3
537,29.5,-33.5,1,1
543,-41.5,28.5,1,12
572,27.5,40.5,1,26
572,31.5,39.5,1,1
582,35.5,38.5,1,1
588,-44.5,29.5,1,24
590,18.5,34.5,1,32
618,19.5,32.5,1,1
623,162.5,46.5,1,2
633,25.5,-33.5,1,10
633,32.5,-23.5,1,13
633,27.5,-37.5,1,13
633,30.5,-30.5,1,2
667,40.5,-18.5,1,27
675,-39.5,33.5,1,1
700,52.5,49.5,1,1
738,26.5,37.5,1,4
738,28.5,38.5,1,8
743,31.5,39.5,1,1
751,-32.5,-30.5,1,1
752,36.5,33.5,1,2
759,-49.5,41.5,1,1
768,-54.5,48.5,1,4
774,24.5,28.5,1,1
780,16.5,24.5,1,2
780,17.5,15.5,1,1
792,8.5,79.5,1,1
795,-31.5,-35.5,1,2
811,39.5,16.5,1,2
817,39.5,16.5,1,2
839,34.5,19.5,1,11
842,41.5,42.5,1,3
855,16.5,24.5,1,2
865,16.5,24.5,1,2
865,17.5,20.5,1,6
871,-40.5,31.5,1,2
899,41.5,42.5,1,3
900,28.5,38.5,1,8
903,26.5,32.5,1,8
903,26.5,37.5,1,4
903,17.5,37.5,1,3
903,19.5,32.5,1,1
913,6.5,59.5,1,5
916,108.5,45.5,1,2
921,162.5,46.5,1,2
921,157.5,45.5,1,1
929,-156.5,-82.5,1,10
936,17.5,15.5,1,1
943,7.5,16.5,1,1
954,23.5,30.5,1,3
964,52.5,49.5,1,1
974,-41.5,62.5,1,4
980,-45.5,27.5,1,5
980,-40.5,31.5,1,2
985,33.5,-21.5,1,1
985,40.5,-7.5,1,112
20,7.5,59.5,2,1
44,17.5,20.5,2,6
44,16.5,24.5,2,2
44,17.5,31.5,2,1
60,-32.5,-30.5,2,1
63,17.5,20.5,2,6
66,33.5,-21.5,2,1
70,26.5,32.5,2,8
72,41.5,42.5,2,3
72,58.5,40.5,2,3
80,74.5,38.5,2,1
80,157.5,45.5,2,1
96,17.5,37.5,2,3
96,18.5,34.5,2,32
106,17.5,20.5,2,6
106,17.5,15.5,2,1
167,11.5,47.5,2,1
179,27.5,40.5,2,26
179,21.5,30.5,2,7
187,-156.5,-82.5,2,10
190,24.5,28.5,2,1
192,-41.5,62.5,2,4
198,31.5,39.5,2,1
200,41.5,42.5,2,3
211,42.5,-20.5,2,1
216,157.5,45.5,2,1
221,25.5,-33.5,2,10
229,17.5,31.5,2,1
270,6.5,59.5,2,5
275,-53.5,32.5,2,6
279,7.5,59.5,2,1
298,17.5,37.5,2,3
308,11.5,47.5,2,1
320,-39.5,33.5,2,1
322,-49.5,41.5,2,1
349,6.5,59.5,2,5
352,63.5,20.5,2,1
356,32.5,-23.5,2,13
358,11.5,47.5,2,1
366,41.5,-5.5,2,11
370,8.5,79.5,2,1
383,108.5,45.5,2,2
398,27.5,-37.5,2,13
402,11.5,48.5,2,2
402,35.5,38.5,2,1
402,52.5,49.5,2,1
402,11.5,37.5,2,10
419,41.5,-5.5,2,11
419,40.5,-7.5,2,112
419,38.5,-12.5,2,4
428,45.5,-26.5,2,1
430,41.5,42.5,2,3
431,28.5,38.5,2,8
434,11.5,37.5,2,10
464,34.5,19.5,2,11
470,18.5,34.5,2,32
470,17.5,31.5,2,1
480,11.5,47.5,2,1
505,19.5,32.5,2,1
512,16.5,33.5,2,1
514,41.5,35.5,2,1
523,34.5,19.5,2,11
534,24.5,28.5,2,1
536,108.5,45.5,2,2
538,-31.5,-35.5,2,2
556,-40.5,31.5,2,2
589,38.5,-12.5,2,4
589,30.5,-37.5,2,3
600,28.5,38.5,2,8
600,26.5,32.5,2,8
600,26.5,37.5,2,4
602,28.5,38.5,2,8
610,6.5,59.5,2,5
619,-39.5,33.5,2,1
637,39.5,16.5,2,2
662,24.5,28.5,2,1
662,19.5,32.5,2,1
662,17.5,37.5,2,3
679,16.5,24.5,2,2
682,28.5,38.5,2,8
700,33.5,37.5,2,4
701,138.5,34.5,2,1
706,16.5,24.5,2,2
706,19.5,32.5,2,1
708,34.5,4.5,2,4
708,33.5,-21.5,2,1
733,17.5,31.5,2,1
773,31.5,39.5,2,1
773,35.5,38.5,2,1
774,63.5,20.5,2,1
789,17.5,15.5,2,1
789,17.5,20.5,2,6
797,24.5,28.5,2,1
797,17.5,31.5,2,1
802,-58.5,34.5,2,3
830,29.5,-33.5,2,1
830,25.5,-33.5,2,10
858,74.5,38.5,2,1
876,30.5,-37.5,2,3
880,38.5,-12.5,2,4
884,17.5,31.5,2,1
889,25.5,-33.5,2,10
893,24.5,28.5,2,1
900,11.5,47.5,2,1
906,29.5,-33.5,2,1
906,27.5,-37.5,2,13
921,33.5,1.5,2,9
921,34.5,4.5,2,4
922,-41.5,28.5,2,12
932,27.5,-37.5,2,13
932,30.5,-37.5,2,3
933,18.5,34.5,2,32
934,34.5,19.5,2,11
957,-156.5,-82.5,2,10
977,-156.5,-82.5,2,10
18,27.5,40.5,3,26
31,25.5,-33.5,3,10
44,-156.5,-82.5,3,10
49,74.5,38.5,3,1
57,32.5,-23.5,3,13
66,58.5,40.5,3,3
75,6.5,59.5,3,5
75,7.5,59.5,3,1
79,11.5,37.5,3,10
79,23.5,30.5,3,3
87,27.5,40.5,3,26
115,26.5,32.5,3,8
118,30.5,-30.5,3,2
118,32.5,-23.5,3,13
152,30.5,-30.5,3,2
152,29.5,-33.5,3,1
159,35.5,38.5,3,1
179,74.5,38.5,3,1
183,33.5,1.5,3,9
185,63.5,20.5,3,1
207,52.5,49.5,3,1
211,28.5,38.5,3,8
211,26.5,37.5,3,4
219,28.5,38.5,3,8
234,19.5,32.5,3,1
234,21.5,30.5,3,7
235,18.5,34.5,3,32
235,35.5,38.5,3,1
264,162.5,46.5,3,2
280,32.5,-23.5,3,13
280,33.5,-21.5,3,1
290,-39.5,33.5,3,1
292,45.5,-26.5,3,1
298,35.5,38.5,3,1
298,26.5,32.5,3,8
308,16.5,24.5,3,2
308,16.5,33.5,3,1
317,41.5,42.5,3,3
317,35.5,38.5,3,1
317,41.5,35.5,3,1
338,6.5,59.5,3,5
338,7.5,59.5,3,1
346,7.5,59.5,3,1
355,30.5,-30.5,3,2
423,74.5,38.5,3,1
430,-59.5,51.5,3,123
443,58.5,40.5,3,3
479,17.5,15.5,3,1
495,8.5,79.5,3,1
541,-40.5,31.5,3,2
541,-39.5,33.5,3,1
542,41.5,35.5,3,1
542,35.5,38.5,3,1
542,28.5,38.5,3,8
547,33.5,37.5,3,4
547,31.5,39.5,3,1
556,-41.5,28.5,3,12
585,41.5,42.5,3,3
591,21.5,30.5,3,7
591,18.5,34.5,3,32
597,34.5,19.5,3,11
609,11.5,48.5,3,2
613,17.5,20.5,3,6
613,11.5,47.5,3,1
613,17.5,31.5,3,1
618,162.5,46.5,3,2
643,24.5,28.5,3,1
656,38.5,-12.5,3,4
656,38.5,-19.5,3,7
675,17.5,20.5,3,6
675,17.5,15.5,3,1
682,33.5,1.5,3,9
685,-58.5,34.5,3,3
685,-53.5,32.5,3,6
687,8.5,79.5,3,1
688,26.5,32.5,3,8
692,39.5,16.5,3,2
698,-40.5,31.5,3,2
700,19.5,32.5,3,1
700,16.5,24.5,3,2
707,25.5,-33.5,3,10
707,34.5,-18.5,3,15
734,39.5,16.5,3,2
740,34.5,-18.5,3,15
743,28.5,38.5,3,8
748,108.5,45.5,3,2
749,25.5,-33.5,3,10
760,157.5,45.5,3,1
763,17.5,15.5,3,1
764,16.5,33.5,3,1
772,41.5,-5.5,3,11
777,6.5,59.5,3,5
797,16.5,24.5,3,2
810,-59.5,51.5,3,123
815,-45.5,27.5,3,5
815,-41.5,28.5,3,12
822,30.5,-30.5,3,2
830,-41.5,62.5,3,4
837,17.5,37.5,3,3
864,33.5,37.5,3,4
877,28.5,38.5,3,8
900,16.5,33.5,3,1
916,30.5,-30.5,3,2
933,39.5,16.5,3,2
939,24.5,28.5,3,1
945,29.5,-33.5,3,1
984,36.5,33.5,3,2
987,38.5,-12.5,3,4
992,42.5,-20.5,3,1
996,17.5,15.5,3,1
1,41.5,-5.5,4,11
23,52.5,49.5,4,1
34,8.5,79.5,4,1
39,16.5,33.5,4,1
41,35.5,38.5,4,1
43,26.5,32.5,4,8
48,42.5,-20.5,4,1
94,30.5,-37.5,4,3
94,63.5,20.5,4,1
102,138.5,34.5,4,1
104,30.5,-30.5,4,2
111,17.5,20.5,4,6
113,28.5,38.5,4,8
118,74.5,38.5,4,1
134,-41.5,62.5,4,4
139,-60.5,39.5,4,2
144,-64.5,53.5,4,27
145,40.5,-7.5,4,112
150,26.5,32.5,4,8
150,36.5,33.5,4,2
150,16.5,33.5,4,1
158,45.5,-26.5,4,1
159,29.5,-33.5,4,1
162,17.5,37.5,4,3
162,19.5,32.5,4,1
168,38.5,-12.5,4,4
174,41.5,35.5,4,1
179,35.5,38.5,4,1
179,31.5,39.5,4,1
198,41.5,42.5,4,3
198,40.5,-7.5,4,112
208,27.5,40.5,4,26
211,27.5,40.5,4,26
216,74.5,38.5,4,1
241,16.5,24.5,4,2
241,17.5,20.5,4,6
244,-41.5,62.5,4,4
251,41.5,35.5,4,1
276,29.5,-33.5,4,1
277,33.5,37.5,4,4
277,28.5,38.5,4,8
278,30.5,-30.5,4,2
282,38.5,-19.5,4,7
301,31.5,39.5,4,1
313,24.5,28.5,4,1
314,17.5,15.5,4,1
339,138.5,34.5,4,1
348,-45.5,27.5,4,5
353,33.5,1.5,4,9
376,-39.5,33.5,4,1
376,-41.5,28.5,4,12
382,30.5,-30.5,4,2
384,-156.5,-82.5,4,10
400,41.5,35.5,4,1
400,36.5,33.5,4,2
400,52.5,49.5,4,1
444,52.5,49.5,4,1
482,26.5,37.5,4,4
494,45.5,-26.5,4,1
495,31.5,39.5,4,1
496,-52.5,26.5,4,1
501,17.5,37.5,4,3
501,16.5,33.5,4,1
501,18.5,34.5,4,32
507,-59.5,51.5,4,123
507,-64.5,53.5,4,27
518,-53.5,32.5,4,6
518,-39.5,33.5,4,1
518,-45.5,27.5,4,5
519,-44.5,29.5,4,24
519,-45.5,27.5,4,5
523,29.5,-33.5,4,1
523,30.5,-30.5,4,2
532,-40.5,31.5,4,2
532,-41.5,28.5,4,12
534,24.5,28.5,4,1
544,11.5,48.5,4,2
550,41.5,-5.5,4,11
550,40.5,-7.5,4,112
567,-49.5,41.5,4,1
572,16.5,24.5,4,2
572,17.5,37.5,4,3
574,18.5,34.5,4,32
574,17.5,31.5,4,1
574,7.5,16.5,4,1
574,11.5,37.5,4,10
574,11.5,48.5,4,2
576,40.5,-18.5,4,27
592,29.5,-33.5,4,1
599,21.5,30.5,4,7
599,31.5,39.5,4,1
610,29.5,-33.5,4,1
623,162.5,46.5,4,2
627,33.5,-21.5,4,1
643,16.5,24.5,4,2
644,18.5,34.5,4,32
651,-58.5,34.5,4,3
657,33.5,-21.5,4,1
679,7.5,59.5,4,1
692,27.5,40.5,4,26
697,58.5,40.5,4,3
