"id","x","y","rep","collections"
8,104.5,-18.5,1,1
13,0.5,47.5,1,1
13,11.5,46.5,1,2
13,10.5,46.5,1,7
13,10.5,45.5,1,3
13,8.5,45.5,1,1
13,6.5,44.5,1,2
38,129.5,27.5,1,1
53,-0.5,48.5,1,1
96,1.5,46.5,1,1
107,111.5,-31.5,1,17
107,115.5,-32.5,1,4
132,51.5,-29.5,1,1
139,115.5,-32.5,1,4
140,71.5,-45.5,1,6
142,132.5,2.5,1,6
157,125.5,2.5,1,17
157,128.5,3.5,1,4
181,-40.5,32.5,1,5
187,135.5,4.5,1,1
187,136.5,4.5,1,3
194,7.5,45.5,1,1
198,12.5,46.5,1,1
198,7.5,44.5,1,4
211,115.5,-11.5,1,1
223,140.5,22.5,1,62
307,128.5,3.5,1,4
307,125.5,2.5,1,17
314,111.5,-31.5,1,17
314,112.5,-31.5,1,22
314,115.5,-32.5,1,4
358,133.5,2.5,1,1
358,136.5,4.5,1,3
358,135.5,4.5,1,1
360,9.5,46.5,1,2
367,132.5,1.5,1,7
375,133.5,28.5,1,4
390,112.5,-31.5,1,22
390,115.5,-32.5,1,4
391,129.5,27.5,1,1
402,119.5,-13.5,1,6
430,129.5,3.5,1,7
430,132.5,2.5,1,6
447,51.5,-29.5,1,1
459,45.5,-13.5,1,1
489,71.5,-45.5,1,6
513,119.5,-7.5,1,1
513,119.5,-9.5,1,8
534,48.5,-19.5,1,2
534,41.5,-10.5,1,1
535,9.5,46.5,1,2
536,135.5,4.5,1,1
536,142.5,22.5,1,1
560,0.5,47.5,1,1
575,128.5,3.5,1,4
575,136.5,4.5,1,3
600,119.5,-14.5,1,9
600,120.5,-14.5,1,1
608,104.5,-18.5,1,1
627,133.5,28.5,1,4
630,8.5,45.5,1,1
630,0.5,47.5,1,1
651,45.5,-13.5,1,1
667,115.5,-32.5,1,4
670,30.5,-7.5,1,3
719,7.5,44.5,1,4
719,12.5,46.5,1,1
719,9.5,46.5,1,2
719,10.5,46.5,1,7
725,51.5,-29.5,1,1
751,11.5,46.5,1,2
756,132.5,1.5,1,7
765,11.5,46.5,1,2
766,140.5,22.5,1,62
772,9.5,46.5,1,2
800,1.5,46.5,1,1
800,-0.5,48.5,1,1
800,10.5,46.5,1,7
803,115.5,-32.5,1,4
803,111.5,-31.5,1,17
815,133.5,2.5,1,1
815,132.5,2.5,1,6
815,127.5,2.5,1,1
815,136.5,4.5,1,3
848,140.5,22.5,1,62
848,142.5,22.5,1,1
855,51.5,-29.5,1,1
876,6.5,44.5,1,2
876,8.5,45.5,1,1
884,50.5,32.5,1,2
932,136.5,4.5,1,3
936,9.5,46.5,1,2
937,129.5,3.5,1,7
937,128.5,3.5,1,4
937,135.5,4.5,1,1
962,127.5,2.5,1,1
965,133.5,2.5,1,1
5,-40.5,32.5,2,5
13,128.5,3.5,2,4
40,142.5,22.5,2,1
40,141.5,23.5,2,4
40,128.5,3.5,2,4
42,1.5,46.5,2,1
46,119.5,-12.5,2,1
46,119.5,-13.5,2,6
46,119.5,-7.5,2,1
46,119.5,-10.5,2,5
46,120.5,-14.5,2,1
46,119.5,-14.5,2,9
72,119.5,-9.5,2,8
84,48.5,-19.5,2,2
123,126.5,3.5,2,9
123,133.5,2.5,2,1
133,-0.5,48.5,2,1
133,9.5,45.5,2,9
154,71.5,-45.5,2,6
158,10.5,45.5,2,3
165,-0.5,48.5,2,1
175,0.5,47.5,2,1
175,10.5,46.5,2,7
175,6.5,44.5,2,2
175,7.5,45.5,2,1
194,7.5,45.5,2,1
199,9.5,45.5,2,9
220,-40.5,32.5,2,5
227,133.5,28.5,2,4
227,129.5,27.5,2,1
234,7.5,45.5,2,1
239,41.5,-10.5,2,1
318,128.5,3.5,2,4
321,112.5,-31.5,2,22
336,126.5,3.5,2,9
336,127.5,2.5,2,1
348,119.5,-10.5,2,5
348,119.5,-13.5,2,6
355,10.5,45.5,2,3
355,1.5,46.5,2,1
355,-0.5,48.5,2,1
355,8.5,45.5,2,1
355,7.5,44.5,2,4
369,8.5,45.5,2,1
369,9.5,45.5,2,9
369,10.5,45.5,2,3
383,127.5,2.5,2,1
383,125.5,2.5,2,17
383,126.5,3.5,2,9
398,8.5,45.5,2,1
404,10.5,45.5,2,3
407,115.5,-11.5,2,1
407,119.5,-13.5,2,6
417,120.5,-14.5,2,1
417,126.5,3.5,2,9
426,119.5,-7.5,2,1
426,119.5,-9.5,2,8
439,71.5,-45.5,2,6
