"id","x","y","rep","collections"
5,114.5,7.5,1,1
7,-13.5,47.5,1,7
10,15.5,14.5,1,42
10,17.5,11.5,1,8
10,13.5,9.5,1,2
18,113.5,16.5,1,5
20,-13.5,47.5,1,7
29,-22.5,43.5,1,5
43,-52.5,70.5,1,2
43,-64.5,70.5,1,1
43,-67.5,72.5,1,1
57,12.5,7.5,1,4
57,11.5,10.5,1,1
91,-45.5,44.5,1,2
98,118.5,29.5,1,2
105,93.5,42.5,1,1
110,-67.5,72.5,1,1
112,-49.5,30.5,1,1
115,-17.5,50.5,1,4
129,-48.5,27.5,1,22
133,22.5,33.5,1,1
133,19.5,31.5,1,49
164,75.5,-22.5,1,2
170,-97.5,62.5,1,1
170,-97.5,63.5,1,1
178,-23.5,43.5,1,9
180,30.5,38.5,1,4
180,28.5,36.5,1,2
194,-89.5,59.5,1,7
195,11.5,13.5,1,3
203,-45.5,44.5,1,2
205,107.5,22.5,1,1
206,74.5,-18.5,1,2
210,-56.5,29.5,1,2
251,-57.5,72.5,1,2
251,-53.5,73.5,1,1
283,21.5,2.5,1,1
283,27.5,-0.5,1,30
296,-94.5,58.5,1,1
303,-49.5,50.5,1,1
313,-97.5,63.5,1,1
313,-97.5,62.5,1,1
316,15.5,14.5,1,42
319,12.5,15.5,1,39
323,15.5,6.5,1,8
328,35.5,2.5,1,5
329,11.5,13.5,1,3
334,100.5,36.5,1,2
342,-48.5,68.5,1,1
346,-17.5,50.5,1,4
348,116.5,19.5,1,2
354,-89.5,59.5,1,7
354,-89.5,60.5,1,9
357,21.5,2.5,1,1
375,100.5,36.5,1,2
391,147.5,35.5,1,18
403,108.5,17.5,1,2
404,112.5,-70.5,1,4
416,-17.5,50.5,1,4
426,-97.5,62.5,1,1
437,49.5,-14.5,1,3
443,-14.5,46.5,1,17
443,-17.5,50.5,1,4
447,-87.5,9.5,1,3
455,49.5,-12.5,1,1
457,30.5,38.5,1,4
457,26.5,33.5,1,1
458,26.5,33.5,1,1
458,22.5,33.5,1,1
463,49.5,-14.5,1,3
466,112.5,-70.5,1,4
468,-57.5,72.5,1,2
471,-48.5,68.5,1,1
474,-88.5,0.5,1,4
479,147.5,35.5,1,18
498,-45.5,44.5,1,2
505,114.5,7.5,1,1
523,-97.5,62.5,1,1
529,112.5,-70.5,1,4
530,16.5,16.5,1,12
535,35.5,2.5,1,5
