"id","x","y","rep","collections"
2,21.5,12.5,1,9
22,120.5,-14.5,1,6
36,53.5,-4.5,1,46
49,20.5,10.5,1,2
49,21.5,12.5,1,9
70,131.5,11.5,1,4
75,28.5,26.5,1,30
75,20.5,27.5,1,7
75,26.5,25.5,1,1
78,113.5,-5.5,1,13
79,78.5,7.5,1,1
105,6.5,36.5,1,5
111,27.5,43.5,1,1
114,-109.5,74.5,1,2
137,35.5,46.5,1,1
152,76.5,-33.5,1,148
154,78.5,7.5,1,1
159,-99.5,69.5,1,6
167,-8.5,80.5,1,2
174,89.5,5.5,1,1
174,88.5,2.5,1,12
175,44.5,35.5,1,94
186,47.5,-16.5,1,1
189,-109.5,74.5,1,2
193,121.5,10.5,1,164
202,36.5,48.5,1,1
204,128.5,8.5,1,38
206,119.5,30.5,1,21
245,53.5,-4.5,1,46
249,22.5,1.5,1,3
270,47.5,-16.5,1,1
276,76.5,-33.5,1,148
278,127.5,13.5,1,23
286,39.5,-19.5,1,7
293,119.5,30.5,1,21
296,131.5,11.5,1,4
304,36.5,48.5,1,1
304,44.5,47.5,1,1
312,101.5,-12.5,1,1
320,31.5,-10.5,1,5
331,-18.5,82.5,1,2
343,75.5,-29.5,1,1
346,35.5,46.5,1,1
349,51.5,-6.5,1,14
349,57.5,-11.5,1,1
353,14.5,54.5,1,1
357,51.5,-6.5,1,14
359,110.5,-1.5,1,11
361,44.5,35.5,1,94
367,44.5,47.5,1,1
372,47.5,-16.5,1,1
397,123.5,15.5,1,7
397,127.5,15.5,1,1
409,53.5,-4.5,1,46
416,76.5,-33.5,1,148
422,-109.5,74.5,1,2
432,75.5,-29.5,1,1
434,40.5,-16.5,1,1
434,51.5,-6.5,1,14
437,125.5,5.5,1,128
437,121.5,5.5,1,2
439,-8.5,80.5,1,2
444,110.5,-1.5,1,11
444,127.5,11.5,1,17
444,112.5,-3.5,1,2
452,124.5,13.5,1,83
457,115.5,-9.5,1,1
474,115.5,-9.5,1,1
489,70.5,-25.5,1,102
491,124.5,10.5,1,40
515,75.5,-29.5,1,1
515,76.5,-33.5,1,148
527,154.5,-76.5,1,9
533,31.5,-10.5,1,5
552,33.5,45.5,1,1
557,20.5,10.5,1,2
565,144.5,38.5,1,17
604,92.5,4.5,1,1
622,39.5,-19.5,1,7
628,52.5,-3.5,1,239
631,128.5,8.5,1,38
631,127.5,11.5,1,17
651,10.5,25.5,1,14
656,81.5,9.5,1,24
657,53.5,-4.5,1,46
674,-8.5,80.5,1,2
674,-3.5,77.5,1,1
674,-17.5,80.5,1,1
675,21.5,12.5,1,9
676,-3.5,77.5,1,1
688,92.5,4.5,1,1
695,40.5,-16.5,1,1
697,150.5,22.5,1,159
705,22.5,1.5,1,3
710,131.5,11.5,1,4
715,57.5,-11.5,1,1
715,39.5,-19.5,1,7
719,-107.5,72.5,1,6
721,120.5,12.5,1,195
728,110.5,-1.5,1,11
729,20.5,10.5,1,2
740,-17.5,80.5,1,1
740,-31.5,82.5,1,10
745,-99.5,69.5,1,6
746,127.5,11.5,1,17
748,20.5,10.5,1,2
754,144.5,38.5,1,17
771,150.5,22.5,1,159
778,113.5,-5.5,1,13
788,127.5,11.5,1,17
788,127.5,15.5,1,1
788,130.5,14.5,1,16
788,128.5,8.5,1,38
792,-3.5,77.5,1,1
796,10.5,25.5,1,14
799,-107.5,72.5,1,6
800,123.5,15.5,1,7
800,121.5,10.5,1,164
800,120.5,12.5,1,195
801,36.5,48.5,1,1
806,70.5,-25.5,1,102
821,40.5,-16.5,1,1
824,124.5,10.5,1,40
824,121.5,7.5,1,153
824,121.5,5.5,1,2
842,122.5,28.5,1,19
843,-99.5,69.5,1,6
850,24.5,23.5,1,99
850,26.5,25.5,1,1
852,33.5,45.5,1,1
864,70.5,-25.5,1,102
869,75.5,-29.5,1,1
880,34.5,41.5,1,1
888,121.5,7.5,1,153
894,-8.5,80.5,1,2
908,112.5,-3.5,1,2
908,110.5,-1.5,1,11
912,-109.5,74.5,1,2
919,-3.5,77.5,1,1
919,-18.5,82.5,1,2
923,40.5,-16.5,1,1
931,-18.5,82.5,1,2
