"id","x","y","rep","collections"
11,40.5,34.5,1,2
11,38.5,40.5,1,2
12,45.5,38.5,1,2
39,10.5,51.5,1,3
48,-124.5,80.5,1,1
50,31.5,40.5,1,22
50,38.5,40.5,1,2
81,42.5,38.5,1,4
81,48.5,41.5,1,8
81,40.5,34.5,1,2
114,53.5,36.5,1,2
219,-47.5,39.5,1,1
260,17.5,46.5,1,1
278,38.5,38.5,1,1
293,81.5,-5.5,1,1
306,-6.5,25.5,1,9
318,44.5,48.5,1,2
333,44.5,48.5,1,2
333,41.5,45.5,1,1
343,7.5,39.5,1,1
408,-65.5,32.5,1,7
426,10.5,49.5,1,38
426,17.5,46.5,1,1
432,40.5,48.5,1,1
475,6.5,59.5,1,1
487,-154.5,-57.5,1,48
491,44.5,48.5,1,2
509,41.5,45.5,1,1
538,18.5,34.5,1,22
541,42.5,38.5,1,4
552,-60.5,-63.5,1,45
552,-49.5,-42.5,1,21
637,56.5,34.5,1,1
654,-124.5,80.5,1,1
679,137.5,55.5,1,1
682,45.5,38.5,1,2
693,26.5,13.5,1,15
712,-6.5,25.5,1,9
722,38.5,38.5,1,1
722,38.5,40.5,1,2
751,49.5,38.5,1,2
751,38.5,40.5,1,2
751,40.5,34.5,1,2
755,137.5,58.5,1,1
768,-65.5,32.5,1,7
782,10.5,51.5,1,3
793,17.5,46.5,1,1
814,41.5,43.5,1,1
814,38.5,38.5,1,1
814,41.5,45.5,1,1
824,53.5,36.5,1,2
851,53.5,36.5,1,2
855,10.5,49.5,1,38
875,31.5,40.5,1,22
887,6.5,59.5,1,1
920,49.5,38.5,1,2
937,6.5,51.5,1,2
994,40.5,34.5,1,2
995,17.5,46.5,1,1
25,-76.5,34.5,2,113
25,-57.5,33.5,2,7
73,28.5,34.5,2,1
95,-21.5,10.5,2,1
114,56.5,34.5,2,1
128,40.5,34.5,2,2
169,28.5,34.5,2,1
171,7.5,26.5,2,75
174,56.5,34.5,2,1
178,30.5,45.5,2,1
178,31.5,40.5,2,22
182,137.5,58.5,2,1
188,49.5,38.5,2,2
218,10.5,49.5,2,38
247,-57.5,9.5,2,1
250,28.5,34.5,2,1
255,-75.5,21.5,2,2
284,-57.5,33.5,2,7
360,6.5,51.5,2,2
360,10.5,51.5,2,3
368,1.5,36.5,2,6
381,-124.5,80.5,2,1
463,30.5,45.5,2,1
490,7.5,39.5,2,1
490,3.5,44.5,2,9
508,49.5,38.5,2,2
525,6.5,59.5,2,1
538,17.5,46.5,2,1
547,45.5,38.5,2,2
551,52.5,33.5,2,6
609,28.5,34.5,2,1
734,45.5,38.5,2,2
782,44.5,48.5,2,2
792,1.5,34.5,2,1
794,6.5,51.5,2,2
797,40.5,48.5,2,1
817,44.5,48.5,2,2
822,41.5,45.5,2,1
840,7.5,39.5,2,1
841,-76.5,34.5,2,113
867,10.5,51.5,2,3
867,6.5,59.5,2,1
885,38.5,40.5,2,2
898,7.5,39.5,2,1
974,49.5,38.5,2,2
9,137.5,58.5,3,1
23,6.5,59.5,3,1
23,6.5,51.5,3,2
34,-60.5,-63.5,3,45
60,-124.5,80.5,3,1
81,137.5,58.5,3,1
134,38.5,38.5,3,1
134,38.5,40.5,3,2
139,10.5,51.5,3,3
165,1.5,34.5,3,1
220,-75.5,21.5,3,2
228,38.5,38.5,3,1
228,42.5,38.5,3,4
237,-57.5,33.5,3,7
263,7.5,39.5,3,1
267,40.5,34.5,3,2
270,18.5,34.5,3,22
293,1.5,34.5,3,1
322,-57.5,9.5,3,1
333,49.5,38.5,3,2
334,1.5,34.5,3,1
351,-75.5,21.5,3,2
353,56.5,34.5,3,1
385,7.5,39.5,3,1
387,137.5,58.5,3,1
441,-76.5,34.5,3,113
526,-72.5,36.5,3,1
543,-49.5,-42.5,3,21
550,26.5,13.5,3,15
551,6.5,51.5,3,2
570,41.5,45.5,3,1
574,6.5,51.5,3,2
574,6.5,59.5,3,1
596,-57.5,33.5,3,7
618,49.5,38.5,3,2
627,53.5,36.5,3,2
629,6.5,59.5,3,1
631,-57.5,33.5,3,7
808,38.5,40.5,3,2
827,-21.5,10.5,3,1
832,-21.5,10.5,3,1
833,26.5,13.5,3,15
859,49.5,38.5,3,2
970,44.5,48.5,3,2
989,38.5,40.5,3,2
53,10.5,49.5,4,38
91,17.5,46.5,4,1
96,-124.5,80.5,4,1
100,30.5,45.5,4,1
100,45.5,38.5,4,2
124,-75.5,21.5,4,2
153,30.5,45.5,4,1
171,38.5,38.5,4,1
171,49.5,38.5,4,2
171,42.5,38.5,4,4
174,26.5,13.5,4,15
180,38.5,40.5,4,2
199,7.5,39.5,4,1
295,41.5,45.5,4,1
297,13.5,20.5,4,1
313,44.5,48.5,4,2
342,44.5,48.5,4,2
347,-6.5,25.5,4,9
350,20.5,47.5,4,3
358,41.5,45.5,4,1
358,40.5,48.5,4,1
384,30.5,45.5,4,1
410,-57.5,33.5,4,7
421,13.5,20.5,4,1
435,1.5,36.5,4,6
448,49.5,38.5,4,2
455,53.5,36.5,4,2
455,49.5,38.5,4,2
528,28.5,34.5,4,1
528,31.5,40.5,4,22
553,-47.5,39.5,4,1
565,20.5,47.5,4,3
587,-72.5,36.5,4,1
593,-21.5,10.5,4,1
595,-124.5,80.5,4,1
627,-75.5,21.5,4,2
635,-65.5,32.5,4,7
646,28.5,34.5,4,1
666,40.5,34.5,4,2
709,10.5,51.5,4,3
728,52.5,33.5,4,6
776,41.5,43.5,4,1
778,53.5,36.5,4,2
813,7.5,39.5,4,1
813,17.5,46.5,4,1
839,38.5,38.5,4,1
858,40.5,48.5,4,1
863,20.5,47.5,4,3
879,56.5,34.5,4,1
888,10.5,49.5,4,38
888,10.5,51.5,4,3
899,18.5,34.5,4,22
901,137.5,58.5,4,1
910,-49.5,-42.5,4,21
938,7.5,39.5,4,1
952,13.5,20.5,4,1
952,18.5,34.5,4,22
960,1.5,36.5,4,6
962,38.5,38.5,4,1
970,-57.5,33.5,4,7
976,1.5,34.5,4,1
978,3.5,44.5,4,9
991,81.5,-5.5,4,1
24,41.5,45.5,5,1
81,-47.5,39.5,5,1
108,7.5,39.5,5,1
121,-47.5,39.5,5,1
146,45.5,38.5,5,2
158,18.5,34.5,5,22
164,17.5,46.5,5,1
206,7.5,39.5,5,1
226,3.5,44.5,5,9
227,-76.5,34.5,5,113
239,1.5,34.5,5,1
242,6.5,59.5,5,1
246,-75.5,21.5,5,2
256,-20.5,62.5,5,6
257,18.5,34.5,5,22
275,-154.5,-57.5,5,48
297,-154.5,-57.5,5,48
346,7.5,26.5,5,75
365,28.5,34.5,5,1
400,10.5,51.5,5,3
400,3.5,44.5,5,9
401,49.5,38.5,5,2
401,52.5,33.5,5,6
404,45.5,38.5,5,2
422,13.5,20.5,5,1
430,-65.5,32.5,5,7
432,-57.5,9.5,5,1
458,10.5,51.5,5,3
463,-6.5,25.5,5,9
475,56.5,34.5,5,1
494,1.5,36.5,5,6
500,48.5,41.5,5,8
500,49.5,38.5,5,2
512,-124.5,80.5,5,1
534,42.5,38.5,5,4
534,38.5,38.5,5,1
535,45.5,38.5,5,2
554,49.5,38.5,5,2
566,6.5,59.5,5,1
577,53.5,36.5,5,2
582,7.5,39.5,5,1
606,-49.5,-42.5,5,21
608,137.5,58.5,5,1
608,137.5,55.5,5,1
614,52.5,33.5,5,6
614,56.5,34.5,5,1
650,137.5,55.5,5,1
656,41.5,45.5,5,1
680,10.5,51.5,5,3
682,45.5,38.5,5,2
685,44.5,48.5,5,2
685,41.5,45.5,5,1
686,1.5,34.5,5,1
692,52.5,33.5,5,6
696,3.5,44.5,5,9
719,7.5,26.5,5,75
724,28.5,34.5,5,1
745,7.5,26.5,5,75
759,10.5,49.5,5,38
876,1.5,34.5,5,1
878,3.5,44.5,5,9
894,58.5,-7.5,5,2
983,-57.5,9.5,5,1
990,6.5,59.5,5,1
5,28.5,34.5,6,1
30,1.5,36.5,6,6
76,6.5,51.5,6,2
76,3.5,44.5,6,9
87,-154.5,-57.5,6,48
96,1.5,36.5,6,6
99,17.5,46.5,6,1
132,-49.5,-42.5,6,21
133,52.5,33.5,6,6
133,56.5,34.5,6,1
133,53.5,36.5,6,2
142,-6.5,25.5,6,9
161,-21.5,10.5,6,1
167,7.5,39.5,6,1
177,44.5,48.5,6,2
191,38.5,40.5,6,2
196,7.5,26.5,6,75
280,58.5,-7.5,6,2
298,44.5,48.5,6,2
385,10.5,49.5,6,38
386,3.5,44.5,6,9
427,-57.5,9.5,6,1
439,-154.5,-57.5,6,48
468,40.5,34.5,6,2
531,58.5,-7.5,6,2
536,-21.5,10.5,6,1
549,7.5,39.5,6,1
616,56.5,34.5,6,1
643,38.5,38.5,6,1
688,7.5,39.5,6,1
719,137.5,55.5,6,1
731,7.5,26.5,6,75
796,-60.5,-63.5,6,45
816,41.5,43.5,6,1
816,49.5,38.5,6,2
816,30.5,45.5,6,1
834,18.5,34.5,6,22
868,-75.5,21.5,6,2
876,53.5,36.5,6,2
921,40.5,34.5,6,2
921,42.5,38.5,6,4
955,56.5,34.5,6,1
988,10.5,51.5,6,3
12,18.5,34.5,7,22
23,1.5,36.5,7,6
34,48.5,41.5,7,8
38,40.5,34.5,7,2
41,13.5,20.5,7,1
125,44.5,48.5,7,2
128,38.5,40.5,7,2
128,31.5,40.5,7,22
128,48.5,41.5,7,8
156,56.5,34.5,7,1
184,53.5,36.5,7,2
188,41.5,43.5,7,1
238,38.5,38.5,7,1
258,40.5,48.5,7,1
259,44.5,48.5,7,2
265,3.5,44.5,7,9
271,18.5,34.5,7,22
294,42.5,38.5,7,4
298,40.5,48.5,7,1
335,56.5,34.5,7,1
357,58.5,-7.5,7,2
373,-75.5,21.5,7,2
377,137.5,55.5,7,1
406,40.5,34.5,7,2
406,38.5,40.5,7,2
415,-6.5,25.5,7,9
455,10.5,51.5,7,3
498,48.5,41.5,7,8
513,38.5,38.5,7,1
522,38.5,40.5,7,2
527,53.5,36.5,7,2
533,38.5,40.5,7,2
533,41.5,45.5,7,1
534,41.5,43.5,7,1
534,40.5,34.5,7,2
548,48.5,41.5,7,8
558,-154.5,-57.5,7,48
583,18.5,34.5,7,22
625,13.5,20.5,7,1
636,-20.5,62.5,7,6
637,49.5,38.5,7,2
650,3.5,44.5,7,9
654,31.5,40.5,7,22
674,6.5,51.5,7,2
