"id","x","y","rep","collections"
1,52.5,-4.5,1,5
4,127.5,8.5,1,1
7,2.5,49.5,1,3
10,-0.5,68.5,1,1
12,39.5,-18.5,1,2
13,20.5,28.5,1,9
21,124.5,8.5,1,15
24,30.5,46.5,1,1
24,34.5,24.5,1,1
33,2.5,49.5,1,3
55,1.5,48.5,1,1
55,2.5,49.5,1,3
63,21.5,12.5,1,1
63,0.5,47.5,1,73
65,31.5,48.5,1,1
70,150.5,22.5,1,1
85,-40.5,35.5,1,31
85,-40.5,31.5,1,2
91,121.5,5.5,1,13
98,44.5,47.5,1,5
118,-41.5,20.5,1,26
137,133.5,14.5,1,71
137,123.5,15.5,1,5
139,120.5,13.5,1,54
139,120.5,10.5,1,93
146,30.5,46.5,1,1
147,7.5,34.5,1,3
158,38.5,-37.5,1,17
165,127.5,8.5,1,1
168,66.5,-31.5,1,1
194,42.5,45.5,1,18
194,40.5,44.5,1,2
203,40.5,44.5,1,2
203,42.5,45.5,1,18
211,124.5,10.5,1,14
211,120.5,13.5,1,54
221,103.5,41.5,1,14
228,-0.5,68.5,1,1
228,0.5,47.5,1,73
230,-9.5,80.5,1,32
237,34.5,46.5,1,1
240,-18.5,80.5,1,4
242,-57.5,30.5,1,3
245,111.5,-2.5,1,1
248,123.5,13.5,1,117
251,-93.5,71.5,1,2
256,-93.5,71.5,1,2
260,42.5,45.5,1,18
260,40.5,44.5,1,2
261,30.5,46.5,1,1
270,-0.5,68.5,1,1
271,6.5,36.5,1,47
271,5.5,36.5,1,1
273,44.5,47.5,1,5
306,20.5,10.5,1,6
309,106.5,37.5,1,1
344,34.5,46.5,1,1
344,33.5,45.5,1,7
355,133.5,14.5,1,71
355,130.5,14.5,1,10
364,-40.5,31.5,1,2
364,-40.5,35.5,1,31
364,-39.5,28.5,1,2
371,133.5,14.5,1,71
374,-93.5,71.5,1,2
381,33.5,45.5,1,7
382,126.5,16.5,1,1
382,127.5,13.5,1,9
385,106.5,37.5,1,1
