"id","x","y","rep","collections"
10,35.5,18.5,1,1
15,14.5,32.5,1,13
21,31.5,-38.5,1,1
26,2.5,18.5,1,1
30,29.5,34.5,1,2
31,25.5,37.5,1,3
51,44.5,-5.5,1,1
72,22.5,30.5,1,6
91,44.5,-9.5,1,5
100,36.5,-24.5,1,3
102,29.5,34.5,1,2
102,28.5,36.5,1,1
102,27.5,35.5,1,1
102,31.5,36.5,1,1
102,30.5,35.5,1,2
106,44.5,-11.5,1,1
106,53.5,-11.5,1,1
108,22.5,30.5,1,6
150,15.5,61.5,1,3
154,14.5,60.5,1,2
163,31.5,-31.5,1,1
171,21.5,30.5,1,6
211,35.5,-18.5,1,1
218,31.5,37.5,1,1
218,29.5,34.5,1,2
223,30.5,34.5,1,1
224,-40.5,65.5,1,2
251,22.5,26.5,1,1
270,9.5,24.5,1,6
277,29.5,34.5,1,2
277,25.5,32.5,1,1
277,27.5,35.5,1,1
277,22.5,35.5,1,3
277,29.5,36.5,1,1
277,28.5,35.5,1,1
277,31.5,36.5,1,1
277,31.5,35.5,1,6
277,24.5,33.5,1,2
289,2.5,18.5,1,1
306,-41.5,11.5,1,1
310,-40.5,65.5,1,2
312,35.5,-24.5,1,1
326,14.5,33.5,1,17
326,20.5,27.5,1,8
326,16.5,31.5,1,7
337,50.5,-28.5,1,1
340,16.5,31.5,1,7
341,29.5,36.5,1,1
341,31.5,37.5,1,1
343,9.5,24.5,1,6
343,15.5,22.5,1,1
343,13.5,27.5,1,13
343,20.5,27.5,1,8
355,13.5,32.5,1,8
387,29.5,34.5,1,2
387,29.5,36.5,1,1
387,28.5,35.5,1,1
396,22.5,35.5,1,3
405,28.5,36.5,1,1
405,22.5,35.5,1,3
405,24.5,33.5,1,2
405,23.5,35.5,1,24
409,13.5,46.5,1,1
413,-41.5,11.5,1,1
427,37.5,2.5,1,1
440,-27.5,-62.5,1,1
451,44.5,-6.5,1,4
451,43.5,-10.5,1,3
452,25.5,37.5,1,3
465,39.5,-14.5,1,1
465,43.5,-10.5,1,3
465,44.5,-9.5,1,5
468,22.5,35.5,1,3
468,30.5,34.5,1,1
468,25.5,32.5,1,1
468,28.5,35.5,1,1
511,21.5,28.5,1,2
511,22.5,35.5,1,3
511,21.5,30.5,1,6
516,35.5,-18.5,1,1
516,36.5,-18.5,1,1
516,41.5,-19.5,1,10
526,8.5,24.5,1,98
539,13.5,27.5,1,13
571,36.5,15.5,1,9
587,16.5,31.5,1,7
595,-40.5,66.5,1,3
596,21.5,30.5,1,6
596,16.5,31.5,1,7
617,37.5,15.5,1,1
626,30.5,18.5,1,4
637,30.5,-32.5,1,1
637,31.5,-31.5,1,1
645,30.5,34.5,1,1
657,25.5,37.5,1,3
657,28.5,35.5,1,1
657,30.5,36.5,1,1
657,22.5,35.5,1,3
657,30.5,35.5,1,2
657,31.5,35.5,1,6
657,31.5,37.5,1,1
688,27.5,35.5,1,1
725,21.5,30.5,1,6
725,23.5,35.5,1,24
725,24.5,33.5,1,2
728,29.5,34.5,1,2
728,28.5,35.5,1,1
737,39.5,-14.5,1,1
737,44.5,-6.5,1,4
740,-41.5,11.5,1,1
744,39.5,-14.5,1,1
756,18.5,29.5,1,1
787,13.5,60.5,1,6
797,13.5,60.5,1,6
807,44.5,-9.5,1,5
811,30.5,-32.5,1,1
822,25.5,32.5,1,1
841,45.5,55.5,1,1
848,19.5,30.5,1,2
856,14.5,32.5,1,13
856,21.5,30.5,1,6
856,18.5,29.5,1,1
856,19.5,30.5,1,2
858,34.5,-24.5,1,3
880,42.5,-11.5,1,1
880,44.5,-7.5,1,17
880,44.5,-5.5,1,1
880,44.5,-6.5,1,4
883,15.5,46.5,1,8
883,13.5,46.5,1,1
888,37.5,10.5,1,8
921,22.5,26.5,1,1
940,44.5,-6.5,1,4
952,25.5,37.5,1,3
962,-38.5,3.5,1,2
976,-37.5,3.5,1,1
977,36.5,15.5,1,9
982,13.5,26.5,1,7
988,43.5,-10.5,1,3
988,42.5,-19.5,1,1
988,37.5,-19.5,1,1
33,9.5,24.5,2,6
38,29.5,36.5,2,1
38,27.5,35.5,2,1
52,45.5,55.5,2,1
85,43.5,-10.5,2,3
88,31.5,36.5,2,1
129,20.5,28.5,2,6
129,20.5,30.5,2,3
129,20.5,27.5,2,8
148,15.5,61.5,2,3
148,14.5,61.5,2,1
149,35.5,-18.5,2,1
156,8.5,24.5,2,98
156,9.5,24.5,2,6
166,16.5,33.5,2,1
166,21.5,30.5,2,6
175,44.5,-9.5,2,5
180,41.5,-19.5,2,10
208,36.5,-18.5,2,1
219,13.5,60.5,2,6
219,8.5,24.5,2,98
219,21.5,28.5,2,2
219,19.5,30.5,2,2
219,20.5,30.5,2,3
237,30.5,35.5,2,2
237,42.5,43.5,2,8
237,30.5,36.5,2,1
238,30.5,-32.5,2,1
238,31.5,-31.5,2,1
272,-18.5,-69.5,2,1
287,42.5,43.5,2,8
298,42.5,43.5,2,8
305,14.5,33.5,2,17
305,22.5,26.5,2,1
335,30.5,-32.5,2,1
337,27.5,35.5,2,1
337,20.5,28.5,2,6
337,29.5,36.5,2,1
337,28.5,36.5,2,1
337,30.5,35.5,2,2
342,35.5,-24.5,2,1
351,29.5,36.5,2,1
360,-38.5,3.5,2,2
372,14.5,33.5,2,17
