"id","x","y","rep","collections"
28,108.5,-34.5,1,1
31,71.5,-32.5,1,1
31,77.5,-31.5,1,3
31,71.5,-31.5,1,11
57,155.5,-57.5,1,1
63,120.5,-6.5,1,12
63,126.5,-7.5,1,1
64,55.5,-39.5,1,1
86,95.5,34.5,1,1
105,35.5,39.5,1,7
129,65.5,-31.5,1,1
144,133.5,12.5,1,7
144,134.5,12.5,1,1
144,138.5,13.5,1,1
145,33.5,37.5,1,1
145,35.5,39.5,1,7
145,30.5,37.5,1,13
145,37.5,37.5,1,29
145,29.5,37.5,1,1
149,-2.5,37.5,1,1
152,125.5,33.5,1,2
161,125.5,-5.5,1,2
161,126.5,-7.5,1,1
161,128.5,-6.5,1,2
161,127.5,-4.5,1,1
161,125.5,-8.5,1,1
161,127.5,-5.5,1,1
161,128.5,-5.5,1,1
168,55.5,-39.5,1,1
178,123.5,-7.5,1,6
188,83.5,-34.5,1,1
190,117.5,34.5,1,1
196,40.5,33.5,1,1
196,35.5,37.5,1,16
218,55.5,-39.5,1,1
272,-28.5,-65.5,1,1
282,94.5,35.5,1,2
323,60.5,-29.5,1,1
323,65.5,-31.5,1,1
330,138.5,13.5,1,1
330,135.5,11.5,1,3
330,133.5,12.5,1,7
382,100.5,-35.5,1,5
387,124.5,-9.5,1,1
393,111.5,-32.5,1,4
395,45.5,29.5,1,1
395,37.5,35.5,1,6
395,33.5,37.5,1,1
402,30.5,37.5,1,13
420,117.5,34.5,1,1
420,118.5,34.5,1,16
427,39.5,33.5,1,7
438,133.5,12.5,1,7
443,46.5,25.5,1,1
443,45.5,28.5,1,13
443,39.5,22.5,1,3
443,44.5,25.5,1,2
464,37.5,33.5,1,2
478,95.5,-37.5,1,1
489,39.5,22.5,1,3
496,123.5,-4.5,1,5
496,116.5,-6.5,1,1
496,123.5,-10.5,1,1
496,118.5,-8.5,1,4
496,122.5,-12.5,1,3
496,122.5,-11.5,1,5
496,120.5,-11.5,1,2
514,45.5,28.5,1,13
514,44.5,29.5,1,16
514,45.5,29.5,1,1
514,43.5,29.5,1,1
514,42.5,30.5,1,1
537,77.5,-31.5,1,3
560,34.5,31.5,1,2
567,37.5,34.5,1,28
582,125.5,33.5,1,2
588,153.5,-57.5,1,2
601,-45.5,-32.5,1,1
630,45.5,28.5,1,13
630,45.5,29.5,1,1
630,46.5,27.5,1,2
630,46.5,28.5,1,1
630,46.5,25.5,1,1
635,170.5,-66.5,1,8
640,135.5,12.5,1,23
640,135.5,11.5,1,3
641,37.5,30.5,1,3
641,34.5,31.5,1,2
656,46.5,27.5,1,2
656,43.5,29.5,1,1
662,43.5,29.5,1,1
662,34.5,36.5,1,1
689,46.5,25.5,1,1
689,37.5,34.5,1,28
689,45.5,28.5,1,13
689,43.5,30.5,1,1
689,37.5,38.5,1,55
689,45.5,29.5,1,1
689,38.5,38.5,1,2
689,38.5,36.5,1,1
689,44.5,25.5,1,2
689,39.5,22.5,1,3
701,30.5,37.5,1,13
708,138.5,13.5,1,1
715,71.5,-32.5,1,1
734,83.5,-34.5,1,1
736,36.5,38.5,1,10
736,37.5,37.5,1,29
736,34.5,34.5,1,14
736,37.5,36.5,1,35
736,35.5,34.5,1,3
736,38.5,33.5,1,2
736,37.5,34.5,1,28
736,38.5,36.5,1,1
736,37.5,33.5,1,2
736,35.5,37.5,1,16
744,134.5,12.5,1,1
766,60.5,-29.5,1,1
775,108.5,-34.5,1,1
781,124.5,-11.5,1,38
781,122.5,-6.5,1,1
787,71.5,-31.5,1,11
796,30.5,37.5,1,13
798,29.5,37.5,1,1
798,46.5,27.5,1,2
798,37.5,30.5,1,3
798,35.5,37.5,1,16
817,171.5,-69.5,1,1
839,88.5,-36.5,1,2
845,118.5,34.5,1,16
845,125.5,33.5,1,2
845,117.5,34.5,1,1
849,-28.5,-65.5,1,1
879,71.5,-31.5,1,11
892,34.5,34.5,1,14
892,30.5,37.5,1,13
895,38.5,38.5,1,2
895,29.5,37.5,1,1
895,46.5,25.5,1,1
895,34.5,36.5,1,1
895,33.5,37.5,1,1
903,109.5,-34.5,1,1
903,108.5,-34.5,1,1
922,-45.5,-32.5,1,1
927,-28.5,-65.5,1,1
938,5.5,37.5,1,2
947,30.5,37.5,1,13
947,37.5,30.5,1,3
949,88.5,-36.5,1,2
952,71.5,-31.5,1,11
954,94.5,35.5,1,2
959,34.5,31.5,1,2
959,45.5,29.5,1,1
959,44.5,29.5,1,16
959,37.5,30.5,1,3
959,43.5,29.5,1,1
959,40.5,31.5,1,2
979,95.5,-37.5,1,1
979,96.5,-36.5,1,2
985,111.5,-32.5,1,4
986,128.5,-6.5,1,2
5,127.5,-4.5,2,1
5,124.5,-9.5,2,1
5,123.5,-4.5,2,5
26,117.5,34.5,2,1
39,71.5,-31.5,2,11
39,83.5,-34.5,2,1
45,134.5,12.5,2,1
48,34.5,31.5,2,2
48,40.5,31.5,2,2
88,83.5,-34.5,2,1
92,119.5,-7.5,2,1
92,123.5,-10.5,2,1
92,120.5,-4.5,2,4
106,43.5,29.5,2,1
106,40.5,33.5,2,1
107,-45.5,-32.5,2,1
117,40.5,31.5,2,2
131,170.5,-66.5,2,8
131,155.5,-57.5,2,1
133,155.5,-57.5,2,1
140,95.5,-37.5,2,1
140,88.5,-36.5,2,2
163,35.5,39.5,2,7
175,77.5,-31.5,2,3
175,71.5,-32.5,2,1
189,170.5,-66.5,2,8
201,-45.5,-32.5,2,1
208,34.5,36.5,2,1
208,35.5,36.5,2,3
208,38.5,33.5,2,2
208,37.5,36.5,2,35
208,39.5,33.5,2,7
208,38.5,37.5,2,6
208,39.5,37.5,2,2
225,125.5,33.5,2,2
257,95.5,34.5,2,1
257,94.5,35.5,2,2
263,100.5,-35.5,2,5
277,138.5,13.5,2,1
277,126.5,-7.5,2,1
277,119.5,-5.5,2,1
277,125.5,-5.5,2,2
285,128.5,-5.5,2,1
289,100.5,-35.5,2,5
313,38.5,35.5,2,54
313,34.5,31.5,2,2
321,134.5,12.5,2,1
325,170.5,-66.5,2,8
330,-28.5,-65.5,2,1
337,108.5,-34.5,2,1
351,100.5,-35.5,2,5
379,39.5,22.5,2,3
389,36.5,38.5,2,10
389,38.5,37.5,2,6
435,135.5,12.5,2,23
436,36.5,38.5,2,10
436,35.5,39.5,2,7
442,5.5,37.5,2,2
456,125.5,-11.5,2,1
456,125.5,-7.5,2,1
464,124.5,-4.5,2,4
464,128.5,-5.5,2,1
479,169.5,-66.5,2,1
480,94.5,35.5,2,2
480,95.5,34.5,2,1
488,42.5,24.5,2,1
520,36.5,37.5,2,3
520,45.5,29.5,2,1
520,39.5,34.5,2,1
520,30.5,37.5,2,13
521,-45.5,-32.5,2,1
533,122.5,-7.5,2,1
533,126.5,-7.5,2,1
533,124.5,-9.5,2,1
533,128.5,-5.5,2,1
533,123.5,-10.5,2,1
533,125.5,-5.5,2,2
533,122.5,-6.5,2,1
546,119.5,-5.5,2,1
546,121.5,-7.5,2,1
546,121.5,-5.5,2,2
546,120.5,-8.5,2,2
546,120.5,-11.5,2,2
546,121.5,-11.5,2,9
546,120.5,-6.5,2,12
553,120.5,-8.5,2,2
554,134.5,12.5,2,1
568,-45.5,-32.5,2,1
584,171.5,-69.5,2,1
588,46.5,27.5,2,2
588,45.5,28.5,2,13
620,125.5,-11.5,2,1
620,126.5,-7.5,2,1
622,155.5,-57.5,2,1
641,96.5,-36.5,2,2
656,33.5,37.5,2,1
698,42.5,24.5,2,1
730,156.5,-58.5,2,6
735,128.5,-5.5,2,1
749,35.5,36.5,2,3
763,119.5,-8.5,2,1
768,134.5,12.5,2,1
776,96.5,-36.5,2,2
777,125.5,-7.5,2,1
777,124.5,-9.5,2,1
777,121.5,-10.5,2,6
777,120.5,-7.5,2,7
782,60.5,-29.5,2,1
836,-45.5,-32.5,2,1
845,44.5,25.5,2,2
845,39.5,37.5,2,2
845,46.5,27.5,2,2
845,39.5,34.5,2,1
845,37.5,36.5,2,35
845,41.5,30.5,2,5
855,42.5,24.5,2,1
855,44.5,25.5,2,2
874,109.5,-34.5,2,1
882,65.5,-31.5,2,1
890,170.5,-66.5,2,8
890,169.5,-66.5,2,1
930,120.5,-11.5,2,2
930,119.5,-7.5,2,1
930,128.5,-6.5,2,2
930,121.5,-7.5,2,1
930,118.5,-8.5,2,4
930,124.5,-11.5,2,38
930,122.5,-6.5,2,1
930,124.5,-4.5,2,4
930,120.5,-8.5,2,2
930,123.5,-7.5,2,6
944,156.5,-58.5,2,6
955,30.5,37.5,2,13
966,46.5,25.5,2,1
966,46.5,27.5,2,2
966,46.5,28.5,2,1
978,108.5,-34.5,2,1
978,109.5,-34.5,2,1
989,118.5,34.5,2,16
1000,135.5,11.5,2,3
4,133.5,12.5,3,7
7,125.5,33.5,3,2
21,35.5,39.5,3,7
21,37.5,36.5,3,35
29,117.5,34.5,3,1
32,-28.5,-65.5,3,1
40,65.5,-31.5,3,1
67,35.5,34.5,3,3
67,34.5,36.5,3,1
74,117.5,34.5,3,1
74,118.5,34.5,3,16
83,71.5,-31.5,3,11
85,77.5,-31.5,3,3
95,41.5,30.5,3,5
95,43.5,29.5,3,1
95,35.5,38.5,3,91
95,40.5,31.5,3,2
97,60.5,-29.5,3,1
122,120.5,-10.5,3,6
122,121.5,-6.5,3,3
122,120.5,-8.5,3,2
122,123.5,-7.5,3,6
122,125.5,-7.5,3,1
122,119.5,-5.5,3,1
122,119.5,-8.5,3,1
122,123.5,-10.5,3,1
122,121.5,-10.5,3,6
122,124.5,-9.5,3,1
122,123.5,-13.5,3,3
122,122.5,-11.5,3,5
122,124.5,-11.5,3,38
122,123.5,-4.5,3,5
122,125.5,-11.5,3,1
122,121.5,-7.5,3,1
140,55.5,-39.5,3,1
150,135.5,12.5,3,23
158,42.5,24.5,3,1
169,-2.5,37.5,3,1
177,128.5,-6.5,3,2
181,71.5,-32.5,3,1
195,127.5,-4.5,3,1
195,120.5,-6.5,3,12
195,120.5,-5.5,3,9
195,119.5,-5.5,3,1
195,121.5,-7.5,3,1
195,118.5,-8.5,3,4
195,122.5,-6.5,3,1
195,123.5,-6.5,3,11
195,119.5,-8.5,3,1
195,127.5,-5.5,3,1
198,88.5,-36.5,3,2
202,127.5,-4.5,3,1
202,125.5,-7.5,3,1
202,128.5,-6.5,3,2
202,126.5,-7.5,3,1
202,123.5,-7.5,3,6
202,127.5,-5.5,3,1
202,124.5,-6.5,3,3
202,123.5,-6.5,3,11
202,123.5,-10.5,3,1
202,124.5,-5.5,3,1
211,71.5,-32.5,3,1
211,65.5,-31.5,3,1
238,170.5,-66.5,3,8
241,138.5,14.5,3,5
241,135.5,11.5,3,3
249,77.5,-31.5,3,3
255,111.5,-32.5,3,4
259,71.5,-32.5,3,1
284,171.5,-69.5,3,1
284,170.5,-66.5,3,8
284,169.5,-66.5,3,1
289,71.5,-31.5,3,11
322,124.5,-6.5,3,3
322,123.5,-6.5,3,11
322,122.5,-6.5,3,1
322,121.5,-7.5,3,1
322,120.5,-7.5,3,7
322,120.5,-6.5,3,12
322,116.5,-6.5,3,1
323,109.5,-34.5,3,1
337,38.5,33.5,3,2
337,43.5,29.5,3,1
367,43.5,30.5,3,1
385,29.5,37.5,3,1
413,171.5,-69.5,3,1
413,169.5,-66.5,3,1
422,127.5,-5.5,3,1
422,125.5,-11.5,3,1
422,126.5,-7.5,3,1
422,125.5,-7.5,3,1
422,125.5,-8.5,3,1
422,127.5,-4.5,3,1
422,125.5,-5.5,3,2
426,35.5,36.5,3,3
426,41.5,30.5,3,5
426,33.5,37.5,3,1
426,37.5,34.5,3,28
426,36.5,37.5,3,3
426,38.5,33.5,3,2
426,40.5,31.5,3,2
426,35.5,34.5,3,3
427,37.5,36.5,3,35
427,38.5,35.5,3,54
427,38.5,37.5,3,6
427,35.5,37.5,3,16
427,39.5,37.5,3,2
427,33.5,37.5,3,1
427,34.5,36.5,3,1
427,35.5,38.5,3,91
427,35.5,36.5,3,3
427,30.5,37.5,3,13
427,38.5,38.5,3,2
429,111.5,-32.5,3,4
445,41.5,30.5,3,5
445,34.5,31.5,3,2
451,138.5,13.5,3,1
456,60.5,-29.5,3,1
457,125.5,-11.5,3,1
457,124.5,-11.5,3,38
457,122.5,-12.5,3,3
457,121.5,-11.5,3,9
457,124.5,-9.5,3,1
457,120.5,-11.5,3,2
457,123.5,-10.5,3,1
457,120.5,-10.5,3,6
462,5.5,37.5,3,2
463,44.5,25.5,3,2
471,38.5,37.5,3,6
508,37.5,34.5,3,28
508,43.5,29.5,3,1
510,170.5,-66.5,3,8
518,108.5,-34.5,3,1
522,-2.5,37.5,3,1
563,125.5,-11.5,3,1
567,133.5,12.5,3,7
567,134.5,12.5,3,1
580,153.5,-57.5,3,2
585,123.5,-4.5,3,5
592,35.5,34.5,3,3
604,36.5,37.5,3,3
604,41.5,30.5,3,5
604,40.5,33.5,3,1
604,37.5,35.5,3,6
604,35.5,37.5,3,16
604,35.5,36.5,3,3
604,38.5,38.5,3,2
604,33.5,37.5,3,1
604,34.5,31.5,3,2
613,127.5,-4.5,3,1
655,39.5,37.5,3,2
655,38.5,38.5,3,2
655,34.5,36.5,3,1
655,30.5,37.5,3,13
655,33.5,37.5,3,1
655,35.5,38.5,3,91
655,38.5,37.5,3,6
665,38.5,37.5,3,6
665,37.5,36.5,3,35
665,42.5,30.5,3,1
665,37.5,34.5,3,28
665,35.5,39.5,3,7
665,30.5,37.5,3,13
665,40.5,33.5,3,1
665,37.5,37.5,3,29
668,153.5,-57.5,3,2
669,65.5,-31.5,3,1
693,96.5,-36.5,3,2
695,29.5,37.5,3,1
701,65.5,-31.5,3,1
740,171.5,-69.5,3,1
740,170.5,-66.5,3,8
740,169.5,-66.5,3,1
744,124.5,-11.5,3,38
744,122.5,-11.5,3,5
750,-45.5,-32.5,3,1
754,35.5,39.5,3,7
754,35.5,37.5,3,16
754,37.5,34.5,3,28
754,37.5,37.5,3,29
754,35.5,38.5,3,91
754,38.5,37.5,3,6
754,36.5,37.5,3,3
754,37.5,35.5,3,6
754,37.5,36.5,3,35
754,34.5,36.5,3,1
754,36.5,38.5,3,10
754,38.5,38.5,3,2
774,35.5,38.5,3,91
776,122.5,-11.5,3,5
776,121.5,-11.5,3,9
776,120.5,-11.5,3,2
776,121.5,-12.5,3,12
776,123.5,-10.5,3,1
779,95.5,34.5,3,1
781,120.5,-4.5,3,4
781,124.5,-4.5,3,4
781,134.5,12.5,3,1
781,116.5,-6.5,3,1
781,128.5,13.5,3,2
781,127.5,-5.5,3,1
795,119.5,-8.5,3,1
795,128.5,-6.5,3,2
799,45.5,28.5,3,13
799,38.5,33.5,3,2
804,38.5,38.5,3,2
806,118.5,34.5,3,16
812,156.5,-58.5,3,6
821,46.5,27.5,3,2
833,33.5,37.5,3,1
833,34.5,34.5,3,14
834,118.5,34.5,3,16
839,38.5,36.5,3,1
839,46.5,27.5,3,2
839,43.5,29.5,3,1
848,45.5,28.5,3,13
848,39.5,34.5,3,1
869,109.5,-34.5,3,1
911,133.5,12.5,3,7
970,134.5,12.5,3,1
3,118.5,-8.5,4,4
3,120.5,-8.5,4,2
3,119.5,-8.5,4,1
4,37.5,33.5,4,2
4,40.5,31.5,4,2
4,39.5,33.5,4,7
4,37.5,30.5,4,3
4,38.5,33.5,4,2
4,41.5,30.5,4,5
4,40.5,33.5,4,1
17,77.5,-31.5,4,3
20,128.5,-5.5,4,1
20,127.5,-4.5,4,1
20,128.5,-6.5,4,2
21,120.5,-10.5,4,6
21,125.5,-7.5,4,1
21,120.5,-11.5,4,2
21,124.5,-9.5,4,1
21,122.5,-6.5,4,1
21,116.5,-6.5,4,1
21,123.5,-7.5,4,6
21,121.5,-7.5,4,1
21,125.5,-11.5,4,1
21,122.5,-11.5,4,5
21,121.5,-10.5,4,6
21,124.5,-6.5,4,3
21,121.5,-11.5,4,9
21,124.5,-5.5,4,1
21,125.5,-8.5,4,1
21,125.5,-5.5,4,2
41,153.5,-57.5,4,2
41,155.5,-57.5,4,1
42,111.5,-32.5,4,4
43,128.5,13.5,4,2
67,133.5,12.5,4,7
80,118.5,-8.5,4,4
113,133.5,12.5,4,7
113,123.5,-7.5,4,6
113,121.5,-10.5,4,6
117,46.5,28.5,4,1
117,45.5,29.5,4,1
117,43.5,29.5,4,1
117,45.5,28.5,4,13
117,41.5,30.5,4,5
117,46.5,27.5,4,2
117,46.5,25.5,4,1
128,126.5,-7.5,4,1
128,124.5,-6.5,4,3
136,123.5,-7.5,4,6
136,122.5,-6.5,4,1
136,123.5,-10.5,4,1
136,124.5,-11.5,4,38
136,116.5,-6.5,4,1
136,120.5,-10.5,4,6
137,71.5,-32.5,4,1
149,156.5,-58.5,4,6
155,46.5,28.5,4,1
155,45.5,28.5,4,13
156,170.5,-66.5,4,8
166,118.5,34.5,4,16
167,121.5,-11.5,4,9
167,118.5,-8.5,4,4
184,100.5,-35.5,4,5
202,111.5,-32.5,4,4
229,125.5,-7.5,4,1
229,123.5,-10.5,4,1
229,127.5,-5.5,4,1
229,122.5,-11.5,4,5
229,121.5,-11.5,4,9
229,127.5,-4.5,4,1
229,120.5,-7.5,4,7
229,120.5,-11.5,4,2
229,121.5,-12.5,4,12
233,37.5,35.5,4,6
233,39.5,34.5,4,1
233,38.5,35.5,4,54
233,45.5,28.5,4,13
233,45.5,29.5,4,1
233,35.5,34.5,4,3
233,37.5,30.5,4,3
233,43.5,30.5,4,1
233,38.5,36.5,4,1
233,35.5,38.5,4,91
260,109.5,-34.5,4,1
270,5.5,37.5,4,2
282,60.5,-29.5,4,1
319,138.5,14.5,4,5
319,135.5,12.5,4,23
319,138.5,13.5,4,1
320,42.5,30.5,4,1
320,46.5,25.5,4,1
342,37.5,35.5,4,6
342,44.5,29.5,4,16
348,29.5,37.5,4,1
348,30.5,37.5,4,13
357,38.5,36.5,4,1
364,122.5,-11.5,4,5
364,123.5,-4.5,4,5
364,121.5,-11.5,4,9
364,123.5,-10.5,4,1
364,119.5,-5.5,4,1
364,122.5,-12.5,4,3
394,-2.5,37.5,4,1
395,120.5,-4.5,4,4
395,123.5,-4.5,4,5
395,135.5,11.5,4,3
395,120.5,-11.5,4,2
395,123.5,-6.5,4,11
395,125.5,-7.5,4,1
398,37.5,38.5,4,55
398,39.5,34.5,4,1
424,37.5,35.5,4,6
424,29.5,37.5,4,1
424,37.5,33.5,4,2
424,39.5,33.5,4,7
427,128.5,13.5,4,2
427,127.5,-4.5,4,1
440,-2.5,37.5,4,1
453,46.5,25.5,4,1
453,42.5,24.5,4,1
458,88.5,-36.5,4,2
480,35.5,38.5,4,91
480,38.5,38.5,4,2
492,120.5,-5.5,4,9
492,135.5,11.5,4,3
497,122.5,-12.5,4,3
497,124.5,-4.5,4,4
497,120.5,-10.5,4,6
497,120.5,-11.5,4,2
497,123.5,-4.5,4,5
497,125.5,-5.5,4,2
503,127.5,-5.5,4,1
507,138.5,14.5,4,5
510,169.5,-66.5,4,1
520,111.5,-32.5,4,4
520,108.5,-34.5,4,1
526,38.5,37.5,4,6
526,39.5,33.5,4,7
526,37.5,33.5,4,2
526,37.5,34.5,4,28
526,38.5,35.5,4,54
526,35.5,38.5,4,91
539,94.5,35.5,4,2
546,71.5,-31.5,4,11
571,37.5,34.5,4,28
571,42.5,24.5,4,1
573,37.5,38.5,4,55
573,39.5,33.5,4,7
573,36.5,38.5,4,10
573,38.5,33.5,4,2
573,38.5,37.5,4,6
573,37.5,33.5,4,2
573,37.5,36.5,4,35
573,36.5,37.5,4,3
573,40.5,33.5,4,1
573,41.5,30.5,4,5
573,38.5,36.5,4,1
573,34.5,34.5,4,14
588,71.5,-31.5,4,11
592,109.5,-34.5,4,1
606,155.5,-57.5,4,1
609,125.5,33.5,4,2
611,34.5,34.5,4,14
611,37.5,33.5,4,2
611,38.5,33.5,4,2
611,42.5,30.5,4,1
633,126.5,-7.5,4,1
636,128.5,-6.5,4,2
655,124.5,-9.5,4,1
655,126.5,-7.5,4,1
655,127.5,-4.5,4,1
655,125.5,-8.5,4,1
655,125.5,-5.5,4,2
655,125.5,-7.5,4,1
655,123.5,-10.5,4,1
655,123.5,-4.5,4,5
655,123.5,-7.5,4,6
655,127.5,-5.5,4,1
655,123.5,-6.5,4,11
655,124.5,-5.5,4,1
656,128.5,13.5,4,2
656,134.5,12.5,4,1
701,34.5,34.5,4,14
701,40.5,33.5,4,1
701,36.5,37.5,4,3
701,37.5,36.5,4,35
701,38.5,35.5,4,54
701,37.5,34.5,4,28
701,35.5,36.5,4,3
701,39.5,34.5,4,1
701,38.5,37.5,4,6
707,125.5,33.5,4,2
709,153.5,-57.5,4,2
709,155.5,-57.5,4,1
709,156.5,-58.5,4,6
721,33.5,37.5,4,1
721,35.5,36.5,4,3
721,30.5,37.5,4,13
721,37.5,38.5,4,55
721,29.5,37.5,4,1
721,36.5,37.5,4,3
721,34.5,36.5,4,1
721,38.5,38.5,4,2
721,35.5,39.5,4,7
721,36.5,38.5,4,10
721,37.5,37.5,4,29
721,37.5,36.5,4,35
725,33.5,37.5,4,1
726,42.5,30.5,4,1
758,29.5,37.5,4,1
