"id","x","y","rep","collections"
2,14.5,6.5,1,3
3,-4.5,46.5,1,14
3,-7.5,48.5,1,3
3,-7.5,47.5,1,4
11,119.5,21.5,1,2
19,122.5,-74.5,1,39
22,-10.5,48.5,1,1
37,112.5,-28.5,1,1
39,17.5,12.5,1,3
39,21.5,27.5,1,2
39,19.5,17.5,1,1
49,17.5,12.5,1,3
51,119.5,23.5,1,1
52,-51.5,13.5,1,1
57,-58.5,24.5,1,24
60,64.5,47.5,1,20
67,132.5,-74.5,1,223
70,-7.5,47.5,1,4
85,-49.5,12.5,1,12
101,109.5,4.5,1,3
101,117.5,-4.5,1,2
101,119.5,18.5,1,15
101,118.5,9.5,1,2
104,13.5,11.5,1,1
104,17.5,12.5,1,3
105,-87.5,8.5,1,2
107,-58.5,24.5,1,24
123,-16.5,44.5,1,2
133,119.5,18.5,1,15
136,-10.5,48.5,1,1
136,-7.5,48.5,1,3
136,-7.5,47.5,1,4
141,15.5,8.5,1,3
141,17.5,12.5,1,3
141,19.5,22.5,1,14
148,72.5,-14.5,1,1
154,19.5,17.5,1,1
162,74.5,-22.5,1,2
166,-43.5,29.5,1,1
170,74.5,-22.5,1,2
173,29.5,27.5,1,4
175,97.5,24.5,1,1
175,84.5,32.5,1,1
205,-7.5,47.5,1,4
213,74.5,-22.5,1,2
219,122.5,-74.5,1,39
222,18.5,18.5,1,2
222,14.5,13.5,1,16
227,-37.5,71.5,1,3
228,-17.5,44.5,1,1
244,31.5,33.5,1,6
252,-24.5,59.5,1,1
253,-24.5,59.5,1,1
257,18.5,14.5,1,6
268,64.5,47.5,1,20
287,-43.5,52.5,1,1
290,-87.5,8.5,1,2
304,122.5,-74.5,1,39
315,72.5,-14.5,1,1
317,-33.5,71.5,1,1
317,-37.5,71.5,1,3
326,-89.5,65.5,1,2
340,118.5,9.5,1,2
344,13.5,11.5,1,1
352,118.5,9.5,1,2
355,-58.5,24.5,1,24
362,-87.5,8.5,1,2
364,-17.5,44.5,1,1
364,-18.5,42.5,1,8
365,132.5,-74.5,1,223
378,122.5,-74.5,1,39
383,-43.5,32.5,1,1
383,-45.5,30.5,1,12
389,-49.5,12.5,1,12
395,23.5,29.5,1,37
395,15.5,29.5,1,24
395,17.5,24.5,1,12
407,119.5,18.5,1,15
422,-43.5,32.5,1,1
435,126.5,39.5,1,1
438,123.5,19.5,1,2
442,-24.5,59.5,1,1
464,18.5,14.5,1,6
472,-24.5,59.5,1,1
478,-28.5,69.5,1,14
484,18.5,18.5,1,2
484,17.5,12.5,1,3
487,-10.5,48.5,1,1
491,122.5,-74.5,1,39
494,-87.5,8.5,1,2
502,126.5,39.5,1,1
505,-33.5,71.5,1,1
506,19.5,9.5,1,2
506,15.5,8.5,1,3
541,-89.5,65.5,1,2
541,-88.5,63.5,1,2
544,30.5,-7.5,1,6
544,39.5,-12.5,1,2
550,72.5,-14.5,1,1
560,117.5,-4.5,1,2
560,119.5,0.5,1,1
561,21.5,31.5,1,13
564,39.5,-12.5,1,2
572,-57.5,19.5,1,1
572,-58.5,24.5,1,24
583,-7.5,48.5,1,3
583,-4.5,46.5,1,14
583,-10.5,50.5,1,1
583,-8.5,46.5,1,31
585,31.5,33.5,1,6
587,119.5,23.5,1,1
602,-10.5,50.5,1,1
612,17.5,12.5,1,3
612,18.5,14.5,1,6
612,13.5,11.5,1,1
612,10.5,10.5,1,6
613,106.5,47.5,1,1
614,17.5,24.5,1,12
620,-88.5,63.5,1,2
622,-38.5,76.5,1,1
625,117.5,-4.5,1,2
625,117.5,-2.5,1,7
