"id","x","y","rep","collections"
32,130.5,34.5,1,8
38,139.5,42.5,1,4
38,138.5,40.5,1,5
71,145.5,-46.5,1,7
71,147.5,-46.5,1,3
71,149.5,-44.5,1,1
82,18.5,45.5,1,1
82,37.5,42.5,1,2
139,4.5,39.5,1,1
177,136.5,38.5,1,1
177,129.5,34.5,1,1
177,137.5,37.5,1,1
264,22.5,47.5,1,7
324,18.5,45.5,1,1
357,10.5,41.5,1,7
357,11.5,41.5,1,1
371,144.5,-46.5,1,6
428,6.5,43.5,1,1
444,137.5,38.5,1,1
444,137.5,37.5,1,1
444,135.5,37.5,1,1
444,140.5,42.5,1,1
445,37.5,42.5,1,2
447,36.5,42.5,1,1
466,-1.5,38.5,1,1
513,-70.5,38.5,1,1
547,121.5,0.5,1,2
547,121.5,-0.5,1,1
585,22.5,47.5,1,7
613,37.5,42.5,1,2
633,4.5,39.5,1,1
633,3.5,38.5,1,1
665,136.5,38.5,1,1
665,140.5,42.5,1,1
679,3.5,38.5,1,1
695,136.5,38.5,1,1
710,138.5,40.5,1,5
728,4.5,39.5,1,1
733,4.5,39.5,1,1
750,121.5,0.5,1,2
804,120.5,-0.5,1,1
830,129.5,34.5,1,1
848,139.5,42.5,1,4
858,120.5,-0.5,1,1
894,129.5,-41.5,1,1
899,-1.5,37.5,1,2
943,-1.5,38.5,1,1
943,4.5,39.5,1,1
950,129.5,-41.5,1,1
980,148.5,-45.5,1,1
990,-76.5,25.5,1,2
6,25.5,42.5,2,3
67,134.5,36.5,2,8
92,3.5,38.5,2,1
121,11.5,41.5,2,1
129,-1.5,37.5,2,2
153,146.5,-46.5,2,2
153,144.5,-46.5,2,6
153,147.5,-46.5,2,3
153,145.5,-46.5,2,7
212,18.5,43.5,2,27
212,36.5,42.5,2,1
212,25.5,43.5,2,1
343,135.5,36.5,2,1
363,37.5,42.5,2,2
380,18.5,43.5,2,27
380,18.5,44.5,2,1
409,137.5,39.5,2,1
409,138.5,37.5,2,2
409,135.5,37.5,2,1
409,139.5,42.5,2,4
409,137.5,38.5,2,1
447,-175.5,-46.5,2,1
469,121.5,-0.5,2,1
472,137.5,38.5,2,1
472,136.5,36.5,2,2
473,6.5,43.5,2,1
496,18.5,47.5,2,1
497,129.5,-41.5,2,1
542,0.5,41.5,2,3
601,145.5,-46.5,2,7
601,148.5,-45.5,2,1
616,145.5,-46.5,2,7
616,147.5,-46.5,2,3
616,146.5,-46.5,2,2
637,135.5,36.5,2,1
665,137.5,39.5,2,1
688,136.5,36.5,2,2
688,135.5,36.5,2,1
688,141.5,43.5,2,1
722,144.5,-46.5,2,6
740,121.5,0.5,2,2
742,49.5,37.5,2,2
780,6.5,43.5,2,1
821,-175.5,-46.5,2,1
830,25.5,42.5,2,3
842,129.5,-41.5,2,1
851,121.5,-0.5,2,1
867,120.5,-0.5,2,1
867,121.5,0.5,2,2
868,144.5,-46.5,2,6
868,145.5,-46.5,2,7
909,6.5,43.5,2,1
910,141.5,43.5,2,1
910,139.5,42.5,2,4
923,37.5,42.5,2,2
946,3.5,38.5,2,1
960,-175.5,-46.5,2,1
10,149.5,-44.5,3,1
20,18.5,47.5,3,1
20,18.5,44.5,3,1
41,144.5,-46.5,3,6
71,22.5,47.5,3,7
89,25.5,42.5,3,3
104,49.5,37.5,3,2
133,18.5,43.5,3,27
133,19.5,44.5,3,1
133,18.5,45.5,3,1
151,129.5,-41.5,3,1
182,-1.5,38.5,3,1
184,-1.5,37.5,3,2
228,36.5,42.5,3,1
244,130.5,34.5,3,8
244,129.5,34.5,3,1
259,145.5,-46.5,3,7
293,25.5,42.5,3,3
293,25.5,43.5,3,1
293,18.5,43.5,3,27
295,121.5,-0.5,3,1
311,131.5,34.5,3,7
311,137.5,38.5,3,1
315,18.5,47.5,3,1
315,18.5,44.5,3,1
315,22.5,47.5,3,7
327,15.5,-32.5,3,1
383,145.5,-46.5,3,7
384,0.5,41.5,3,3
426,138.5,40.5,3,5
426,139.5,42.5,3,4
426,141.5,43.5,3,1
426,136.5,36.5,3,2
440,11.5,41.5,3,1
440,3.5,38.5,3,1
470,-1.5,37.5,3,2
477,140.5,42.5,3,1
497,15.5,-32.5,3,1
498,-175.5,-46.5,3,1
499,140.5,42.5,3,1
513,145.5,-46.5,3,7
513,149.5,-44.5,3,1
526,22.5,47.5,3,7
575,-1.5,37.5,3,2
619,137.5,38.5,3,1
637,25.5,42.5,3,3
658,36.5,42.5,3,1
674,11.5,41.5,3,1
674,10.5,41.5,3,7
692,49.5,37.5,3,2
692,0.5,39.5,3,1
715,-1.5,37.5,3,2
717,-1.5,38.5,3,1
729,-70.5,38.5,3,1
731,49.5,37.5,3,2
739,10.5,41.5,3,7
739,11.5,41.5,3,1
753,136.5,38.5,3,1
809,49.5,37.5,3,2
858,4.5,39.5,3,1
865,147.5,-46.5,3,3
865,144.5,-46.5,3,6
867,144.5,-46.5,3,6
876,133.5,35.5,3,3
947,131.5,34.5,3,7
947,129.5,34.5,3,1
947,130.5,34.5,3,8
955,18.5,47.5,3,1
999,37.5,42.5,3,2
30,137.5,38.5,4,1
30,135.5,36.5,4,1
30,137.5,39.5,4,1
34,-70.5,38.5,4,1
48,25.5,42.5,4,3
75,137.5,37.5,4,1
75,135.5,36.5,4,1
92,121.5,0.5,4,2
112,0.5,41.5,4,3
158,131.5,34.5,4,7
158,137.5,38.5,4,1
159,136.5,36.5,4,2
159,138.5,38.5,4,13
159,139.5,42.5,4,4
172,36.5,42.5,4,1
241,-1.5,37.5,4,2
241,0.5,41.5,4,3
256,-1.5,37.5,4,2
257,129.5,34.5,4,1
257,133.5,35.5,4,3
276,136.5,38.5,4,1
276,138.5,40.5,4,5
276,135.5,37.5,4,1
370,10.5,41.5,4,7
393,147.5,-46.5,4,3
393,148.5,-45.5,4,1
411,136.5,38.5,4,1
424,49.5,37.5,4,2
435,138.5,38.5,4,13
435,131.5,34.5,4,7
483,18.5,44.5,4,1
573,139.5,42.5,4,4
576,-1.5,38.5,4,1
601,129.5,34.5,4,1
615,145.5,-46.5,4,7
626,120.5,-0.5,4,1
640,37.5,42.5,4,2
653,138.5,38.5,4,13
653,137.5,38.5,4,1
655,140.5,42.5,4,1
664,-1.5,37.5,4,2
727,4.5,39.5,4,1
745,138.5,37.5,4,2
747,6.5,43.5,4,1
747,0.5,39.5,4,1
747,10.5,41.5,4,7
785,135.5,37.5,4,1
807,135.5,37.5,4,1
807,136.5,38.5,4,1
807,134.5,36.5,4,8
866,130.5,34.5,4,8
879,137.5,38.5,4,1
879,137.5,39.5,4,1
886,3.5,38.5,4,1
908,0.5,39.5,4,1
926,4.5,39.5,4,1
995,0.5,39.5,4,1
5,49.5,37.5,5,2
32,0.5,39.5,5,1
91,121.5,0.5,5,2
91,121.5,-0.5,5,1
181,134.5,36.5,5,8
181,137.5,39.5,5,1
182,10.5,41.5,5,7
185,-70.5,38.5,5,1
186,18.5,45.5,5,1
258,-76.5,25.5,5,2
281,145.5,-46.5,5,7
295,17.5,45.5,5,2
295,19.5,44.5,5,1
295,18.5,45.5,5,1
322,15.5,-32.5,5,1
340,138.5,40.5,5,5
486,121.5,0.5,5,2
520,17.5,45.5,5,2
523,-70.5,38.5,5,1
560,37.5,42.5,5,2
566,2.5,41.5,5,5
568,-70.5,38.5,5,1
587,10.5,41.5,5,7
587,11.5,41.5,5,1
602,147.5,-46.5,5,3
602,146.5,-46.5,5,2
705,138.5,38.5,5,13
705,134.5,36.5,5,8
755,138.5,40.5,5,5
777,18.5,43.5,5,27
809,0.5,39.5,5,1
832,18.5,44.5,5,1
832,25.5,42.5,5,3
853,148.5,-45.5,5,1
857,137.5,39.5,5,1
857,140.5,42.5,5,1
892,49.5,37.5,5,2
944,25.5,42.5,5,3
956,3.5,38.5,5,1
25,-1.5,37.5,6,2
66,18.5,44.5,6,1
82,121.5,-0.5,6,1
85,138.5,37.5,6,2
90,135.5,36.5,6,1
123,18.5,44.5,6,1
142,137.5,39.5,6,1
142,137.5,38.5,6,1
142,138.5,40.5,6,5
142,136.5,38.5,6,1
142,138.5,38.5,6,13
172,131.5,34.5,6,7
172,129.5,34.5,6,1
172,136.5,36.5,6,2
172,130.5,34.5,6,8
172,133.5,35.5,6,3
172,134.5,36.5,6,8
196,130.5,34.5,6,8
196,137.5,38.5,6,1
196,138.5,38.5,6,13
204,36.5,42.5,6,1
242,4.5,39.5,6,1
280,149.5,-44.5,6,1
285,25.5,42.5,6,3
285,25.5,43.5,6,1
324,121.5,0.5,6,2
324,121.5,-0.5,6,1
324,120.5,-0.5,6,1
376,147.5,-46.5,6,3
376,146.5,-46.5,6,2
400,133.5,35.5,6,3
522,134.5,36.5,6,8
522,135.5,37.5,6,1
538,49.5,37.5,6,2
640,-1.5,38.5,6,1
702,131.5,34.5,6,7
739,-1.5,37.5,6,2
739,-1.5,38.5,6,1
739,0.5,39.5,6,1
740,146.5,-46.5,6,2
774,138.5,40.5,6,5
813,148.5,-45.5,6,1
813,145.5,-46.5,6,7
823,15.5,-32.5,6,1
851,137.5,37.5,6,1
851,137.5,38.5,6,1
