"id","x","y","rep","collections"
1,-1.5,36.5,1,27
10,-51.5,-40.5,1,29
33,33.5,27.5,1,1
43,7.5,25.5,1,133
54,-56.5,-54.5,1,10
54,-56.5,-52.5,1,11
68,1.5,43.5,1,9
68,1.5,33.5,1,10
68,1.5,36.5,1,296
68,4.5,41.5,1,1
68,5.5,36.5,1,80
75,58.5,-31.5,1,10
76,10.5,51.5,1,28
99,-75.5,34.5,1,156
127,28.5,34.5,1,1
129,51.5,46.5,1,4
129,46.5,38.5,1,1
129,41.5,43.5,1,1
138,7.5,44.5,1,214
154,64.5,52.5,1,1
164,-66.5,38.5,1,131
191,21.5,24.5,1,3
203,24.5,42.5,1,1
212,41.5,43.5,1,1
212,34.5,45.5,1,2
226,54.5,-15.5,1,1
227,17.5,44.5,1,7
238,-1.5,36.5,1,27
238,7.5,44.5,1,214
259,49.5,41.5,1,14
274,-63.5,32.5,1,1
275,64.5,35.5,1,13
284,16.5,34.5,1,2
284,19.5,33.5,1,45
300,5.5,36.5,1,80
308,-57.5,-7.5,1,1
312,-58.5,2.5,1,1
323,-70.5,36.5,1,24
329,7.5,46.5,1,9
333,-77.5,52.5,1,285
342,-1.5,36.5,1,27
342,10.5,38.5,1,3
346,4.5,44.5,1,62
346,4.5,41.5,1,1
351,5.5,36.5,1,80
356,-51.5,-42.5,1,6
358,20.5,23.5,1,1
358,19.5,33.5,1,45
360,58.5,49.5,1,8
364,37.5,34.5,1,1
378,48.5,43.5,1,2
399,-72.5,17.5,1,200
404,41.5,32.5,1,1
404,33.5,27.5,1,1
410,14.5,38.5,1,2
414,-70.5,36.5,1,24
419,41.5,34.5,1,3
419,68.5,31.5,1,5
428,23.5,13.5,1,1
428,23.5,16.5,1,1
428,26.5,15.5,1,1
447,-50.5,-22.5,1,1
447,-50.5,-25.5,1,1
453,7.5,44.5,1,214
453,4.5,44.5,1,62
453,1.5,43.5,1,9
463,42.5,38.5,1,1
463,41.5,32.5,1,1
463,41.5,34.5,1,3
465,1.5,33.5,1,10
465,2.5,18.5,1,1
466,4.5,41.5,1,1
466,14.5,38.5,1,2
468,21.5,36.5,1,9
475,19.5,33.5,1,45
475,21.5,39.5,1,58
476,7.5,37.5,1,23
476,-1.5,36.5,1,27
485,-123.5,80.5,1,3
491,1.5,43.5,1,9
495,-56.5,-54.5,1,10
496,16.5,34.5,1,2
496,21.5,36.5,1,9
498,16.5,34.5,1,2
498,21.5,46.5,1,19
498,20.5,39.5,1,5
498,23.5,33.5,1,2
498,7.5,37.5,1,23
500,10.5,38.5,1,3
530,50.5,7.5,1,22
532,10.5,51.5,1,28
532,10.5,49.5,1,39
535,48.5,27.5,1,12
588,33.5,27.5,1,1
590,-80.5,43.5,1,3
590,-80.5,45.5,1,101
591,23.5,33.5,1,2
591,20.5,23.5,1,1
599,10.5,51.5,1,28
601,23.5,16.5,1,1
608,10.5,51.5,1,28
608,4.5,49.5,1,1
609,-56.5,-52.5,1,11
613,-74.5,21.5,1,5
636,7.5,44.5,1,214
646,35.5,18.5,1,9
646,30.5,17.5,1,2
659,75.5,-20.5,1,2
661,-57.5,-7.5,1,1
661,-61.5,-7.5,1,2
669,57.5,36.5,1,3
673,34.5,15.5,1,9
686,-80.5,45.5,1,101
686,-79.5,32.5,1,57
686,-74.5,49.5,1,141
687,10.5,38.5,1,3
689,-63.5,32.5,1,1
697,49.5,5.5,1,3
706,21.5,36.5,1,9
728,21.5,46.5,1,19
735,58.5,-31.5,1,10
738,14.5,49.5,1,14
740,4.5,44.5,1,62
755,-2.5,12.5,1,2
779,30.5,17.5,1,2
780,30.5,15.5,1,26
780,35.5,18.5,1,9
781,61.5,32.5,1,1
790,54.5,-15.5,1,1
796,27.5,18.5,1,4
804,-55.5,-44.5,1,57
807,14.5,38.5,1,2
809,53.5,39.5,1,2
809,52.5,33.5,1,9
813,-74.5,36.5,1,124
814,-77.5,22.5,1,6
831,64.5,52.5,1,1
834,38.5,40.5,1,4
845,64.5,52.5,1,1
848,-155.5,-60.5,1,20
857,35.5,42.5,1,4
888,-58.5,2.5,1,1
915,60.5,54.5,1,2
926,80.5,-10.5,1,1
951,-78.5,35.5,1,51
962,52.5,33.5,1,9
962,41.5,32.5,1,1
964,30.5,17.5,1,2
964,27.5,18.5,1,4
966,26.5,27.5,1,2
966,20.5,23.5,1,1
966,23.5,16.5,1,1
966,21.5,24.5,1,3
987,43.5,-25.5,1,1
999,-56.5,-54.5,1,10
27,10.5,49.5,2,39
27,4.5,49.5,2,1
33,80.5,-10.5,2,1
39,41.5,43.5,2,1
76,39.5,22.5,2,1
76,41.5,32.5,2,1
78,-61.5,-7.5,2,2
86,-57.5,-7.5,2,1
112,13.5,19.5,2,3
112,7.5,25.5,2,133
112,23.5,33.5,2,2
125,-77.5,52.5,2,285
125,-78.5,50.5,2,156
133,49.5,38.5,2,9
139,20.5,39.5,2,5
139,17.5,44.5,2,7
145,32.5,37.5,2,1
155,41.5,32.5,2,1
