"id","x","y","rep","collections"
33,33.5,10.5,1,1
33,31.5,14.5,1,1
65,22.5,30.5,1,1
82,22.5,30.5,1,1
91,108.5,26.5,1,1
95,33.5,17.5,1,12
111,115.5,11.5,1,1
116,25.5,30.5,1,1
116,20.5,32.5,1,1
116,21.5,29.5,1,10
119,54.5,-11.5,1,1
119,53.5,-8.5,1,11
148,93.5,-80.5,1,1
175,52.5,-9.5,1,1
175,53.5,-8.5,1,11
175,53.5,-7.5,1,4
175,53.5,-11.5,1,4
188,-58.5,29.5,1,1
189,53.5,-11.5,1,4
197,-107.5,72.5,1,1
197,-111.5,72.5,1,2
197,-106.5,71.5,1,1
236,25.5,30.5,1,1
248,121.5,11.5,1,1
248,115.5,11.5,1,1
256,54.5,-11.5,1,1
256,53.5,-11.5,1,4
259,-13.5,51.5,1,1
271,-114.5,76.5,1,1
279,-12.5,51.5,1,2
315,53.5,-10.5,1,1
332,33.5,10.5,1,1
345,-113.5,72.5,1,1
345,-111.5,74.5,1,1
376,26.5,14.5,1,3
376,35.5,14.5,1,3
385,-85.5,70.5,1,1
393,101.5,-76.5,1,8
403,-52.5,43.5,1,1
406,2.5,56.5,1,1
436,22.5,30.5,1,1
448,-40.5,52.5,1,1
448,-34.5,57.5,1,1
449,53.5,-11.5,1,4
452,-85.5,70.5,1,1
455,-111.5,72.5,1,2
464,-111.5,74.5,1,1
464,-105.5,69.5,1,1
464,-114.5,65.5,1,1
480,52.5,-9.5,1,1
492,52.5,-9.5,1,1
497,35.5,14.5,1,3
516,60.5,-36.5,1,3
527,-111.5,73.5,1,3
527,-106.5,71.5,1,1
542,108.5,35.5,1,2
543,37.5,14.5,1,1
550,-107.5,72.5,1,1
563,29.5,16.5,1,1
582,119.5,29.5,1,1
615,113.5,-31.5,1,1
625,93.5,24.5,1,1
636,19.5,26.5,1,1
637,27.5,15.5,1,2
665,113.5,27.5,1,3
665,115.5,25.5,1,1
674,53.5,-10.5,1,1
691,-51.5,26.5,1,1
693,22.5,30.5,1,1
706,-12.5,51.5,1,2
706,-13.5,51.5,1,1
722,26.5,13.5,1,1
728,-36.5,57.5,1,2
736,-35.5,58.5,1,1
738,142.5,39.5,1,11
738,142.5,38.5,1,1
751,177.5,80.5,1,1
758,-58.5,28.5,1,1
758,-58.5,29.5,1,1
760,33.5,10.5,1,1
760,29.5,8.5,1,1
775,-34.5,57.5,1,1
780,119.5,29.5,1,1
784,-116.5,74.5,1,1
784,-112.5,70.5,1,1
784,-111.5,74.5,1,1
791,-113.5,77.5,1,1
795,54.5,-11.5,1,1
795,53.5,-10.5,1,1
817,-40.5,36.5,1,12
817,-40.5,35.5,1,1
830,-40.5,35.5,1,1
839,153.5,52.5,1,1
847,53.5,-7.5,1,4
864,-34.5,57.5,1,1
864,-34.5,58.5,1,1
874,52.5,-9.5,1,1
874,53.5,-8.5,1,11
877,-36.5,57.5,1,2
877,-41.5,53.5,1,1
880,-106.5,73.5,1,1
881,121.5,11.5,1,1
890,53.5,-8.5,1,11
895,-48.5,24.5,1,2
901,-35.5,58.5,1,1
915,-41.5,53.5,1,1
933,-40.5,36.5,1,12
981,19.5,24.5,1,5
990,108.5,35.5,1,2
998,119.5,27.5,1,1
998,108.5,28.5,1,2
999,30.5,19.5,1,11
999,41.5,8.5,1,1
37,1.5,56.5,2,4
