"id","x","y","rep","collections"
2,22.5,29.5,1,3
2,22.5,32.5,1,3
2,25.5,32.5,1,1
2,22.5,31.5,1,2
2,20.5,29.5,1,1
14,38.5,-18.5,1,4
14,38.5,-13.5,1,1
14,36.5,-17.5,1,2
23,31.5,-30.5,1,1
35,45.5,-7.5,1,7
43,31.5,-35.5,1,6
49,22.5,32.5,1,3
49,22.5,31.5,1,2
50,-48.5,57.5,1,1
50,-47.5,58.5,1,1
60,11.5,39.5,1,8
68,15.5,32.5,1,12
72,44.5,-6.5,1,27
72,44.5,-5.5,1,8
73,115.5,-32.5,1,1
76,15.5,36.5,1,1
76,12.5,39.5,1,7
84,36.5,14.5,1,2
103,23.5,31.5,1,1
103,15.5,22.5,1,1
103,20.5,29.5,1,1
103,15.5,32.5,1,12
110,15.5,61.5,1,3
115,31.5,-30.5,1,1
140,22.5,26.5,1,1
140,21.5,32.5,1,4
140,25.5,32.5,1,1
140,17.5,25.5,1,1
140,15.5,32.5,1,12
140,24.5,31.5,1,3
147,34.5,-23.5,1,4
147,38.5,-18.5,1,4
154,16.5,34.5,1,7
158,37.5,4.5,1,6
176,36.5,-17.5,1,2
204,15.5,34.5,1,1
218,38.5,-18.5,1,4
218,36.5,-24.5,1,1
218,38.5,-13.5,1,1
227,44.5,-9.5,1,18
227,45.5,-7.5,1,7
227,44.5,-5.5,1,8
237,-36.5,28.5,1,1
237,-37.5,29.5,1,2
237,-36.5,30.5,1,1
248,15.5,61.5,1,3
257,19.5,30.5,1,2
257,20.5,30.5,1,14
257,22.5,31.5,1,2
274,44.5,-5.5,1,8
274,36.5,-24.5,1,1
276,46.5,37.5,1,1
277,32.5,-34.5,1,1
277,46.5,-30.5,1,7
281,49.5,-29.5,1,2
285,20.5,30.5,1,14
285,20.5,29.5,1,1
297,16.5,61.5,1,1
308,44.5,-5.5,1,8
320,20.5,13.5,1,1
329,44.5,-9.5,1,18
329,44.5,-5.5,1,8
329,43.5,-9.5,1,11
335,30.5,-36.5,1,4
337,36.5,14.5,1,2
350,31.5,-30.5,1,1
351,45.5,-29.5,1,13
353,24.5,31.5,1,3
353,22.5,26.5,1,1
360,43.5,-9.5,1,11
370,43.5,-9.5,1,11
370,44.5,-9.5,1,18
409,25.5,33.5,1,1
417,41.5,-18.5,1,9
420,37.5,17.5,1,1
420,36.5,14.5,1,2
433,115.5,-32.5,1,1
439,16.5,60.5,1,1
439,16.5,61.5,1,1
447,-39.5,27.5,1,1
468,17.5,23.5,1,3
468,16.5,34.5,1,7
468,15.5,22.5,1,1
479,39.5,-17.5,1,4
479,44.5,-8.5,1,9
479,37.5,4.5,1,6
479,36.5,-17.5,1,2
482,45.5,-29.5,1,13
500,11.5,39.5,1,8
500,17.5,34.5,1,1
500,22.5,32.5,1,3
509,-37.5,31.5,1,3
509,-39.5,27.5,1,1
509,-38.5,29.5,1,1
509,-37.5,29.5,1,2
510,36.5,14.5,1,2
540,44.5,-6.5,1,27
540,43.5,-10.5,1,6
540,44.5,-9.5,1,18
559,30.5,-36.5,1,4
560,22.5,31.5,1,2
561,16.5,61.5,1,1
565,12.5,39.5,1,7
565,15.5,34.5,1,1
566,34.5,20.5,1,1
566,18.5,23.5,1,1
569,-48.5,57.5,1,1
582,34.5,-24.5,1,5
582,36.5,-17.5,1,2
583,36.5,14.5,1,2
583,20.5,13.5,1,1
620,17.5,34.5,1,1
620,15.5,34.5,1,1
634,16.5,61.5,1,1
642,17.5,35.5,1,1
642,22.5,30.5,1,7
642,16.5,22.5,1,1
658,38.5,-18.5,1,4
658,39.5,-17.5,1,4
667,36.5,14.5,1,2
675,34.5,-23.5,1,4
681,-41.5,25.5,1,1
683,37.5,4.5,1,6
688,31.5,-30.5,1,1
688,31.5,-35.5,1,6
694,17.5,28.5,1,1
694,16.5,22.5,1,1
694,22.5,26.5,1,1
707,-38.5,29.5,1,1
707,-37.5,29.5,1,2
726,16.5,60.5,1,1
727,16.5,22.5,1,1
736,25.5,33.5,1,1
743,41.5,-18.5,1,9
757,-37.5,29.5,1,2
757,-34.5,31.5,1,1
757,-38.5,29.5,1,1
781,19.5,30.5,1,2
784,44.5,-5.5,1,8
784,44.5,-8.5,1,9
788,34.5,-23.5,1,4
795,17.5,32.5,1,2
795,17.5,23.5,1,3
795,16.5,34.5,1,7
795,17.5,34.5,1,1
795,15.5,32.5,1,12
807,37.5,3.5,1,1
809,32.5,-34.5,1,1
809,31.5,-35.5,1,6
809,38.5,-18.5,1,4
811,20.5,30.5,1,14
829,37.5,3.5,1,1
830,-36.5,30.5,1,1
843,35.5,-23.5,1,8
860,36.5,-25.5,1,2
860,38.5,-18.5,1,4
864,32.5,-34.5,1,1
864,36.5,-24.5,1,1
864,34.5,-24.5,1,5
880,115.5,-32.5,1,1
893,24.5,31.5,1,3
893,20.5,30.5,1,14
905,-41.5,25.5,1,1
909,32.5,35.5,1,11
909,31.5,36.5,1,1
913,15.5,34.5,1,1
913,15.5,36.5,1,1
924,45.5,-29.5,1,13
926,43.5,-9.5,1,11
926,44.5,-6.5,1,27
956,2.5,19.5,1,1
981,37.5,3.5,1,1
984,34.5,-24.5,1,5
984,46.5,-30.5,1,7
984,34.5,-23.5,1,4
984,36.5,-24.5,1,1
985,17.5,35.5,1,1
985,32.5,35.5,1,11
985,16.5,34.5,1,7
16,36.5,-25.5,2,2
34,15.5,32.5,2,12
34,21.5,32.5,2,4
34,18.5,23.5,2,1
60,-0.5,25.5,2,1
61,20.5,29.5,2,1
61,17.5,34.5,2,1
61,37.5,4.5,2,6
61,32.5,35.5,2,11
61,17.5,23.5,2,3
64,16.5,60.5,2,1
66,89.5,23.5,2,1
79,37.5,4.5,2,6
79,37.5,3.5,2,1
90,45.5,-7.5,2,7
118,46.5,-30.5,2,7
118,49.5,-29.5,2,2
119,-39.5,27.5,2,1
119,-38.5,29.5,2,1
134,31.5,-35.5,2,6
139,32.5,35.5,2,11
189,-0.5,25.5,2,1
201,31.5,-35.5,2,6
201,32.5,-34.5,2,1
203,17.5,28.5,2,1
203,21.5,31.5,2,2
203,17.5,35.5,2,1
208,44.5,-7.5,2,16
208,53.5,-11.5,2,1
208,43.5,-9.5,2,11
275,32.5,35.5,2,11
282,-39.5,27.5,2,1
282,-36.5,30.5,2,1
289,36.5,14.5,2,2
289,20.5,13.5,2,1
301,36.5,-24.5,2,1
319,22.5,31.5,2,2
319,23.5,31.5,2,1
319,23.5,30.5,2,17
319,22.5,29.5,2,3
325,22.5,29.5,2,3
325,22.5,31.5,2,2
342,41.5,-18.5,2,9
342,54.5,-12.5,2,1
347,15.5,61.5,2,3
348,-34.5,31.5,2,1
348,-36.5,30.5,2,1
348,-37.5,31.5,2,3
367,45.5,-7.5,2,7
402,31.5,36.5,2,1
402,32.5,35.5,2,11
402,23.5,31.5,2,1
405,34.5,-24.5,2,5
405,31.5,-30.5,2,1
405,32.5,-34.5,2,1
427,34.5,20.5,2,1
436,54.5,-12.5,2,1
478,17.5,32.5,2,2
478,15.5,32.5,2,12
487,44.5,-5.5,2,8
487,53.5,-9.5,2,1
499,35.5,-23.5,2,8
499,38.5,-18.5,2,4
530,17.5,34.5,2,1
577,21.5,31.5,2,2
617,2.5,19.5,2,1
619,23.5,30.5,2,17
621,17.5,32.5,2,2
629,17.5,34.5,2,1
634,43.5,-9.5,2,11
634,45.5,-7.5,2,7
634,44.5,-7.5,2,16
634,44.5,-9.5,2,18
