"id","x","y","rep","collections"
7,-130.5,78.5,1,1
15,15.5,47.5,1,12
15,22.5,51.5,1,8
16,-174.5,35.5,1,2
17,-63.5,20.5,1,2
22,-173.5,38.5,1,6
24,15.5,47.5,1,12
35,11.5,47.5,1,36
35,3.5,42.5,1,124
35,7.5,44.5,1,16
37,-87.5,80.5,1,1
42,11.5,42.5,1,58
50,-105.5,64.5,1,1
66,18.5,47.5,1,393
66,23.5,42.5,1,15
66,35.5,42.5,1,1
68,11.5,42.5,1,58
71,36.5,23.5,1,3
71,36.5,26.5,1,2
77,51.5,49.5,1,1
82,-57.5,40.5,1,34
82,-54.5,36.5,1,158
87,20.5,41.5,1,6
93,-119.5,81.5,1,1
110,49.5,-77.5,1,9
110,52.5,-75.5,1,13
111,3.5,42.5,1,124
111,7.5,44.5,1,16
114,11.5,31.5,1,6
115,17.5,45.5,1,48
126,-115.5,61.5,1,8
127,16.5,24.5,1,11
131,-173.5,38.5,1,6
135,-63.5,20.5,1,2
135,-63.5,27.5,1,15
136,58.5,52.5,1,2
136,64.5,51.5,1,1
136,51.5,49.5,1,1
139,-20.5,-36.5,1,12
139,-33.5,-18.5,1,2
146,-173.5,38.5,1,6
150,-13.5,-48.5,1,2
152,22.5,39.5,1,39
157,-87.5,80.5,1,1
158,-103.5,81.5,1,3
159,3.5,42.5,1,124
163,16.5,24.5,1,11
166,31.5,-78.5,1,1
171,5.5,27.5,1,15
173,18.5,43.5,1,33
173,18.5,47.5,1,393
173,18.5,26.5,1,45
173,15.5,44.5,1,10
173,15.5,47.5,1,12
180,19.5,33.5,1,58
181,-50.5,24.5,1,1
182,47.5,22.5,1,3
192,97.5,-28.5,1,3
193,47.5,44.5,1,4
195,-23.5,-32.5,1,64
197,-20.5,-36.5,1,12
201,20.5,41.5,1,6
201,29.5,45.5,1,45
208,-51.5,36.5,1,1
208,-54.5,31.5,1,1
208,-55.5,34.5,1,14
212,-63.5,20.5,1,2
212,-65.5,14.5,1,303
212,-63.5,27.5,1,15
214,18.5,26.5,1,45
214,18.5,31.5,1,1
214,21.5,25.5,1,3
226,8.5,53.5,1,106
238,97.5,-28.5,1,3
240,16.5,24.5,1,11
248,-119.5,81.5,1,1
248,-130.5,78.5,1,1
252,170.5,29.5,1,1
255,-119.5,81.5,1,1
256,11.5,42.5,1,58
257,-22.5,-34.5,1,108
262,-87.5,80.5,1,1
266,11.5,47.5,1,36
266,3.5,42.5,1,124
285,11.5,42.5,1,58
288,27.5,50.5,1,2
290,43.5,43.5,1,6
295,-87.5,80.5,1,1
295,-74.5,83.5,1,1
299,-33.5,-18.5,1,2
302,37.5,49.5,1,2
302,35.5,42.5,1,1
306,22.5,32.5,1,352
306,19.5,33.5,1,58
312,34.5,48.5,1,8
315,35.5,42.5,1,1
316,16.5,24.5,1,11
316,21.5,25.5,1,3
321,-107.5,61.5,1,2
323,-20.5,-36.5,1,12
323,-22.5,-34.5,1,108
324,-56.5,54.5,1,6
328,18.5,40.5,1,174
339,-105.5,64.5,1,1
339,-115.5,61.5,1,8
339,-119.5,81.5,1,1
364,-130.5,78.5,1,1
373,31.5,-78.5,1,1
377,29.5,45.5,1,45
384,7.5,44.5,1,16
385,-107.5,61.5,1,2
386,7.5,44.5,1,16
386,3.5,39.5,1,1
395,-74.5,83.5,1,1
409,-18.5,-41.5,1,7
409,-23.5,-32.5,1,64
409,-20.5,-36.5,1,12
409,-29.5,-20.5,1,1
411,-173.5,38.5,1,6
422,17.5,45.5,1,48
422,18.5,47.5,1,393
426,91.5,51.5,1,3
428,-173.5,38.5,1,6
430,-103.5,80.5,1,2
430,-103.5,81.5,1,3
432,18.5,26.5,1,45
434,-115.5,61.5,1,8
434,-107.5,61.5,1,2
450,-56.5,59.5,1,1
467,-173.5,38.5,1,6
473,-13.5,-48.5,1,2
488,-130.5,78.5,1,1
491,-50.5,24.5,1,1
497,-55.5,34.5,1,14
500,-57.5,40.5,1,34
502,-173.5,38.5,1,6
503,179.5,34.5,1,4
503,170.5,29.5,1,1
509,22.5,51.5,1,8
509,24.5,46.5,1,7
516,-26.5,-22.5,1,4
516,-21.5,-26.5,1,18
524,-55.5,34.5,1,14
529,64.5,51.5,1,1
