"id","x","y","rep","collections"
26,120.5,14.5,1,2
28,-1.5,49.5,1,1
33,102.5,-53.5,1,7
47,-61.5,-56.5,1,1
49,4.5,52.5,1,3
84,0.5,55.5,1,1
84,-1.5,49.5,1,1
84,-3.5,59.5,1,1
92,49.5,15.5,1,1
101,-70.5,30.5,1,12
115,27.5,46.5,1,8
120,20.5,43.5,1,1
120,12.5,37.5,1,1
123,-90.5,11.5,1,1
123,-81.5,12.5,1,9
130,139.5,-56.5,1,8
133,-61.5,-56.5,1,1
136,17.5,41.5,1,7
136,16.5,43.5,1,1
138,-71.5,20.5,1,10
147,5.5,42.5,1,8
150,-1.5,49.5,1,1
157,-1.5,37.5,1,2
158,8.5,53.5,1,2
161,-1.5,37.5,1,2
161,12.5,43.5,1,16
169,35.5,44.5,1,1
172,-66.5,35.5,1,10
172,-66.5,37.5,1,1
173,-169.5,-49.5,1,1
182,-171.5,-50.5,1,17
182,-171.5,-53.5,1,38
197,4.5,52.5,1,3
205,-166.5,-51.5,1,1
205,-171.5,-50.5,1,17
205,-169.5,-49.5,1,1
208,102.5,-53.5,1,7
240,17.5,41.5,1,7
240,20.5,41.5,1,56
244,0.5,55.5,1,1
253,49.5,15.5,1,1
259,140.5,-58.5,1,3
259,139.5,-56.5,1,8
269,-169.5,-49.5,1,1
275,120.5,14.5,1,2
295,-74.5,30.5,1,43
306,25.5,24.5,1,161
320,1.5,50.5,1,1
320,1.5,52.5,1,1
326,50.5,48.5,1,1
329,9.5,-32.5,1,1
339,-0.5,39.5,1,8
339,-3.5,36.5,1,16
349,35.5,44.5,1,1
349,28.5,41.5,1,1
356,-89.5,29.5,1,2
356,-70.5,30.5,1,12
356,-74.5,28.5,1,82
356,-78.5,28.5,1,16
360,-58.5,-66.5,1,51
386,50.5,48.5,1,1
386,53.5,48.5,1,1
389,-74.5,30.5,1,43
394,30.5,49.5,1,2
394,9.5,48.5,1,1
394,12.5,48.5,1,1
394,27.5,46.5,1,8
396,-0.5,39.5,1,8
420,30.5,49.5,1,2
420,27.5,46.5,1,8
420,20.5,43.5,1,1
439,-113.5,48.5,1,49
439,-113.5,46.5,1,136
439,-89.5,27.5,1,7
439,-105.5,30.5,1,3
452,49.5,15.5,1,1
458,43.5,40.5,1,1
458,50.5,48.5,1,1
458,57.5,51.5,1,1
461,50.5,48.5,1,1
466,16.5,43.5,1,1
469,35.5,44.5,1,1
482,2.5,45.5,1,9
484,1.5,52.5,1,1
484,1.5,50.5,1,1
491,139.5,48.5,1,6
494,15.5,43.5,1,38
498,12.5,37.5,1,1
498,-1.5,37.5,1,2
505,-74.5,28.5,1,82
506,112.5,0.5,1,2
509,-173.5,-44.5,1,1
509,-171.5,-50.5,1,17
512,98.5,10.5,1,5
514,-57.5,6.5,1,1
519,-74.5,30.5,1,43
520,0.5,55.5,1,1
520,4.5,52.5,1,3
522,-74.5,28.5,1,82
522,-74.5,25.5,1,2
528,-90.5,11.5,1,1
529,5.5,42.5,1,8
529,4.5,52.5,1,3
534,2.5,42.5,1,4
534,28.5,41.5,1,1
534,15.5,43.5,1,38
534,12.5,37.5,1,1
538,2.5,42.5,1,4
548,-75.5,21.5,1,2
548,-71.5,20.5,1,10
548,-70.5,33.5,1,2
548,-74.5,25.5,1,2
556,-66.5,35.5,1,10
556,-66.5,37.5,1,1
557,2.5,45.5,1,9
557,1.5,52.5,1,1
557,2.5,42.5,1,4
582,43.5,40.5,1,1
582,46.5,45.5,1,1
589,-87.5,16.5,1,2
595,140.5,-58.5,1,3
595,139.5,-56.5,1,8
618,-70.5,33.5,1,2
641,-173.5,-44.5,1,1
646,-5.5,47.5,1,199
648,91.5,16.5,1,3
661,43.5,40.5,1,1
667,14.5,24.5,1,4
668,16.5,43.5,1,1
668,15.5,43.5,1,38
668,12.5,43.5,1,16
694,33.5,25.5,1,1
714,91.5,16.5,1,3
717,118.5,-49.5,1,4
717,112.5,-51.5,1,10
717,118.5,-51.5,1,37
717,112.5,-54.5,1,6
717,107.5,-54.5,1,5
718,-5.5,47.5,1,199
721,-71.5,20.5,1,10
721,-67.5,17.5,1,6
734,20.5,43.5,1,1
757,27.5,46.5,1,8
757,27.5,49.5,1,2
758,15.5,43.5,1,38
759,98.5,10.5,1,5
760,2.5,45.5,1,9
768,112.5,0.5,1,2
777,-3.5,36.5,1,16
779,-74.5,28.5,1,82
779,-74.5,30.5,1,43
781,-3.5,59.5,1,1
782,102.5,-53.5,1,7
786,-0.5,39.5,1,8
786,15.5,43.5,1,38
793,-66.5,35.5,1,10
793,-66.5,37.5,1,1
797,-1.5,37.5,1,2
799,-108.5,32.5,1,39
803,-3.5,36.5,1,16
816,-72.5,-5.5,1,2
823,139.5,48.5,1,6
826,-61.5,-56.5,1,1
