"id","x","y","rep","collections"
1,66.5,23.5,1,2
4,7.5,52.5,1,1
18,12.5,43.5,1,1
18,3.5,38.5,1,3
18,17.5,47.5,1,1
18,25.5,43.5,1,2
28,-70.5,32.5,1,8
28,-66.5,35.5,1,26
49,161.5,65.5,1,2
53,10.5,45.5,1,4
53,14.5,48.5,1,1
53,11.5,42.5,1,1
53,11.5,46.5,1,4
53,12.5,46.5,1,1
53,12.5,44.5,1,5
59,50.5,18.5,1,1
59,9.5,38.5,1,2
59,3.5,38.5,1,3
59,19.5,38.5,1,5
59,23.5,38.5,1,4
63,161.5,65.5,1,2
67,161.5,65.5,1,2
76,51.5,38.5,1,1
78,17.5,47.5,1,1
79,1.5,33.5,1,1
81,35.5,41.5,1,1
88,154.5,62.5,1,2
92,51.5,38.5,1,1
92,47.5,37.5,1,1
120,0.5,64.5,1,1
134,-71.5,25.5,1,1
135,0.5,64.5,1,1
138,67.5,25.5,1,1
138,66.5,23.5,1,2
159,7.5,52.5,1,1
159,8.5,46.5,1,1
172,12.5,43.5,1,1
173,18.5,47.5,1,1
173,15.5,47.5,1,1
202,25.5,43.5,1,2
202,24.5,44.5,1,2
210,47.5,37.5,1,1
230,14.5,48.5,1,1
230,12.5,46.5,1,1
230,15.5,47.5,1,1
230,13.5,48.5,1,1
248,25.5,43.5,1,2
248,19.5,45.5,1,1
248,24.5,44.5,1,2
257,47.5,37.5,1,1
259,12.5,44.5,1,5
259,16.5,45.5,1,5
259,2.5,43.5,1,1
273,42.5,38.5,1,2
300,-68.5,35.5,1,2
300,-70.5,32.5,1,8
301,161.5,65.5,1,2
308,19.5,45.5,1,1
311,7.5,52.5,1,1
311,3.5,38.5,1,3
311,11.5,42.5,1,1
313,51.5,38.5,1,1
329,-69.5,31.5,1,8
362,47.5,37.5,1,1
402,127.5,36.5,1,35
412,8.5,42.5,1,5
421,67.5,25.5,1,1
458,8.5,45.5,1,5
463,35.5,41.5,1,1
497,3.5,38.5,1,3
518,23.5,43.5,1,1
542,161.5,65.5,1,2
556,-82.5,21.5,1,2
562,154.5,62.5,1,2
584,11.5,44.5,1,4
585,154.5,62.5,1,2
591,19.5,45.5,1,1
591,14.5,48.5,1,1
591,12.5,44.5,1,5
591,10.5,46.5,1,1
591,17.5,47.5,1,1
591,12.5,41.5,1,1
595,10.5,45.5,1,4
595,11.5,46.5,1,4
604,14.5,38.5,1,1
604,20.5,43.5,1,2
604,19.5,43.5,1,1
614,35.5,41.5,1,1
620,35.5,41.5,1,1
636,0.5,64.5,1,1
640,-169.5,-48.5,1,1
656,13.5,44.5,1,1
656,15.5,46.5,1,3
673,52.5,16.5,1,1
693,1.5,33.5,1,1
693,2.5,43.5,1,1
693,2.5,38.5,1,1
695,3.5,38.5,1,3
695,17.5,47.5,1,1
695,11.5,45.5,1,1
695,12.5,43.5,1,1
695,6.5,43.5,1,30
695,20.5,43.5,1,2
702,52.5,16.5,1,1
704,-173.5,-49.5,1,2
717,67.5,25.5,1,1
717,66.5,23.5,1,2
733,11.5,46.5,1,4
733,10.5,45.5,1,4
733,12.5,46.5,1,1
733,2.5,38.5,1,1
733,9.5,45.5,1,5
733,8.5,46.5,1,1
749,126.5,35.5,1,21
770,2.5,33.5,1,25
770,9.5,38.5,1,2
770,8.5,46.5,1,1
770,8.5,42.5,1,5
772,35.5,41.5,1,1
773,53.5,14.5,1,2
773,52.5,16.5,1,1
773,49.5,19.5,1,1
773,50.5,18.5,1,1
780,9.5,38.5,1,2
784,127.5,35.5,1,4
784,127.5,36.5,1,35
790,-69.5,33.5,1,1
790,-70.5,31.5,1,2
790,-69.5,32.5,1,5
790,-70.5,32.5,1,8
790,-69.5,31.5,1,8
792,7.5,52.5,1,1
792,18.5,47.5,1,1
798,51.5,38.5,1,1
813,-69.5,33.5,1,1
813,-66.5,35.5,1,26
813,-61.5,38.5,1,1
813,-69.5,32.5,1,5
813,-70.5,32.5,1,8
826,13.5,48.5,1,1
827,52.5,16.5,1,1
835,14.5,38.5,1,1
835,19.5,45.5,1,1
835,11.5,44.5,1,4
835,8.5,45.5,1,5
835,24.5,44.5,1,2
835,13.5,42.5,1,1
835,12.5,44.5,1,5
835,28.5,41.5,1,6
835,12.5,43.5,1,1
845,1.5,33.5,1,1
880,126.5,35.5,1,21
880,127.5,35.5,1,4
917,15.5,46.5,1,3
917,10.5,45.5,1,4
917,2.5,38.5,1,1
917,12.5,43.5,1,1
917,11.5,44.5,1,4
917,9.5,45.5,1,5
917,7.5,52.5,1,1
917,16.5,45.5,1,5
917,16.5,39.5,1,1
917,10.5,46.5,1,1
928,10.5,38.5,1,1
928,13.5,42.5,1,1
928,8.5,42.5,1,5
928,15.5,46.5,1,3
928,12.5,46.5,1,1
928,13.5,44.5,1,1
928,12.5,44.5,1,5
928,14.5,38.5,1,1
951,23.5,43.5,1,1
951,20.5,43.5,1,2
951,24.5,44.5,1,2
951,23.5,39.5,1,1
951,18.5,47.5,1,1
951,16.5,45.5,1,5
951,16.5,39.5,1,1
951,19.5,45.5,1,1
951,19.5,43.5,1,1
981,2.5,43.5,1,1
981,2.5,33.5,1,25
982,11.5,44.5,1,4
1,-173.5,-49.5,2,2
14,23.5,39.5,2,1
36,67.5,25.5,2,1
40,0.5,64.5,2,1
40,6.5,43.5,2,30
40,2.5,38.5,2,1
40,2.5,33.5,2,25
58,-82.5,21.5,2,2
62,-63.5,37.5,2,5
84,-173.5,-49.5,2,2
112,8.5,42.5,2,5
112,10.5,38.5,2,1
112,11.5,42.5,2,1
112,10.5,45.5,2,4
112,10.5,46.5,2,1
112,11.5,45.5,2,1
112,11.5,44.5,2,4
126,51.5,38.5,2,1
129,12.5,44.5,2,5
129,3.5,38.5,2,3
129,23.5,43.5,2,1
155,-169.5,-48.5,2,1
168,-69.5,33.5,2,1
169,-69.5,33.5,2,1
169,-70.5,31.5,2,2
181,0.5,64.5,2,1
185,1.5,33.5,2,1
197,3.5,38.5,2,3
198,18.5,47.5,2,1
218,-173.5,-49.5,2,2
225,-70.5,31.5,2,2
239,0.5,64.5,2,1
253,42.5,38.5,2,2
274,13.5,37.5,2,3
274,9.5,38.5,2,2
276,-87.5,30.5,2,14
285,-69.5,31.5,2,8
285,-69.5,32.5,2,5
285,-87.5,30.5,2,14
299,19.5,43.5,2,1
301,53.5,14.5,2,2
308,-69.5,31.5,2,8
310,16.5,39.5,2,1
