"id","x","y","rep","collections"
33,138.5,45.5,1,1
113,71.5,34.5,1,2
114,-65.5,44.5,1,5
114,-64.5,46.5,1,1
186,71.5,34.5,1,2
195,22.5,29.5,1,2
195,24.5,30.5,1,3
195,25.5,28.5,1,1
215,17.5,34.5,1,2
216,27.5,39.5,1,1
229,71.5,34.5,1,2
238,22.5,26.5,1,1
252,47.5,40.5,1,1
259,72.5,38.5,1,1
259,71.5,35.5,1,1
272,12.5,38.5,1,1
364,-65.5,44.5,1,5
370,22.5,28.5,1,1
370,22.5,27.5,1,6
370,22.5,29.5,1,2
370,24.5,30.5,1,3
370,25.5,28.5,1,1
370,23.5,27.5,1,1
378,27.5,39.5,1,1
403,72.5,38.5,1,1
416,75.5,33.5,1,3
443,72.5,38.5,1,1
443,73.5,33.5,1,3
443,72.5,34.5,1,2
443,72.5,33.5,1,1
443,71.5,35.5,1,1
471,24.5,45.5,1,25
473,72.5,34.5,1,2
476,-64.5,44.5,1,1
476,-64.5,47.5,1,3
487,-32.5,40.5,1,1
505,12.5,42.5,1,11
516,8.5,47.5,1,1
531,8.5,46.5,1,3
531,12.5,41.5,1,1
532,-77.5,40.5,1,8
532,-68.5,56.5,1,4
596,-64.5,34.5,1,1
689,22.5,28.5,1,1
743,17.5,34.5,1,2
760,-65.5,44.5,1,5
820,47.5,40.5,1,1
854,25.5,21.5,1,1
887,48.5,42.5,1,4
903,27.5,39.5,1,1
906,71.5,34.5,1,2
906,72.5,33.5,1,1
906,73.5,33.5,1,3
948,71.5,34.5,1,2
948,71.5,35.5,1,1
948,71.5,33.5,1,2
974,29.5,40.5,1,7
982,71.5,34.5,1,2
982,71.5,35.5,1,1
985,47.5,40.5,1,1
4,-46.5,35.5,2,1
45,48.5,42.5,2,4
164,8.5,46.5,2,3
177,-67.5,57.5,2,2
193,11.5,42.5,2,4
215,25.5,28.5,2,1
265,-64.5,46.5,2,1
333,-64.5,34.5,2,1
333,-63.5,33.5,2,1
364,13.5,42.5,2,5
400,-81.5,64.5,2,1
439,-68.5,56.5,2,4
439,-67.5,57.5,2,2
449,48.5,42.5,2,4
553,8.5,47.5,2,1
553,8.5,46.5,2,3
555,-60.5,36.5,2,1
566,-60.5,36.5,2,1
641,-81.5,64.5,2,1
652,29.5,40.5,2,7
671,71.5,34.5,2,2
783,24.5,30.5,2,3
796,17.5,34.5,2,2
811,-67.5,57.5,2,2
844,138.5,45.5,2,1
891,47.5,40.5,2,1
906,13.5,42.5,2,5
906,11.5,42.5,2,4
928,27.5,39.5,2,1
937,-64.5,34.5,2,1
986,10.5,42.5,2,2
986,11.5,42.5,2,4
1,44.5,46.5,3,1
4,-33.5,40.5,3,1
4,-32.5,40.5,3,1
18,11.5,42.5,3,4
83,-68.5,49.5,3,9
103,13.5,42.5,3,5
103,44.5,46.5,3,1
103,12.5,42.5,3,11
142,12.5,41.5,3,1
142,11.5,42.5,3,4
142,12.5,42.5,3,11
142,13.5,42.5,3,5
149,71.5,32.5,3,1
156,24.5,45.5,3,25
179,66.5,33.5,3,1
179,71.5,32.5,3,1
179,72.5,33.5,3,1
179,72.5,34.5,3,2
189,-64.5,47.5,3,3
189,-64.5,44.5,3,1
189,-68.5,49.5,3,9
189,-64.5,46.5,3,1
189,-65.5,44.5,3,5
