"id","x","y","rep","collections"
23,38.5,-27.5,1,1
81,19.5,44.5,1,12
100,69.5,-6.5,1,2
102,38.5,-27.5,1,1
145,19.5,44.5,1,12
210,0.5,21.5,1,1
213,-55.5,35.5,1,1
213,-57.5,35.5,1,2
213,-56.5,35.5,1,2
228,19.5,44.5,1,12
232,47.5,41.5,1,1
240,69.5,-6.5,1,2
245,-51.5,9.5,1,1
395,17.5,44.5,1,2
460,12.5,40.5,1,2
503,-43.5,40.5,1,1
517,-56.5,35.5,1,2
577,38.5,-27.5,1,1
686,47.5,41.5,1,1
777,-55.5,35.5,1,1
777,-57.5,35.5,1,2
777,-56.5,35.5,1,2
818,38.5,-27.5,1,1
837,12.5,40.5,1,2
8,3.5,-5.5,2,1
70,-7.5,59.5,2,4
73,-7.5,59.5,2,4
98,-56.5,35.5,2,2
118,-43.5,40.5,2,1
233,69.5,-6.5,2,2
258,12.5,40.5,2,2
297,12.5,40.5,2,2
404,38.5,-27.5,2,1
413,12.5,40.5,2,2
451,-51.5,9.5,2,1
452,-43.5,40.5,2,1
518,69.5,-6.5,2,2
537,38.5,-27.5,2,1
566,69.5,-6.5,2,2
717,3.5,-5.5,2,1
755,69.5,-6.5,2,2
816,-51.5,9.5,2,1
838,-51.5,9.5,2,1
919,47.5,41.5,2,1
944,-56.5,35.5,2,2
961,17.5,44.5,2,2
976,47.5,41.5,2,1
990,17.5,44.5,2,2
40,12.5,40.5,3,2
85,12.5,40.5,3,2
119,0.5,21.5,3,1
144,-51.5,9.5,3,1
195,12.5,40.5,3,2
356,-57.5,35.5,3,2
369,38.5,-27.5,3,1
621,-7.5,59.5,3,4
642,17.5,44.5,3,2
663,-51.5,9.5,3,1
684,-56.5,35.5,3,2
699,-51.5,9.5,3,1
723,-51.5,9.5,3,1
758,47.5,41.5,3,1
772,19.5,44.5,3,12
831,17.5,44.5,3,2
944,3.5,-5.5,3,1
954,17.5,44.5,3,2
954,19.5,44.5,3,12
141,47.5,41.5,4,1
253,19.5,44.5,4,12
272,12.5,40.5,4,2
301,38.5,-27.5,4,1
313,3.5,-5.5,4,1
364,-57.5,35.5,4,2
504,38.5,-27.5,4,1
558,17.5,44.5,4,2
793,69.5,-6.5,4,2
84,-51.5,9.5,5,1
102,-56.5,35.5,5,2
195,47.5,41.5,5,1
230,-51.5,9.5,5,1
303,-56.5,35.5,5,2
360,-56.5,35.5,5,2
412,12.5,40.5,5,2
437,12.5,40.5,5,2
462,-57.5,35.5,5,2
462,-56.5,35.5,5,2
462,-55.5,35.5,5,1
492,-43.5,40.5,5,1
547,17.5,44.5,5,2
641,38.5,-27.5,5,1
724,-55.5,35.5,5,1
820,47.5,41.5,5,1
832,69.5,-6.5,5,2
897,12.5,40.5,5,2
961,-7.5,59.5,5,4
13,12.5,40.5,6,2
35,-56.5,35.5,6,2
63,-51.5,9.5,6,1
125,3.5,-5.5,6,1
259,38.5,-27.5,6,1
348,-7.5,59.5,6,4
354,17.5,44.5,6,2
438,0.5,21.5,6,1
514,38.5,-27.5,6,1
636,3.5,-5.5,6,1
725,12.5,40.5,6,2
767,47.5,41.5,6,1
795,-51.5,9.5,6,1
817,-7.5,59.5,6,4
821,-56.5,35.5,6,2
821,-57.5,35.5,6,2
976,12.5,40.5,6,2
54,38.5,-27.5,7,1
84,12.5,40.5,7,2
200,47.5,41.5,7,1
267,38.5,-27.5,7,1
279,-55.5,35.5,7,1
279,-43.5,40.5,7,1
429,38.5,-27.5,7,1
