"id","x","y","rep","collections"
8,25.5,40.5,1,1
9,137.5,39.5,1,2
22,-70.5,-2.5,1,1
28,35.5,45.5,1,1
39,-1.5,38.5,1,2
46,-70.5,-2.5,1,1
47,-68.5,-29.5,1,1
91,135.5,36.5,1,1
117,19.5,44.5,1,25
117,9.5,44.5,1,1
117,25.5,40.5,1,1
165,147.5,-45.5,1,2
165,145.5,-46.5,1,2
165,144.5,-45.5,1,1
172,-57.5,-31.5,1,1
181,7.5,41.5,1,1
212,12.5,45.5,1,3
212,16.5,43.5,1,4
212,13.5,45.5,1,3
212,24.5,43.5,1,5
212,17.5,46.5,1,12
212,17.5,45.5,1,3
212,15.5,45.5,1,1
212,11.5,41.5,1,1
212,17.5,43.5,1,4
213,17.5,45.5,1,3
213,17.5,46.5,1,12
213,18.5,46.5,1,7
213,16.5,43.5,1,4
279,12.5,45.5,1,3
279,1.5,41.5,1,1
279,1.5,42.5,1,5
324,26.5,46.5,1,1
324,30.5,45.5,1,1
324,25.5,44.5,1,1
324,35.5,46.5,1,1
324,28.5,44.5,1,4
324,24.5,41.5,1,2
324,27.5,41.5,1,1
324,22.5,47.5,1,9
324,26.5,45.5,1,1
324,18.5,44.5,1,16
324,29.5,44.5,1,5
344,19.5,44.5,1,25
348,-70.5,39.5,1,1
355,36.5,42.5,1,3
355,34.5,46.5,1,1
355,42.5,44.5,1,1
355,34.5,44.5,1,5
355,37.5,42.5,1,1
355,30.5,45.5,1,1
355,33.5,45.5,1,2
364,20.5,47.5,1,24
364,21.5,47.5,1,2
364,26.5,46.5,1,1
364,27.5,46.5,1,5
364,21.5,46.5,1,1
383,-76.5,29.5,1,12
398,4.5,39.5,1,1
398,2.5,41.5,1,2
401,1.5,41.5,1,1
401,1.5,42.5,1,5
401,4.5,40.5,1,1
420,120.5,0.5,1,1
420,119.5,0.5,1,1
420,120.5,-0.5,1,5
445,-57.5,-31.5,1,1
474,120.5,-0.5,1,5
474,119.5,0.5,1,1
478,16.5,38.5,1,1
491,13.5,45.5,1,3
491,12.5,41.5,1,3
495,37.5,42.5,1,1
495,37.5,44.5,1,1
499,-57.5,-31.5,1,1
530,135.5,36.5,1,1
533,119.5,0.5,1,1
535,50.5,41.5,1,1
535,48.5,39.5,1,1
554,33.5,45.5,1,2
554,29.5,44.5,1,5
554,36.5,47.5,1,1
554,38.5,44.5,1,1
554,35.5,46.5,1,1
554,36.5,42.5,1,3
560,51.5,41.5,1,3
560,42.5,44.5,1,1
569,48.5,39.5,1,1
569,50.5,41.5,1,1
583,-72.5,2.5,1,2
589,1.5,42.5,1,5
646,120.5,-0.5,1,5
651,-71.5,3.5,1,20
679,25.5,40.5,1,1
687,24.5,41.5,1,2
687,12.5,41.5,1,3
697,24.5,39.5,1,1
719,26.5,41.5,1,1
719,24.5,41.5,1,2
719,27.5,41.5,1,1
719,25.5,40.5,1,1
719,24.5,39.5,1,1
719,25.5,41.5,1,1
731,34.5,44.5,1,5
752,137.5,42.5,1,1
759,139.5,44.5,1,1
769,-57.5,-31.5,1,1
769,-58.5,-31.5,1,1
805,145.5,-46.5,1,2
823,12.5,41.5,1,3
824,-68.5,-29.5,1,1
826,42.5,41.5,1,1
840,26.5,46.5,1,1
840,31.5,44.5,1,1
840,30.5,45.5,1,1
840,27.5,41.5,1,1
855,4.5,40.5,1,1
875,139.5,44.5,1,1
902,28.5,45.5,1,17
911,34.5,46.5,1,1
911,35.5,46.5,1,1
911,30.5,45.5,1,1
911,36.5,47.5,1,1
911,27.5,46.5,1,5
923,37.5,44.5,1,1
939,38.5,44.5,1,1
939,37.5,44.5,1,1
955,19.5,44.5,1,25
956,21.5,47.5,1,2
956,26.5,41.5,1,1
999,35.5,44.5,1,1
999,25.5,42.5,1,7
2,137.5,39.5,2,2
2,135.5,35.5,2,2
2,135.5,36.5,2,1
7,49.5,37.5,2,1
25,24.5,43.5,2,5
25,28.5,44.5,2,4
25,37.5,42.5,2,1
30,34.5,44.5,2,5
34,25.5,39.5,2,2
34,29.5,40.5,2,2
34,25.5,40.5,2,1
68,17.5,44.5,2,4
68,18.5,44.5,2,16
69,144.5,-45.5,2,1
71,25.5,40.5,2,1
75,13.5,45.5,2,3
113,137.5,39.5,2,2
113,137.5,42.5,2,1
118,139.5,44.5,2,1
123,137.5,39.5,2,2
132,17.5,43.5,2,4
132,15.5,45.5,2,1
132,16.5,38.5,2,1
132,19.5,45.5,2,1
132,14.5,45.5,2,1
132,17.5,46.5,2,12
208,36.5,42.5,2,3
208,25.5,44.5,2,1
215,18.5,46.5,2,7
218,147.5,-45.5,2,2
218,144.5,-45.5,2,1
219,144.5,-45.5,2,1
223,-1.5,38.5,2,2
230,11.5,41.5,2,1
260,20.5,47.5,2,24
260,19.5,45.5,2,1
284,22.5,47.5,2,9
292,16.5,38.5,2,1
307,49.5,37.5,2,1
309,135.5,37.5,2,1
318,130.5,34.5,2,5
329,-69.5,-3.5,2,1
336,137.5,39.5,2,2
337,177.5,-46.5,2,1
355,19.5,44.5,2,25
355,17.5,45.5,2,3
355,19.5,45.5,2,1
355,18.5,44.5,2,16
365,35.5,44.5,2,1
365,29.5,44.5,2,5
401,51.5,41.5,2,3
414,51.5,41.5,2,3
431,15.5,45.5,2,1
431,16.5,38.5,2,1
431,17.5,43.5,2,4
431,16.5,43.5,2,4
431,17.5,46.5,2,12
437,120.5,0.5,2,1
438,16.5,43.5,2,4
438,33.5,42.5,2,1
438,26.5,45.5,2,1
479,177.5,-46.5,2,1
484,16.5,38.5,2,1
488,50.5,41.5,2,1
494,30.5,44.5,2,2
494,26.5,45.5,2,1
494,26.5,43.5,2,1
494,24.5,43.5,2,5
494,27.5,43.5,2,1
494,26.5,41.5,2,1
494,29.5,44.5,2,5
494,21.5,47.5,2,2
494,25.5,42.5,2,7
494,28.5,45.5,2,17
499,18.5,46.5,2,7
499,17.5,46.5,2,12
502,4.5,39.5,2,1
502,6.5,42.5,2,1
520,11.5,41.5,2,1
522,35.5,44.5,2,1
522,35.5,46.5,2,1
590,7.5,41.5,2,1
599,28.5,45.5,2,17
599,24.5,43.5,2,5
599,26.5,46.5,2,1
599,29.5,44.5,2,5
603,-69.5,-3.5,2,1
615,-6.5,35.5,2,2
640,130.5,34.5,2,5
676,7.5,41.5,2,1
688,177.5,-38.5,2,2
699,37.5,44.5,2,1
699,38.5,44.5,2,1
699,37.5,42.5,2,1
718,135.5,35.5,2,2
718,135.5,37.5,2,1
724,31.5,44.5,2,1
735,25.5,42.5,2,7
743,24.5,43.5,2,5
743,14.5,45.5,2,1
743,25.5,43.5,2,6
743,31.5,44.5,2,1
743,28.5,44.5,2,4
743,30.5,45.5,2,1
743,9.5,44.5,2,1
743,17.5,43.5,2,4
743,12.5,45.5,2,3
743,38.5,44.5,2,1
789,21.5,47.5,2,2
792,33.5,44.5,2,3
792,17.5,46.5,2,12
792,30.5,44.5,2,2
812,0.5,39.5,2,2
823,24.5,39.5,2,1
823,25.5,40.5,2,1
823,25.5,39.5,2,2
851,120.5,0.5,2,1
856,147.5,-45.5,2,2
865,120.5,0.5,2,1
876,34.5,44.5,2,5
880,-70.5,-2.5,2,1
886,42.5,41.5,2,1
900,30.5,45.5,2,1
900,25.5,44.5,2,1
900,36.5,42.5,2,3
914,4.5,39.5,2,1
919,-71.5,-2.5,2,1
929,38.5,44.5,2,1
935,-70.5,4.5,2,1
959,-1.5,38.5,2,2
966,-1.5,38.5,2,2
974,139.5,44.5,2,1
982,25.5,43.5,2,6
9,42.5,41.5,3,1
9,48.5,39.5,3,1
13,2.5,41.5,3,2
45,-68.5,-29.5,3,1
46,-58.5,-31.5,3,1
49,137.5,42.5,3,1
67,147.5,-45.5,3,2
67,145.5,-46.5,3,2
95,9.5,44.5,3,1
109,50.5,41.5,3,1
126,34.5,46.5,3,1
126,35.5,45.5,3,1
126,26.5,46.5,3,1
126,28.5,45.5,3,17
131,-69.5,-3.5,3,1
133,130.5,34.5,3,5
156,-1.5,38.5,3,2
164,137.5,39.5,3,2
166,4.5,39.5,3,1
204,25.5,39.5,3,2
234,-6.5,35.5,3,2
240,4.5,40.5,3,1
267,37.5,44.5,3,1
296,21.5,47.5,3,2
313,37.5,42.5,3,1
313,25.5,42.5,3,7
318,26.5,45.5,3,1
318,26.5,43.5,3,1
318,37.5,44.5,3,1
318,31.5,44.5,3,1
324,9.5,44.5,3,1
352,12.5,41.5,3,3
355,35.5,46.5,3,1
363,-69.5,-3.5,3,1
376,135.5,36.5,3,1
395,33.5,45.5,3,2
436,1.5,41.5,3,1
436,2.5,41.5,3,2
446,-6.5,35.5,3,2
446,-1.5,38.5,3,2
450,21.5,47.5,3,2
454,26.5,45.5,3,1
454,27.5,46.5,3,5
463,10.5,44.5,3,14
463,16.5,43.5,3,4
467,137.5,39.5,3,2
485,120.5,-0.5,3,5
487,12.5,41.5,3,3
493,-58.5,-31.5,3,1
493,-57.5,-31.5,3,1
500,16.5,43.5,3,4
500,19.5,45.5,3,1
500,18.5,46.5,3,7
534,34.5,46.5,3,1
550,36.5,42.5,3,3
563,-1.5,38.5,3,2
591,2.5,41.5,3,2
615,-71.5,3.5,3,20
618,24.5,39.5,3,1
632,27.5,46.5,3,5
649,-69.5,-3.5,3,1
660,16.5,38.5,3,1
660,17.5,43.5,3,4
671,-70.5,-2.5,3,1
671,-69.5,-3.5,3,1
681,-71.5,-2.5,3,1
685,14.5,45.5,3,1
685,1.5,42.5,3,5
685,9.5,44.5,3,1
685,7.5,41.5,3,1
686,28.5,45.5,3,17
686,27.5,41.5,3,1
686,26.5,43.5,3,1
686,19.5,44.5,3,25
686,29.5,44.5,3,5
686,30.5,45.5,3,1
686,33.5,44.5,3,3
686,25.5,43.5,3,6
686,26.5,45.5,3,1
702,120.5,0.5,3,1
702,120.5,-0.5,3,5
704,130.5,34.5,3,5
718,-68.5,-29.5,3,1
722,38.5,44.5,3,1
724,139.5,44.5,3,1
739,49.5,37.5,3,1
756,-6.5,35.5,3,2
757,-68.5,-29.5,3,1
782,-71.5,4.5,3,208
792,-69.5,-3.5,3,1
792,-70.5,-2.5,3,1
795,24.5,41.5,3,2
795,25.5,43.5,3,6
795,19.5,44.5,3,25
799,24.5,43.5,3,5
799,24.5,39.5,3,1
799,24.5,41.5,3,2
810,135.5,37.5,3,1
811,4.5,39.5,3,1
811,13.5,45.5,3,3
811,1.5,41.5,3,1
842,29.5,40.5,3,2
859,12.5,41.5,3,3
882,50.5,41.5,3,1
882,17.5,44.5,3,4
902,-76.5,29.5,3,12
906,35.5,44.5,3,1
906,33.5,44.5,3,3
906,33.5,42.5,3,1
906,34.5,46.5,3,1
906,34.5,44.5,3,5
937,-75.5,21.5,3,2
987,177.5,-46.5,3,1
996,20.5,47.5,3,24
996,19.5,45.5,3,1
4,137.5,39.5,4,2
26,120.5,-0.5,4,5
55,33.5,45.5,4,2
88,33.5,45.5,4,2
88,42.5,41.5,4,1
88,37.5,42.5,4,1
89,33.5,44.5,4,3
164,120.5,0.5,4,1
180,26.5,46.5,4,1
180,26.5,43.5,4,1
180,28.5,45.5,4,17
180,26.5,41.5,4,1
186,51.5,41.5,4,3
186,50.5,41.5,4,1
186,48.5,39.5,4,1
