"id","x","y","rep","collections"
11,19.5,40.5,1,9
11,15.5,39.5,1,1
31,45.5,10.5,1,1
40,97.5,58.5,1,1
41,-33.5,-25.5,1,2
52,15.5,37.5,1,3
52,12.5,38.5,1,1
52,15.5,39.5,1,1
52,11.5,42.5,1,1
52,7.5,44.5,1,4
64,18.5,47.5,1,2
64,7.5,44.5,1,4
64,17.5,42.5,1,3
64,11.5,42.5,1,1
72,23.5,28.5,1,2
82,12.5,38.5,1,1
89,15.5,37.5,1,3
101,75.5,-74.5,1,33
103,-62.5,-1.5,1,8
103,-63.5,1.5,1,1
103,-60.5,-4.5,1,4
107,-97.5,57.5,1,1
114,75.5,-74.5,1,33
129,97.5,58.5,1,1
131,-61.5,29.5,1,3
137,-61.5,29.5,1,3
137,-50.5,31.5,1,2
146,-50.5,31.5,1,2
159,15.5,47.5,1,37
161,-58.5,-5.5,1,3
162,-52.5,34.5,1,6
171,-61.5,29.5,1,3
175,-1.5,49.5,1,3
221,75.5,-74.5,1,33
223,19.5,40.5,1,9
243,18.5,47.5,1,2
253,74.5,-71.5,1,1
254,-52.5,34.5,1,6
257,12.5,38.5,1,1
263,-33.5,-25.5,1,2
270,45.5,10.5,1,1
280,-61.5,29.5,1,3
288,97.5,58.5,1,1
299,1.5,41.5,1,1
300,-50.5,31.5,1,2
301,-18.5,-43.5,1,16
302,45.5,10.5,1,1
306,15.5,37.5,1,3
313,145.5,39.5,1,2
322,97.5,58.5,1,1
329,74.5,-71.5,1,1
334,-100.5,54.5,1,4
346,12.5,38.5,1,1
348,97.5,58.5,1,1
359,-1.5,49.5,1,3
366,-26.5,-29.5,1,1
366,-24.5,-33.5,1,2
384,97.5,58.5,1,1
389,37.5,22.5,1,1
389,0.5,22.5,1,3
394,18.5,47.5,1,2
414,10.5,37.5,1,19
426,15.5,47.5,1,37
432,-57.5,45.5,1,1
437,-40.5,52.5,1,2
445,-97.5,57.5,1,1
459,16.5,23.5,1,4
498,12.5,22.5,1,1
498,16.5,23.5,1,4
502,-170.5,35.5,1,1
529,97.5,58.5,1,1
533,11.5,42.5,1,1
537,-26.5,-29.5,1,1
542,3.5,42.5,1,1
543,7.5,44.5,1,4
543,17.5,42.5,1,3
552,8.5,39.5,1,13
561,-1.5,49.5,1,3
570,76.5,-76.5,1,3
584,30.5,37.5,1,1
598,-24.5,-33.5,1,2
611,30.5,37.5,1,1
614,145.5,39.5,1,2
619,-26.5,-29.5,1,1
620,19.5,44.5,1,1
632,83.5,58.5,1,4
647,-18.5,-43.5,1,16
647,-21.5,-38.5,1,1
649,-170.5,35.5,1,1
659,-26.5,-29.5,1,1
660,12.5,22.5,1,1
674,-59.5,24.5,1,1
674,-61.5,29.5,1,3
674,-50.5,31.5,1,2
689,-61.5,29.5,1,3
689,-59.5,24.5,1,1
698,23.5,28.5,1,2
706,-55.5,21.5,1,2
717,37.5,22.5,1,1
721,30.5,37.5,1,1
722,-62.5,-1.5,1,8
722,-63.5,1.5,1,1
727,16.5,23.5,1,4
730,16.5,23.5,1,4
733,18.5,47.5,1,2
733,15.5,47.5,1,37
743,-61.5,29.5,1,3
752,-22.5,-36.5,1,1
758,-59.5,24.5,1,1
760,76.5,-76.5,1,3
764,7.5,44.5,1,4
773,-26.5,-29.5,1,1
777,-18.5,-43.5,1,16
777,-16.5,-45.5,1,4
778,12.5,38.5,1,1
778,12.5,22.5,1,1
797,98.5,-21.5,1,4
804,84.5,-77.5,1,18
807,-39.5,52.5,1,1
815,83.5,58.5,1,4
823,-37.5,71.5,1,10
839,-22.5,-36.5,1,1
861,17.5,42.5,1,3
861,10.5,37.5,1,19
867,83.5,58.5,1,4
883,10.5,37.5,1,19
883,1.5,41.5,1,1
919,-16.5,-45.5,1,4
939,76.5,-76.5,1,3
941,12.5,22.5,1,1
944,-39.5,52.5,1,1
945,12.5,38.5,1,1
948,8.5,39.5,1,13
948,12.5,38.5,1,1
956,97.5,58.5,1,1
