"id","x","y","rep","collections"
24,0.5,21.5,1,2
25,19.5,27.5,1,1
98,-0.5,21.5,1,1
112,-5.5,-5.5,1,9
118,19.5,27.5,1,1
121,28.5,29.5,1,8
142,69.5,-3.5,1,1
179,0.5,21.5,1,2
179,0.5,20.5,1,1
179,0.5,22.5,1,1
230,10.5,40.5,1,1
241,10.5,39.5,1,1
241,18.5,37.5,1,3
254,75.5,-5.5,1,2
292,43.5,-6.5,1,1
293,1.5,20.5,1,4
293,0.5,21.5,1,2
293,0.5,22.5,1,1
293,-0.5,21.5,1,1
310,-52.5,9.5,1,1
372,46.5,31.5,1,1
372,45.5,38.5,1,1
383,43.5,17.5,1,1
389,43.5,17.5,1,1
402,66.5,-7.5,1,3
421,21.5,31.5,1,9
446,11.5,39.5,1,9
476,-0.5,21.5,1,1
573,11.5,40.5,1,1
573,10.5,40.5,1,1
573,12.5,40.5,1,2
573,11.5,38.5,1,1
573,9.5,39.5,1,6
573,10.5,39.5,1,1
573,11.5,39.5,1,9
638,-41.5,6.5,1,2
648,66.5,-6.5,1,1
658,-47.5,39.5,1,3
658,-46.5,39.5,1,7
658,-47.5,38.5,1,1
663,12.5,40.5,1,2
715,45.5,38.5,1,1
748,43.5,17.5,1,1
934,-44.5,40.5,1,10
934,-43.5,40.5,1,1
934,-44.5,39.5,1,2
942,11.5,38.5,1,1
956,19.5,27.5,1,1
956,21.5,30.5,1,6
26,-52.5,35.5,2,2
37,18.5,37.5,2,3
76,21.5,30.5,2,6
165,-52.5,35.5,2,2
177,21.5,30.5,2,6
177,21.5,31.5,2,9
182,12.5,40.5,2,2
255,75.5,-5.5,2,2
269,43.5,-6.5,2,1
300,12.5,40.5,2,2
324,36.5,34.5,2,1
388,0.5,21.5,2,2
449,0.5,21.5,2,2
467,11.5,40.5,2,1
485,10.5,40.5,2,1
510,11.5,40.5,2,1
580,46.5,31.5,2,1
590,1.5,20.5,2,4
590,0.5,20.5,2,1
603,0.5,21.5,2,2
605,0.5,22.5,2,1
605,12.5,40.5,2,2
658,46.5,31.5,2,1
690,-0.5,21.5,2,1
710,66.5,-7.5,2,3
759,11.5,40.5,2,1
835,69.5,-3.5,2,1
855,0.5,20.5,2,1
855,0.5,21.5,2,2
864,19.5,27.5,2,1
877,0.5,22.5,2,1
944,18.5,37.5,2,3
44,18.5,37.5,3,3
45,10.5,40.5,3,1
50,-47.5,37.5,3,1
61,-43.5,40.5,3,1
204,75.5,-5.5,3,2
254,-44.5,40.5,3,10
254,-46.5,39.5,3,7
282,1.5,20.5,3,4
282,0.5,22.5,3,1
282,-0.5,21.5,3,1
337,12.5,40.5,3,2
342,-52.5,9.5,3,1
406,43.5,-6.5,3,1
464,36.5,34.5,3,1
552,46.5,31.5,3,1
558,-52.5,9.5,3,1
558,-41.5,6.5,3,2
610,-47.5,39.5,3,3
610,-43.5,40.5,3,1
610,-44.5,39.5,3,2
610,-46.5,39.5,3,7
627,69.5,-3.5,3,1
629,10.5,39.5,3,1
636,0.5,22.5,3,1
646,-47.5,37.5,3,1
687,11.5,38.5,3,1
794,46.5,31.5,3,1
796,10.5,40.5,3,1
801,46.5,31.5,3,1
825,9.5,39.5,3,6
864,19.5,27.5,3,1
866,1.5,20.5,3,4
920,29.5,10.5,3,1
932,0.5,20.5,3,1
991,10.5,40.5,3,1
93,43.5,17.5,4,1
103,0.5,22.5,4,1
161,-27.5,-28.5,4,1
194,28.5,29.5,4,8
219,-27.5,-28.5,4,1
282,75.5,-5.5,4,2
316,-46.5,39.5,4,7
360,28.5,29.5,4,8
392,1.5,20.5,4,4
392,-0.5,21.5,4,1
392,0.5,20.5,4,1
410,0.5,22.5,4,1
415,36.5,34.5,4,1
429,0.5,21.5,4,2
525,46.5,31.5,4,1
545,-5.5,-5.5,4,9
589,45.5,38.5,4,1
716,10.5,39.5,4,1
726,0.5,22.5,4,1
726,0.5,21.5,4,2
726,0.5,20.5,4,1
833,18.5,37.5,4,3
915,0.5,20.5,4,1
917,1.5,20.5,4,4
950,18.5,37.5,4,3
993,-44.5,39.5,4,2
993,-45.5,40.5,4,1
117,45.5,38.5,5,1
241,69.5,-3.5,5,1
253,21.5,30.5,5,6
264,9.5,39.5,5,6
392,45.5,38.5,5,1
399,1.5,20.5,5,4
406,-52.5,9.5,5,1
408,1.5,20.5,5,4
416,0.5,22.5,5,1
429,1.5,20.5,5,4
429,0.5,22.5,5,1
439,46.5,31.5,5,1
472,-44.5,39.5,5,2
484,43.5,-6.5,5,1
529,36.5,34.5,5,1
539,-45.5,40.5,5,1
645,29.5,10.5,5,1
654,0.5,20.5,5,1
654,0.5,21.5,5,2
654,0.5,22.5,5,1
654,1.5,20.5,5,4
654,-0.5,21.5,5,1
747,0.5,22.5,5,1
749,-52.5,35.5,5,2
794,11.5,39.5,5,9
917,9.5,39.5,5,6
917,11.5,38.5,5,1
945,46.5,31.5,5,1
12,9.5,39.5,6,6
12,10.5,39.5,6,1
20,28.5,29.5,6,8
34,12.5,40.5,6,2
34,9.5,39.5,6,6
75,10.5,40.5,6,1
112,32.5,9.5,6,2
129,69.5,-3.5,6,1
143,18.5,37.5,6,3
179,21.5,30.5,6,6
179,21.5,31.5,6,9
226,18.5,37.5,6,3
269,32.5,6.5,6,2
302,-27.5,-28.5,6,1
344,21.5,30.5,6,6
375,-0.5,21.5,6,1
452,-43.5,40.5,6,1
452,-44.5,39.5,6,2
453,36.5,34.5,6,1
474,-47.5,37.5,6,1
474,-44.5,40.5,6,10
474,-47.5,39.5,6,3
485,0.5,22.5,6,1
500,36.5,34.5,6,1
592,66.5,-6.5,6,1
612,43.5,17.5,6,1
657,36.5,34.5,6,1
720,1.5,20.5,6,4
752,19.5,27.5,6,1
755,19.5,27.5,6,1
820,36.5,34.5,6,1
898,-47.5,39.5,6,3
898,-46.5,39.5,6,7
898,-47.5,37.5,6,1
898,-44.5,39.5,6,2
929,0.5,22.5,6,1
958,19.5,27.5,6,1
967,-46.5,39.5,6,7
91,9.5,39.5,7,6
96,29.5,10.5,7,1
96,28.5,29.5,7,8
182,12.5,40.5,7,2
311,0.5,20.5,7,1
330,-47.5,39.5,7,3
398,21.5,31.5,7,9
399,-47.5,39.5,7,3
399,-43.5,40.5,7,1
399,-45.5,40.5,7,1
399,-44.5,40.5,7,10
399,-44.5,39.5,7,2
480,18.5,37.5,7,3
482,10.5,39.5,7,1
487,0.5,22.5,7,1
512,21.5,30.5,7,6
512,21.5,31.5,7,9
535,0.5,21.5,7,2
545,19.5,27.5,7,1
545,10.5,40.5,7,1
555,10.5,39.5,7,1
555,11.5,39.5,7,9
576,11.5,39.5,7,9
576,10.5,39.5,7,1
577,43.5,17.5,7,1
863,-47.5,39.5,7,3
863,-44.5,40.5,7,10
885,43.5,-6.5,7,1
931,-0.5,21.5,7,1
943,-46.5,39.5,7,7
970,11.5,38.5,7,1
970,11.5,40.5,7,1
996,9.5,39.5,7,6
3,21.5,31.5,8,9
15,-45.5,40.5,8,1
17,75.5,-5.5,8,2
56,75.5,-5.5,8,2
70,-47.5,39.5,8,3
72,32.5,9.5,8,2
75,45.5,38.5,8,1
92,-27.5,-28.5,8,1
102,-45.5,40.5,8,1
102,-47.5,37.5,8,1
123,43.5,17.5,8,1
143,11.5,40.5,8,1
146,-25.5,-27.5,8,1
153,45.5,38.5,8,1
164,12.5,40.5,8,2
175,0.5,22.5,8,1
175,0.5,21.5,8,2
175,1.5,20.5,8,4
192,-0.5,21.5,8,1
273,66.5,-6.5,8,1
321,-0.5,21.5,8,1
321,0.5,21.5,8,2
390,43.5,-6.5,8,1
407,-46.5,39.5,8,7
410,-0.5,21.5,8,1
430,1.5,20.5,8,4
471,66.5,-7.5,8,3
474,19.5,27.5,8,1
520,11.5,38.5,8,1
527,-43.5,40.5,8,1
528,18.5,37.5,8,3
528,21.5,31.5,8,9
544,28.5,29.5,8,8
605,46.5,31.5,8,1
667,11.5,38.5,8,1
744,-41.5,6.5,8,2
784,12.5,40.5,8,2
842,36.5,34.5,8,1
842,28.5,29.5,8,8
876,45.5,38.5,8,1
956,28.5,29.5,8,8
26,11.5,39.5,9,9
54,-45.5,40.5,9,1
54,-47.5,39.5,9,3
66,-5.5,-5.5,9,9
89,11.5,39.5,9,9
89,46.5,31.5,9,1
119,45.5,38.5,9,1
236,-43.5,40.5,9,1
253,43.5,17.5,9,1
281,0.5,21.5,9,2
296,21.5,31.5,9,9
296,21.5,30.5,9,6
385,0.5,22.5,9,1
454,75.5,-5.5,9,2
599,11.5,38.5,9,1
617,0.5,20.5,9,1
617,1.5,20.5,9,4
617,0.5,22.5,9,1
617,0.5,21.5,9,2
719,21.5,30.5,9,6
760,75.5,-5.5,9,2
760,69.5,-3.5,9,1
798,-47.5,39.5,9,3
798,-44.5,40.5,9,10
881,69.5,-3.5,9,1
881,66.5,-7.5,9,3
894,28.5,29.5,9,8
909,-0.5,21.5,9,1
994,36.5,34.5,9,1
30,36.5,34.5,10,1
35,-44.5,39.5,10,2
64,46.5,31.5,10,1
96,10.5,39.5,10,1
