"id","x","y","rep","collections"
3,23.5,27.5,1,1
3,21.5,28.5,1,96
3,20.5,28.5,1,14
3,32.5,26.5,1,4
44,29.5,42.5,1,1
44,29.5,43.5,1,3
44,29.5,37.5,1,22
44,28.5,37.5,1,13
44,28.5,36.5,1,33
49,-47.5,37.5,1,9
84,14.5,30.5,1,38
96,19.5,41.5,1,9
96,20.5,39.5,1,7
97,19.5,40.5,1,1
110,25.5,32.5,1,172
110,21.5,34.5,1,85
126,19.5,39.5,1,10
126,19.5,38.5,1,20
138,36.5,29.5,1,1
170,45.5,0.5,1,1
175,-72.5,41.5,1,3
186,68.5,-38.5,1,5
192,19.5,37.5,1,12
204,-45.5,33.5,1,5
210,68.5,-38.5,1,5
216,-50.5,43.5,1,2
216,-49.5,42.5,1,1
246,18.5,26.5,1,1
260,13.5,65.5,1,1
273,21.5,34.5,1,85
281,-45.5,33.5,1,5
281,-47.5,40.5,1,1
282,20.5,39.5,1,7
282,25.5,28.5,1,1
282,17.5,39.5,1,1
284,5.5,26.5,1,1
287,19.5,40.5,1,1
296,37.5,20.5,1,15
305,17.5,26.5,1,3
305,20.5,29.5,1,4
311,-47.5,37.5,1,9
311,-47.5,40.5,1,1
311,-45.5,33.5,1,5
311,-49.5,42.5,1,1
311,-46.5,36.5,1,2
316,63.5,31.5,1,1
355,21.5,30.5,1,2
355,24.5,32.5,1,1
355,20.5,31.5,1,9
355,23.5,30.5,1,7
355,24.5,31.5,1,13
360,-44.5,28.5,1,2
360,-47.5,37.5,1,9
362,13.5,66.5,1,2
376,26.5,35.5,1,1
376,23.5,27.5,1,1
376,19.5,38.5,1,20
376,25.5,28.5,1,1
379,29.5,41.5,1,2
379,29.5,43.5,1,3
388,68.5,-38.5,1,5
390,30.5,38.5,1,7
400,26.5,33.5,1,2
419,32.5,27.5,1,1
419,36.5,26.5,1,1
419,37.5,29.5,1,4
419,36.5,29.5,1,1
419,35.5,28.5,1,1
431,30.5,44.5,1,1
431,26.5,35.5,1,1
431,21.5,33.5,1,30
431,19.5,31.5,1,25
431,21.5,37.5,1,2
431,26.5,33.5,1,2
441,63.5,31.5,1,1
443,31.5,38.5,1,3
480,24.5,29.5,1,5
480,23.5,28.5,1,6
480,19.5,32.5,1,45
480,21.5,37.5,1,2
480,22.5,33.5,1,17
480,25.5,32.5,1,172
480,26.5,32.5,1,5
481,29.5,37.5,1,22
481,26.5,32.5,1,5
481,24.5,32.5,1,1
485,25.5,28.5,1,1
485,26.5,32.5,1,5
494,21.5,35.5,1,11
494,26.5,33.5,1,2
494,26.5,32.5,1,5
494,24.5,30.5,1,5
513,29.5,38.5,1,9
513,32.5,38.5,1,1
515,-45.5,33.5,1,5
515,-50.5,43.5,1,2
532,32.5,27.5,1,1
532,34.5,28.5,1,1
552,19.5,39.5,1,10
552,21.5,34.5,1,85
552,21.5,35.5,1,11
