"id","x","y","rep","collections"
12,179.5,-44.5,1,1
15,42.5,40.5,1,1
22,6.5,49.5,1,2
38,12.5,41.5,1,1
50,179.5,-44.5,1,1
87,-69.5,19.5,1,1
87,-69.5,20.5,1,25
106,-115.5,36.5,1,1
111,-1.5,32.5,1,3
111,3.5,39.5,1,17
144,34.5,28.5,1,45
148,-163.5,57.5,1,3
188,137.5,35.5,1,4
188,138.5,37.5,1,1
188,137.5,37.5,1,1
190,14.5,44.5,1,9
190,15.5,39.5,1,2
207,-63.5,-42.5,1,5
224,6.5,41.5,1,1
244,-69.5,-29.5,1,3
248,-58.5,10.5,1,1
281,46.5,-18.5,1,1
304,-162.5,57.5,1,27
331,6.5,42.5,1,1
338,3.5,40.5,1,4
338,2.5,39.5,1,1
349,30.5,45.5,1,6
354,-3.5,32.5,1,3
354,-0.5,36.5,1,2
356,28.5,44.5,1,1
356,42.5,40.5,1,1
356,37.5,43.5,1,1
356,38.5,43.5,1,1
374,-163.5,57.5,1,3
380,-72.5,38.5,1,2
399,28.5,44.5,1,1
410,-62.5,-37.5,1,1
413,-62.5,-41.5,1,1
442,-0.5,32.5,1,1
464,12.5,42.5,1,4
464,0.5,38.5,1,3
464,12.5,40.5,1,1
479,38.5,43.5,1,1
479,31.5,44.5,1,3
479,37.5,43.5,1,1
484,-62.5,-42.5,1,13
484,-63.5,-42.5,1,5
489,17.5,36.5,1,12
533,137.5,37.5,1,1
533,137.5,35.5,1,4
533,138.5,38.5,1,1
533,140.5,42.5,1,1
546,-5.5,32.5,1,1
559,-62.5,-42.5,1,13
570,-57.5,-33.5,1,1
582,12.5,41.5,1,1
582,11.5,42.5,1,1
587,30.5,45.5,1,6
587,28.5,44.5,1,1
587,30.5,46.5,1,2
587,29.5,45.5,1,2
605,40.5,42.5,1,1
611,12.5,42.5,1,4
611,12.5,41.5,1,1
616,17.5,36.5,1,12
616,19.5,37.5,1,3
616,16.5,38.5,1,1
616,17.5,37.5,1,1
616,19.5,38.5,1,1
616,16.5,36.5,1,2
620,-61.5,-38.5,1,8
622,3.5,39.5,1,17
624,0.5,39.5,1,2
630,60.5,23.5,1,1
634,37.5,43.5,1,1
641,-78.5,10.5,1,2
644,0.5,39.5,1,2
644,-0.5,36.5,1,2
644,-0.5,39.5,1,5
645,15.5,39.5,1,2
645,6.5,41.5,1,1
645,12.5,41.5,1,1
684,178.5,-41.5,1,3
689,11.5,42.5,1,1
692,-115.5,36.5,1,1
727,46.5,-18.5,1,1
749,137.5,37.5,1,1
749,138.5,38.5,1,1
749,138.5,37.5,1,1
749,138.5,36.5,1,1
772,-78.5,10.5,1,2
781,-58.5,10.5,1,1
794,16.5,38.5,1,1
809,139.5,43.5,1,3
816,3.5,40.5,1,4
829,-117.5,50.5,1,1
860,29.5,44.5,1,4
863,19.5,37.5,1,3
935,12.5,41.5,1,1
935,16.5,36.5,1,2
935,16.5,38.5,1,1
942,178.5,-41.5,1,3
959,14.5,44.5,1,9
961,12.5,41.5,1,1
989,12.5,40.5,1,1
3,-117.5,48.5,2,1
38,-63.5,-36.5,2,3
48,30.5,45.5,2,6
48,38.5,43.5,2,1
133,12.5,41.5,2,1
133,16.5,38.5,2,1
139,12.5,40.5,2,1
145,-63.5,-36.5,2,3
178,17.5,36.5,2,12
250,-58.5,-31.5,2,2
263,19.5,38.5,2,1
263,15.5,39.5,2,2
263,17.5,37.5,2,1
263,12.5,41.5,2,1
276,137.5,37.5,2,1
