"id","x","y","rep","collections"
18,48.5,41.5,1,1
26,-90.5,58.5,1,2
26,-73.5,64.5,1,1
36,14.5,43.5,1,1
36,18.5,23.5,1,1
37,-75.5,63.5,1,3
42,-61.5,32.5,1,1
45,-75.5,63.5,1,3
59,23.5,45.5,1,7
59,44.5,46.5,1,2
59,30.5,43.5,1,1
59,26.5,43.5,1,1
86,-69.5,46.5,1,2
142,142.5,52.5,1,2
144,76.5,30.5,1,1
144,76.5,32.5,1,1
171,12.5,44.5,1,1
191,16.5,24.5,1,1
231,-67.5,42.5,1,1
242,-2.5,23.5,1,15
246,15.5,42.5,1,2
246,10.5,36.5,1,1
248,-66.5,41.5,1,1
248,-67.5,42.5,1,1
248,-67.5,48.5,1,4
250,-69.5,57.5,1,1
309,-73.5,64.5,1,1
309,-67.5,48.5,1,4
309,-68.5,42.5,1,1
309,-69.5,46.5,1,2
309,-69.5,58.5,1,1
310,12.5,44.5,1,1
362,-57.5,44.5,1,2
362,-56.5,44.5,1,2
384,-3.5,23.5,1,1
414,47.5,49.5,1,2
428,25.5,27.5,1,1
428,26.5,30.5,1,1
440,-46.5,-6.5,1,6
440,-42.5,-7.5,1,1
468,-60.5,49.5,1,1
468,-57.5,44.5,1,2
473,27.5,22.5,1,1
484,-75.5,38.5,1,1
484,-75.5,39.5,1,4
498,71.5,40.5,1,1
505,15.5,42.5,1,2
505,12.5,45.5,1,1
505,14.5,44.5,1,5
505,12.5,40.5,1,1
505,14.5,39.5,1,4
505,15.5,44.5,1,4
505,13.5,45.5,1,5
505,14.5,43.5,1,1
509,25.5,27.5,1,1
513,-48.5,49.5,1,1
533,16.5,24.5,1,1
551,-75.5,38.5,1,1
551,-75.5,39.5,1,4
556,12.5,37.5,1,7
563,-65.5,37.5,1,1
568,-56.5,38.5,1,3
597,15.5,44.5,1,4
597,14.5,45.5,1,11
605,45.5,47.5,1,1
622,24.5,45.5,1,1
648,135.5,38.5,1,2
650,-60.5,51.5,1,1
650,-70.5,45.5,1,1
650,-69.5,45.5,1,1
654,37.5,11.5,1,3
658,13.5,45.5,1,5
689,27.5,22.5,1,1
701,-90.5,58.5,1,2
731,-75.5,39.5,1,4
736,-73.5,64.5,1,1
768,49.5,37.5,1,1
791,-75.5,38.5,1,1
791,-75.5,39.5,1,4
798,48.5,49.5,1,1
801,11.5,44.5,1,11
809,24.5,30.5,1,2
820,14.5,46.5,1,1
856,45.5,47.5,1,1
859,-41.5,-49.5,1,1
866,57.5,34.5,1,2
890,35.5,42.5,1,1
892,11.5,44.5,1,11
892,12.5,45.5,1,1
913,26.5,30.5,1,1
913,25.5,27.5,1,1
947,-75.5,38.5,1,1
977,14.5,34.5,1,1
979,34.5,12.5,1,8
990,53.5,26.5,1,1
4,-60.5,49.5,2,1
13,10.5,49.5,2,1
22,48.5,49.5,2,1
29,-58.5,35.5,2,1
58,26.5,27.5,2,1
61,55.5,33.5,2,1
98,44.5,46.5,2,2
109,18.5,23.5,2,1
155,36.5,20.5,2,7
155,39.5,12.5,2,3
156,-2.5,23.5,2,15
179,48.5,41.5,2,1
242,6.5,26.5,2,2
260,-48.5,49.5,2,1
267,23.5,45.5,2,7
284,71.5,40.5,2,1
319,-63.5,45.5,2,14
342,44.5,46.5,2,2
361,12.5,-1.5,2,1
375,-51.5,49.5,2,4
390,28.5,43.5,2,8
401,16.5,24.5,2,1
411,14.5,46.5,2,1
411,15.5,45.5,2,2
423,12.5,37.5,2,7
426,-57.5,44.5,2,2
426,-56.5,44.5,2,2
439,29.5,29.5,2,1
439,12.5,44.5,2,1
439,36.5,13.5,2,4
439,16.5,24.5,2,1
456,-68.5,42.5,2,1
472,25.5,27.5,2,1
498,14.5,34.5,2,1
498,12.5,37.5,2,7
498,14.5,38.5,2,1
545,-69.5,46.5,2,2
553,48.5,41.5,2,1
556,48.5,41.5,2,1
573,-75.5,63.5,2,3
586,-67.5,42.5,2,1
586,-64.5,36.5,2,1
586,-67.5,48.5,2,4
586,-63.5,45.5,2,14
586,-69.5,45.5,2,1
592,-62.5,43.5,2,1
592,-53.5,47.5,2,1
592,-63.5,45.5,2,14
594,14.5,41.5,2,1
594,15.5,44.5,2,4
594,12.5,37.5,2,7
601,71.5,40.5,2,1
609,-75.5,63.5,2,3
619,14.5,45.5,2,11
621,-3.5,23.5,2,1
634,26.5,43.5,2,1
635,15.5,45.5,2,2
635,28.5,43.5,2,8
639,12.5,37.5,2,7
639,14.5,39.5,2,4
639,14.5,38.5,2,1
657,36.5,20.5,2,7
657,16.5,24.5,2,1
663,76.5,30.5,2,1
665,27.5,30.5,2,1
670,-65.5,58.5,2,1
670,-63.5,45.5,2,14
670,-63.5,43.5,2,8
670,-64.5,36.5,2,1
702,13.5,45.5,2,5
702,11.5,44.5,2,11
708,14.5,39.5,2,4
712,-54.5,21.5,2,1
712,-57.5,37.5,2,1
731,-48.5,49.5,2,1
731,-53.5,48.5,2,1
758,-56.5,39.5,2,1
758,-66.5,41.5,2,1
763,-68.5,42.5,2,1
767,24.5,30.5,2,2
767,14.5,43.5,2,1
777,8.5,-3.5,2,4
785,-63.5,42.5,2,3
826,12.5,-1.5,2,1
829,-75.5,63.5,2,3
849,47.5,49.5,2,2
850,-59.5,50.5,2,1
850,-53.5,48.5,2,1
850,-53.5,47.5,2,1
877,6.5,26.5,2,2
900,10.5,49.5,2,1
909,8.5,-16.5,2,1
941,16.5,24.5,2,1
944,38.5,10.5,2,1
944,36.5,20.5,2,7
955,-67.5,42.5,2,1
962,14.5,45.5,2,11
963,25.5,27.5,2,1
963,26.5,27.5,2,1
963,30.5,27.5,2,2
982,13.5,45.5,2,5
982,11.5,44.5,2,11
982,15.5,42.5,2,2
982,15.5,44.5,2,4
982,12.5,44.5,2,1
982,14.5,43.5,2,1
982,14.5,44.5,2,5
7,12.5,45.5,3,1
7,14.5,45.5,3,11
7,13.5,45.5,3,5
7,14.5,44.5,3,5
7,23.5,45.5,3,7
7,17.5,44.5,3,2
