"id","x","y","rep","collections"
2,-36.5,71.5,1,2
21,48.5,-20.5,1,3
35,-34.5,-38.5,1,6
37,59.5,31.5,1,1
49,-51.5,49.5,1,2
51,15.5,63.5,1,2
55,16.5,63.5,1,2
55,15.5,63.5,1,2
70,4.5,64.5,1,1
120,3.5,65.5,1,2
155,40.5,33.5,1,1
160,17.5,21.5,1,21
167,57.5,53.5,1,1
192,27.5,27.5,1,9
192,23.5,34.5,1,1
206,26.5,52.5,1,11
223,30.5,27.5,1,6
241,-47.5,80.5,1,17
259,37.5,35.5,1,1
263,4.5,64.5,1,1
272,-47.5,80.5,1,17
277,35.5,13.5,1,2
299,40.5,-41.5,1,1
314,-34.5,-35.5,1,2
314,-34.5,-38.5,1,6
341,24.5,49.5,1,1
366,28.5,60.5,1,1
366,27.5,60.5,1,18
409,30.5,27.5,1,6
409,29.5,26.5,1,1
422,45.5,29.5,1,1
437,45.5,29.5,1,1
454,27.5,27.5,1,9
457,37.5,35.5,1,1
465,27.5,62.5,1,1
472,11.5,28.5,1,5
477,27.5,60.5,1,18
477,27.5,62.5,1,1
477,28.5,60.5,1,1
553,48.5,-20.5,1,3
562,67.5,71.5,1,1
564,38.5,25.5,1,2
577,-43.5,23.5,1,9
603,32.5,12.5,1,1
613,57.5,53.5,1,1
636,53.5,41.5,1,2
668,3.5,65.5,1,2
683,27.5,62.5,1,1
713,30.5,27.5,1,6
733,29.5,26.5,1,1
737,67.5,71.5,1,1
741,3.5,65.5,1,2
838,16.5,63.5,1,2
914,29.5,30.5,1,26
967,27.5,27.5,1,9
990,53.5,41.5,1,2
990,59.5,40.5,1,2
70,11.5,28.5,2,5
84,43.5,-15.5,2,3
122,-37.5,7.5,2,1
129,23.5,34.5,2,1
130,-42.5,26.5,2,2
144,53.5,41.5,2,2
230,50.5,24.5,2,2
296,-69.5,72.5,2,36
300,33.5,23.5,2,3
308,29.5,30.5,2,26
316,69.5,54.5,2,1
343,28.5,60.5,2,1
350,29.5,26.5,2,1
380,69.5,54.5,2,1
401,-51.5,49.5,2,2
455,32.5,12.5,2,1
509,21.5,16.5,2,1
540,57.5,53.5,2,1
543,58.5,85.5,2,1
544,59.5,40.5,2,2
582,67.5,71.5,2,1
587,27.5,62.5,2,1
587,27.5,60.5,2,18
630,27.5,62.5,2,1
642,59.5,31.5,2,1
658,-43.5,23.5,2,9
692,37.5,35.5,2,1
716,29.5,26.5,2,1
720,40.5,33.5,2,1
720,50.5,24.5,2,2
720,45.5,29.5,2,1
726,-43.5,23.5,2,9
771,-37.5,7.5,2,1
779,-43.5,23.5,2,9
825,40.5,33.5,2,1
837,23.5,34.5,2,1
849,40.5,33.5,2,1
872,-47.5,80.5,2,17
873,58.5,85.5,2,1
885,24.5,49.5,2,1
886,24.5,49.5,2,1
901,21.5,16.5,2,1
913,50.5,41.5,2,1
939,48.5,-20.5,2,3
942,40.5,-41.5,2,1
988,-43.5,23.5,2,9
22,59.5,40.5,3,2
75,35.5,13.5,3,2
110,45.5,29.5,3,1
112,17.5,21.5,3,21
122,-37.5,7.5,3,1
123,37.5,35.5,3,1
133,51.5,30.5,3,21
135,33.5,15.5,3,1
186,67.5,71.5,3,1
193,-36.5,71.5,3,2
214,28.5,60.5,3,1
262,33.5,23.5,3,3
294,77.5,72.5,3,2
296,11.5,28.5,3,5
299,-43.5,23.5,3,9
314,37.5,35.5,3,1
332,27.5,60.5,3,18
357,50.5,41.5,3,1
384,143.5,60.5,3,1
442,14.5,64.5,3,1
461,50.5,41.5,3,1
467,14.5,64.5,3,1
477,50.5,41.5,3,1
486,-36.5,71.5,3,2
501,40.5,-41.5,3,1
511,40.5,33.5,3,1
511,37.5,35.5,3,1
529,-42.5,26.5,3,2
559,26.5,52.5,3,11
577,24.5,49.5,3,1
618,4.5,64.5,3,1
647,45.5,29.5,3,1
694,67.5,71.5,3,1
695,-36.5,71.5,3,2
728,59.5,31.5,3,1
761,23.5,34.5,3,1
789,43.5,-15.5,3,3
802,43.5,-15.5,3,3
825,45.5,29.5,3,1
838,143.5,60.5,3,1
845,33.5,15.5,3,1
851,29.5,26.5,3,1
877,143.5,60.5,3,1
911,-43.5,23.5,3,9
911,-44.5,21.5,3,8
958,14.5,64.5,3,1
66,38.5,25.5,4,2
66,30.5,27.5,4,6
73,28.5,60.5,4,1
78,11.5,28.5,4,5
91,59.5,40.5,4,2
91,77.5,72.5,4,2
112,146.5,63.5,4,1
114,32.5,12.5,4,1
129,21.5,16.5,4,1
206,57.5,53.5,4,1
206,50.5,41.5,4,1
265,40.5,-41.5,4,1
275,43.5,-15.5,4,3
328,-44.5,21.5,4,8
337,-44.5,21.5,4,8
363,33.5,15.5,4,1
388,-42.5,26.5,4,2
388,-46.5,25.5,4,3
398,50.5,41.5,4,1
425,50.5,41.5,4,1
440,27.5,60.5,4,18
441,33.5,15.5,4,1
534,67.5,71.5,4,1
556,45.5,29.5,4,1
