"id","x","y","rep","collections"
1,129.5,28.5,1,1
16,122.5,-5.5,1,1
23,119.5,-30.5,1,2
28,122.5,-8.5,1,9
29,120.5,-8.5,1,2
29,121.5,-6.5,1,3
31,121.5,-6.5,1,3
31,119.5,-8.5,1,1
31,120.5,-7.5,1,4
33,129.5,6.5,1,1
64,35.5,43.5,1,1
75,166.5,-75.5,1,12
75,165.5,-73.5,1,30
75,167.5,-73.5,1,6
91,113.5,-33.5,1,1
91,119.5,-30.5,1,2
111,30.5,-10.5,1,1
127,-38.5,30.5,1,2
167,22.5,44.5,1,2
187,123.5,-12.5,1,1
203,48.5,-24.5,1,7
203,48.5,-22.5,1,21
204,52.5,-35.5,1,1
207,121.5,-7.5,1,1
226,132.5,5.5,1,80
226,129.5,9.5,1,1
242,115.5,-32.5,1,1
266,121.5,-14.5,1,1
266,132.5,30.5,1,2
273,119.5,-30.5,1,2
277,133.5,30.5,1,2
285,73.5,-47.5,1,1
294,115.5,-32.5,1,1
294,115.5,-30.5,1,3
307,77.5,-24.5,1,6
313,120.5,-7.5,1,4
313,123.5,-10.5,1,3
330,36.5,42.5,1,12
345,19.5,-4.5,1,7
386,42.5,36.5,1,1
394,44.5,-16.5,1,3
401,52.5,-33.5,1,1
403,48.5,29.5,1,3
422,37.5,38.5,1,1
501,29.5,-11.5,1,3
505,120.5,-7.5,1,4
505,123.5,-10.5,1,3
505,120.5,-8.5,1,2
535,115.5,-12.5,1,8
536,45.5,-18.5,1,1
545,118.5,-14.5,1,1
545,121.5,-14.5,1,1
545,120.5,-8.5,1,2
549,52.5,-35.5,1,1
549,50.5,-36.5,1,5
555,132.5,5.5,1,80
561,48.5,-22.5,1,21
565,129.5,5.5,1,1
575,127.5,11.5,1,4
575,127.5,5.5,1,10
575,129.5,6.5,1,1
596,119.5,-30.5,1,2
599,44.5,35.5,1,1
600,0.5,43.5,1,2
605,166.5,-73.5,1,22
605,165.5,-73.5,1,30
621,-38.5,30.5,1,2
628,48.5,-22.5,1,21
628,52.5,-28.5,1,1
645,113.5,-33.5,1,1
656,19.5,-4.5,1,7
656,29.5,-11.5,1,3
661,149.5,-62.5,1,1
674,37.5,38.5,1,1
700,52.5,-33.5,1,1
751,122.5,-7.5,1,5
755,20.5,-4.5,1,52
757,42.5,36.5,1,1
769,53.5,-33.5,1,2
789,73.5,-47.5,1,1
800,168.5,-75.5,1,1
800,167.5,-76.5,1,13
822,159.5,-71.5,1,2
855,166.5,-73.5,1,22
861,122.5,-5.5,1,1
861,122.5,-9.5,1,7
866,127.5,5.5,1,10
866,132.5,5.5,1,80
877,47.5,29.5,1,21
882,36.5,42.5,1,12
883,119.5,-30.5,1,2
894,123.5,-11.5,1,1
894,123.5,-12.5,1,1
894,121.5,-14.5,1,1
894,120.5,-7.5,1,4
894,121.5,-7.5,1,1
894,122.5,-11.5,1,1
953,19.5,-4.5,1,7
953,20.5,-4.5,1,52
972,42.5,36.5,1,1
977,120.5,-7.5,1,4
988,132.5,30.5,1,2
988,133.5,30.5,1,2
999,49.5,31.5,1,1
7,37.5,38.5,2,1
11,161.5,-71.5,2,1
29,161.5,-72.5,2,3
29,163.5,-73.5,2,1
29,165.5,-73.5,2,30
71,160.5,-72.5,2,2
71,162.5,-72.5,2,1
74,36.5,42.5,2,12
102,121.5,-6.5,2,3
102,119.5,-8.5,2,1
102,122.5,-8.5,2,9
102,121.5,-14.5,2,1
102,122.5,-7.5,2,5
102,121.5,-7.5,2,1
106,113.5,-33.5,2,1
119,164.5,-73.5,2,3
140,52.5,-33.5,2,1
140,53.5,-35.5,2,1
140,51.5,-36.5,2,34
140,52.5,-35.5,2,1
167,8.5,44.5,2,1
