"id","x","y","rep","collections"
4,70.5,-25.5,1,417
7,-41.5,20.5,1,7
38,22.5,0.5,1,45
40,99.5,-14.5,1,5
42,111.5,-36.5,1,9
47,6.5,38.5,1,27
48,14.5,27.5,1,1
54,80.5,6.5,1,5
68,26.5,31.5,1,1
75,57.5,36.5,1,40
84,-32.5,82.5,1,4
88,123.5,3.5,1,5
88,125.5,11.5,1,24
88,126.5,6.5,1,69
98,-8.5,46.5,1,3
124,129.5,9.5,1,32
125,117.5,-8.5,1,1
126,6.5,38.5,1,27
126,6.5,36.5,1,40
137,10.5,55.5,1,2
142,49.5,-8.5,1,2
143,123.5,3.5,1,5
143,126.5,6.5,1,69
143,126.5,9.5,1,51
148,-1.5,49.5,1,7
152,30.5,46.5,1,2
169,115.5,-6.5,1,1
195,52.5,-16.5,1,4
195,47.5,-16.5,1,18
199,10.5,25.5,1,8
199,8.5,24.5,1,25
203,-11.5,75.5,1,2
203,-6.5,75.5,1,2
210,-10.5,77.5,1,1
213,125.5,14.5,1,10
227,52.5,-16.5,1,4
227,47.5,-10.5,1,43
268,100.5,40.5,1,1
268,104.5,39.5,1,25
284,6.5,36.5,1,40
315,22.5,0.5,1,45
315,19.5,2.5,1,3
337,-11.5,75.5,1,2
345,99.5,-14.5,1,5
348,125.5,11.5,1,24
348,126.5,6.5,1,69
371,-47.5,15.5,1,3
371,-43.5,16.5,1,43
373,-8.5,72.5,1,2
374,92.5,1.5,1,3
380,-41.5,20.5,1,7
402,78.5,-37.5,1,45
404,135.5,13.5,1,52
418,145.5,38.5,1,23
419,-10.5,77.5,1,1
419,-11.5,75.5,1,2
422,129.5,9.5,1,32
422,123.5,6.5,1,73
425,17.5,28.5,1,1
443,20.5,10.5,1,2
463,-3.5,77.5,1,5
472,38.5,-38.5,1,3
474,-11.5,75.5,1,2
483,70.5,-25.5,1,417
507,123.5,6.5,1,73
507,129.5,7.5,1,45
537,77.5,6.5,1,4
568,38.5,-38.5,1,3
569,20.5,27.5,1,31
569,17.5,28.5,1,1
583,49.5,-8.5,1,2
583,48.5,-8.5,1,172
597,-8.5,46.5,1,3
599,126.5,4.5,1,38
604,76.5,-33.5,1,29
608,111.5,-36.5,1,9
636,-47.5,15.5,1,3
643,8.5,24.5,1,25
676,47.5,-16.5,1,18
687,-32.5,82.5,1,4
724,8.5,24.5,1,25
724,12.5,26.5,1,164
724,23.5,23.5,1,1
734,77.5,6.5,1,4
742,22.5,0.5,1,45
743,22.5,0.5,1,45
753,148.5,-79.5,1,2
755,19.5,2.5,1,3
762,20.5,27.5,1,31
762,18.5,26.5,1,15
762,17.5,28.5,1,1
774,-17.5,80.5,1,3
774,-8.5,80.5,1,1
785,126.5,6.5,1,69
797,156.5,-76.5,1,11
802,112.5,-2.5,1,9
809,-10.5,77.5,1,1
819,78.5,-37.5,1,45
826,126.5,4.5,1,38
826,126.5,6.5,1,69
833,42.5,45.5,1,1
843,22.5,0.5,1,45
859,152.5,21.5,1,27
860,24.5,33.5,1,86
860,21.5,30.5,1,6
870,-46.5,17.5,1,141
880,129.5,9.5,1,32
880,126.5,9.5,1,51
882,10.5,55.5,1,2
909,117.5,-8.5,1,1
955,-8.5,72.5,1,2
957,129.5,9.5,1,32
958,121.5,-16.5,1,1
958,116.5,-19.5,1,2
964,-6.5,75.5,1,2
987,111.5,-36.5,1,9
3,120.5,28.5,2,2
3,123.5,27.5,2,9
13,78.5,-37.5,2,45
13,81.5,-39.5,2,2
43,152.5,21.5,2,27
43,154.5,24.5,2,1
61,112.5,-2.5,2,9
106,19.5,2.5,2,3
109,125.5,11.5,2,24
109,129.5,12.5,2,13
115,-1.5,49.5,2,7
116,19.5,2.5,2,3
117,126.5,9.5,2,51
117,126.5,6.5,2,69
117,123.5,6.5,2,73
118,77.5,6.5,2,4
118,80.5,6.5,2,5
122,52.5,-16.5,2,4
140,-10.5,77.5,2,1
152,125.5,11.5,2,24
153,123.5,6.5,2,73
153,122.5,8.5,2,81
162,19.5,2.5,2,3
162,22.5,0.5,2,45
175,6.5,38.5,2,27
194,42.5,45.5,2,1
207,126.5,6.5,2,69
210,146.5,-57.5,2,10
234,-32.5,82.5,2,4
253,48.5,-8.5,2,172
253,49.5,-8.5,2,2
269,-17.5,80.5,2,3
287,117.5,-8.5,2,1
334,145.5,38.5,2,23
375,154.5,24.5,2,1
376,40.5,-6.5,2,1
390,80.5,6.5,2,5
402,145.5,38.5,2,23
407,47.5,-16.5,2,18
408,111.5,-36.5,2,9
419,-7.5,45.5,2,2
419,-1.5,49.5,2,7
