"id","x","y","rep","collections"
33,-1.5,45.5,1,108
49,60.5,-1.5,1,1
51,-167.5,-57.5,1,1
89,27.5,18.5,1,1
89,20.5,18.5,1,1
107,49.5,37.5,1,1
111,27.5,18.5,1,1
135,4.5,27.5,1,2
152,-71.5,28.5,1,4
177,5.5,40.5,1,3
177,14.5,36.5,1,3
186,49.5,37.5,1,1
257,-70.5,20.5,1,1
287,41.5,15.5,1,1
351,-64.5,30.5,1,1
399,34.5,35.5,1,1
410,62.5,7.5,1,55
410,61.5,10.5,1,9
411,-59.5,34.5,1,3
430,11.5,37.5,1,28
475,60.5,-1.5,1,1
497,14.5,36.5,1,3
497,11.5,37.5,1,28
512,3.5,24.5,1,2
531,141.5,56.5,1,1
536,62.5,7.5,1,55
575,-44.5,40.5,1,1
585,-10.5,26.5,1,7
591,4.5,27.5,1,2
617,141.5,56.5,1,1
653,3.5,24.5,1,2
697,-81.5,17.5,1,1
707,71.5,13.5,1,11
747,-162.5,-57.5,1,9
759,-4.5,10.5,1,4
776,-4.5,45.5,1,36
788,-166.5,-55.5,1,1
792,60.5,-1.5,1,1
809,32.5,21.5,1,1
810,27.5,18.5,1,1
840,-48.5,4.5,1,3
855,20.5,18.5,1,1
855,27.5,18.5,1,1
857,-166.5,-55.5,1,1
879,61.5,43.5,1,2
889,32.5,21.5,1,1
891,-31.5,-29.5,1,1
899,-10.5,26.5,1,7
902,61.5,10.5,1,9
902,59.5,6.5,1,3
913,-162.5,-57.5,1,9
917,-1.5,47.5,1,1
929,-166.5,-55.5,1,1
962,32.5,21.5,1,1
997,41.5,15.5,1,1
114,7.5,27.5,2,3
123,-162.5,-57.5,2,9
167,-19.5,9.5,2,1
225,141.5,51.5,2,1
247,-1.5,47.5,2,1
247,1.5,48.5,2,1
275,4.5,50.5,2,2
276,41.5,15.5,2,1
291,-83.5,27.5,2,14
294,24.5,37.5,2,1
300,41.5,15.5,2,1
351,-4.5,45.5,2,36
375,-79.5,29.5,2,2
401,71.5,13.5,2,11
404,34.5,35.5,2,1
407,27.5,18.5,2,1
423,24.5,37.5,2,1
451,-79.5,29.5,2,2
455,-166.5,-55.5,2,1
470,62.5,7.5,2,55
478,-60.5,3.5,2,73
508,71.5,13.5,2,11
519,59.5,6.5,2,3
519,61.5,10.5,2,9
525,24.5,37.5,2,1
534,-44.5,40.5,2,1
542,49.5,37.5,2,1
546,-70.5,20.5,2,1
550,66.5,9.5,2,4
550,62.5,7.5,2,55
614,1.5,48.5,2,1
652,14.5,36.5,2,3
664,3.5,24.5,2,2
673,57.5,1.5,2,4
674,152.5,-47.5,2,4
681,-59.5,-67.5,2,37
706,-81.5,17.5,2,1
783,24.5,37.5,2,1
810,62.5,15.5,2,21
820,27.5,18.5,2,1
843,14.5,36.5,2,3
879,18.5,27.5,2,1
886,-166.5,-55.5,2,1
913,-166.5,-55.5,2,1
914,-67.5,30.5,2,1
940,151.5,-45.5,2,1
982,35.5,41.5,2,1
8,-31.5,-29.5,3,1
22,3.5,24.5,3,2
24,-79.5,29.5,3,2
72,-10.5,26.5,3,7
72,4.5,27.5,3,2
74,49.5,37.5,3,1
76,-71.5,28.5,3,4
100,-167.5,-57.5,3,1
100,-166.5,-55.5,3,1
100,-162.5,-57.5,3,9
105,32.5,21.5,3,1
118,66.5,9.5,3,4
144,61.5,43.5,3,2
153,-44.5,40.5,3,1
165,14.5,36.5,3,3
181,-48.5,4.5,3,3
192,38.5,1.5,3,9
247,71.5,13.5,3,11
289,24.5,37.5,3,1
328,17.5,23.5,3,1
346,-70.5,20.5,3,1
371,-83.5,27.5,3,14
375,41.5,15.5,3,1
396,35.5,41.5,3,1
396,61.5,43.5,3,2
409,11.5,37.5,3,28
411,27.5,18.5,3,1
417,57.5,1.5,3,4
444,66.5,9.5,3,4
486,20.5,18.5,3,1
489,60.5,-1.5,3,1
501,24.5,37.5,3,1
516,59.5,6.5,3,3
516,66.5,9.5,3,4
528,20.5,18.5,3,1
528,27.5,18.5,3,1
553,49.5,37.5,3,1
560,-4.5,45.5,3,36
560,-1.5,47.5,3,1
560,-1.5,45.5,3,108
576,-60.5,3.5,3,73
579,4.5,27.5,3,2
635,62.5,15.5,3,21
635,62.5,5.5,3,2
690,4.5,27.5,3,2
709,38.5,1.5,3,9
721,4.5,27.5,3,2
728,-81.5,17.5,3,1
728,-83.5,27.5,3,14
746,0.5,53.5,3,80
801,-19.5,9.5,3,1
807,10.5,21.5,3,1
812,129.5,39.5,3,3
837,-60.5,3.5,3,73
875,-166.5,-55.5,3,1
877,65.5,17.5,3,36
924,-70.5,20.5,3,1
930,141.5,56.5,3,1
938,7.5,27.5,3,3
19,32.5,21.5,4,1
32,61.5,43.5,4,2
63,3.5,24.5,4,2
71,61.5,43.5,4,2
95,-67.5,30.5,4,1
95,-71.5,28.5,4,4
108,49.5,37.5,4,1
164,3.5,24.5,4,2
173,3.5,24.5,4,2
173,4.5,27.5,4,2
191,-19.5,9.5,4,1
217,-70.5,20.5,4,1
233,71.5,13.5,4,11
270,71.5,13.5,4,11
294,4.5,27.5,4,2
324,-59.5,-67.5,4,37
329,-105.5,49.5,4,30
335,62.5,15.5,4,21
373,3.5,24.5,4,2
376,3.5,24.5,4,2
376,4.5,27.5,4,2
380,-167.5,-57.5,4,1
386,17.5,23.5,4,1
387,-9.5,28.5,4,4
389,35.5,41.5,4,1
396,10.5,21.5,4,1
402,62.5,15.5,4,21
416,7.5,27.5,4,3
418,-166.5,-55.5,4,1
448,-67.5,30.5,4,1
448,-71.5,28.5,4,4
450,-70.5,20.5,4,1
453,-64.5,30.5,4,1
455,7.5,27.5,4,3
455,11.5,37.5,4,28
455,10.5,21.5,4,1
477,20.5,18.5,4,1
477,27.5,18.5,4,1
485,-44.5,40.5,4,1
489,17.5,23.5,4,1
490,0.5,53.5,4,80
494,38.5,1.5,4,9
503,65.5,17.5,4,36
504,151.5,-45.5,4,1
512,1.5,48.5,4,1
527,62.5,15.5,4,21
533,59.5,6.5,4,3
554,3.5,24.5,4,2
610,62.5,7.5,4,55
635,14.5,36.5,4,3
661,35.5,41.5,4,1
