"id","x","y","rep","collections"
26,22.5,36.5,1,5
27,-77.5,32.5,1,8
27,-81.5,32.5,1,2
29,-3.5,37.5,1,12
29,3.5,42.5,1,8
41,112.5,-7.5,1,1
53,112.5,-7.5,1,1
67,-83.5,10.5,1,11
67,-74.5,10.5,1,44
67,-68.5,12.5,1,13
78,141.5,45.5,1,8
85,11.5,42.5,1,31
90,-117.5,34.5,1,44
98,119.5,25.5,1,4
110,122.5,27.5,1,4
110,137.5,37.5,1,3
111,-55.5,-37.5,1,1
145,130.5,32.5,1,2
153,-77.5,27.5,1,40
171,63.5,24.5,1,4
173,-56.5,-64.5,1,1
178,174.5,-46.5,1,2
186,141.5,52.5,1,1
189,15.5,39.5,1,1
190,-81.5,32.5,1,2
197,138.5,42.5,1,1
199,-160.5,55.5,1,3
206,-71.5,12.5,1,3
206,-74.5,10.5,1,44
218,3.5,39.5,1,3
230,-117.5,34.5,1,44
230,-114.5,31.5,1,36
237,-74.5,10.5,1,44
242,138.5,42.5,1,1
243,-68.5,12.5,1,13
244,164.5,60.5,1,1
245,145.5,-20.5,1,1
250,164.5,60.5,1,1
260,29.5,44.5,1,2
266,130.5,32.5,1,2
266,145.5,13.5,1,1
266,139.5,34.5,1,5
269,3.5,42.5,1,8
269,-0.5,39.5,1,5
272,-81.5,25.5,1,3
276,-56.5,-64.5,1,1
285,63.5,24.5,1,4
295,33.5,34.5,1,1
302,-55.5,-37.5,1,1
304,178.5,-41.5,1,8
316,145.5,-12.5,1,1
323,145.5,13.5,1,1
330,138.5,40.5,1,2
330,134.5,42.5,1,2
333,-71.5,9.5,1,4
333,-68.5,12.5,1,13
344,134.5,42.5,1,2
344,141.5,42.5,1,9
344,138.5,40.5,1,2
344,141.5,40.5,1,5
344,138.5,42.5,1,1
346,-56.5,-64.5,1,1
361,141.5,40.5,1,5
361,141.5,42.5,1,9
361,141.5,45.5,1,8
362,-56.5,-64.5,1,1
371,137.5,37.5,1,3
380,-59.5,-39.5,1,6
403,142.5,-40.5,1,9
403,146.5,-40.5,1,10
403,149.5,-40.5,1,4
403,138.5,-37.5,1,1
409,-71.5,9.5,1,4
409,-74.5,10.5,1,44
409,-62.5,10.5,1,20
418,-62.5,10.5,1,20
422,142.5,-40.5,1,9
443,-62.5,10.5,1,20
448,145.5,-12.5,1,1
451,-83.5,10.5,1,11
460,-71.5,12.5,1,3
460,-71.5,9.5,1,4
463,178.5,-38.5,1,8
463,178.5,-41.5,1,8
475,119.5,25.5,1,4
477,-81.5,25.5,1,3
489,78.5,-67.5,1,1
495,-114.5,31.5,1,36
503,134.5,42.5,1,2
527,-81.5,30.5,1,1
528,-96.5,27.5,1,1
544,-71.5,20.5,1,79
544,-83.5,10.5,1,11
557,178.5,-38.5,1,8
557,178.5,-41.5,1,8
568,-59.5,-39.5,1,6
581,3.5,52.5,1,16
587,141.5,45.5,1,8
587,138.5,40.5,1,2
587,141.5,42.5,1,9
587,141.5,40.5,1,5
603,-71.5,9.5,1,4
603,-71.5,12.5,1,3
603,-59.5,10.5,1,22
606,59.5,27.5,1,1
609,178.5,-38.5,1,8
610,7.5,44.5,1,11
610,18.5,39.5,1,1
610,15.5,39.5,1,1
632,11.5,42.5,1,31
634,18.5,-35.5,1,1
649,-71.5,20.5,1,79
651,-71.5,9.5,1,4
657,63.5,24.5,1,4
680,7.5,44.5,1,11
686,7.5,52.5,1,5
690,146.5,-40.5,1,10
692,137.5,37.5,1,3
692,141.5,45.5,1,8
692,141.5,40.5,1,5
697,-68.5,12.5,1,13
703,174.5,-46.5,1,2
709,119.5,-4.5,1,1
711,7.5,44.5,1,11
717,119.5,-7.5,1,1
724,146.5,-40.5,1,10
724,142.5,-40.5,1,9
731,-7.5,37.5,1,13
733,3.5,39.5,1,3
738,138.5,40.5,1,2
742,3.5,52.5,1,16
744,55.5,26.5,1,3
752,26.5,34.5,1,4
752,29.5,44.5,1,2
752,33.5,34.5,1,1
752,3.5,39.5,1,3
752,3.5,42.5,1,8
