"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",244.77,223.85,263.525
2,75,60,67.5,"N",223.78,201,249
3,60,45,52.5,"N",196.02,170.475,216.575
4,45,30,37.5,"N",208.68,185.425,234.525
5,30,15,22.5,"N",168.7,148.425,193.625
6,15,0,7.5,"N",117.3,99,134.575
7,0,-15,-7.5,"S",59.73,45.475,71.525
8,-15,-30,-22.5,"S",74.01,60,89
9,-30,-45,-37.5,"S",80.65,63.95,96.525
10,-45,-60,-52.5,"S",56.98,44.95,68.525
11,-60,-75,-67.5,"S",145.19,125,166.05
12,-75,-90,-82.5,"S",93.34,72.8,111.625
