"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",166.52,143.475,191.525
2,75,60,67.5,"N",157.88,136.475,181
3,60,45,52.5,"N",196.14,171.95,218.525
4,45,30,37.5,"N",199.94,177.475,220.525
5,30,15,22.5,"N",166.39,148.475,189.05
6,15,0,7.5,"N",125.91,109,148.05
7,0,-15,-7.5,"S",86.88,70.475,104
8,-15,-30,-22.5,"S",117.34,101.475,138
9,-30,-45,-37.5,"S",124.66,106.95,141.525
10,-45,-60,-52.5,"S",126.6,103.9,145
11,-60,-75,-67.5,"S",140.98,117.9,163
12,-75,-90,-82.5,"S",66.83,52.475,82
