"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",208.95,182.425,232
2,75,60,67.5,"N",178.36,152.475,202.1
3,60,45,52.5,"N",166.8,147,187
4,45,30,37.5,"N",214.73,189.475,240.525
5,30,15,22.5,"N",195.21,164.9,224
6,15,0,7.5,"N",141.84,121.475,164.525
7,0,-15,-7.5,"S",108.88,89.95,128
8,-15,-30,-22.5,"S",92.24,75.475,110.525
9,-30,-45,-37.5,"S",123.87,106.475,142.575
10,-45,-60,-52.5,"S",154.79,133.9,174.525
11,-60,-75,-67.5,"S",175.54,154,195.525
12,-75,-90,-82.5,"S",88.76,69.475,102.525
