"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",145,117.225,165.525
2,75,60,67.5,"N",181.25,158.475,204.525
3,60,45,52.5,"N",184.6,163,209.05
4,45,30,37.5,"N",214.19,187.375,238.525
5,30,15,22.5,"N",238.93,214.475,266.05
6,15,0,7.5,"N",162.42,142.375,184
7,0,-15,-7.5,"S",140.83,121.475,158
8,-15,-30,-22.5,"S",136.11,117.475,154
9,-30,-45,-37.5,"S",76.41,60.425,91
10,-45,-60,-52.5,"S",25.37,15,35.525
11,-60,-75,-67.5,"S",61.15,48,75
12,-75,-90,-82.5,"S",80.47,64.425,95.525
