"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",193.95,171,223.525
2,75,60,67.5,"N",227.66,198.95,253.05
3,60,45,52.5,"N",217.64,190.95,238
4,45,30,37.5,"N",213.33,188.425,237
5,30,15,22.5,"N",175.01,149.75,197.525
6,15,0,7.5,"N",150.49,128.95,174.05
7,0,-15,-7.5,"S",131.79,111.475,151.525
8,-15,-30,-22.5,"S",130.26,109,151.05
9,-30,-45,-37.5,"S",124.29,103,141
10,-45,-60,-52.5,"S",105.91,91,122.575
11,-60,-75,-67.5,"S",147.68,127.95,170.575
12,-75,-90,-82.5,"S",97.38,80,112.525
