"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",245.17,219.475,269.525
2,75,60,67.5,"N",240.8,214,266.525
3,60,45,52.5,"N",215.77,195,239.05
4,45,30,37.5,"N",221.97,201.475,247.625
5,30,15,22.5,"N",209.08,185.9,237
6,15,0,7.5,"N",147.03,125.95,170.525
7,0,-15,-7.5,"S",77.75,59,94.525
8,-15,-30,-22.5,"S",71.12,57,85.525
9,-30,-45,-37.5,"S",97.63,80.425,113.525
10,-45,-60,-52.5,"S",120.72,102.95,140
11,-60,-75,-67.5,"S",142.17,124,163.05
12,-75,-90,-82.5,"S",81.03,65.475,94.525
