"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",232.77,207,264.525
2,75,60,67.5,"N",216.13,190.9,241.525
3,60,45,52.5,"N",270.15,242.95,302
4,45,30,37.5,"N",232.19,208.95,258.05
5,30,15,22.5,"N",202.83,177.475,229.1
6,15,0,7.5,"N",170.45,148.425,192.525
7,0,-15,-7.5,"S",139.98,118.475,161.625
8,-15,-30,-22.5,"S",129.42,108.95,154
9,-30,-45,-37.5,"S",70.37,55.425,86.525
10,-45,-60,-52.5,"S",52.44,39.475,64
11,-60,-75,-67.5,"S",81.38,66,98
12,-75,-90,-82.5,"S",39.95,29.475,51
