"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",182.79,159.425,204
2,75,60,67.5,"N",243.61,214.95,276.525
3,60,45,52.5,"N",204.85,178.425,233.1
4,45,30,37.5,"N",201.69,175.475,224.05
5,30,15,22.5,"N",175.74,155.95,199.575
6,15,0,7.5,"N",108.19,93,124.525
7,0,-15,-7.5,"S",55.11,43.475,71.525
8,-15,-30,-22.5,"S",97,81.475,116
9,-30,-45,-37.5,"S",106.5,89.475,121.05
10,-45,-60,-52.5,"S",83.14,65.475,101
11,-60,-75,-67.5,"S",60.1,48.475,74.05
12,-75,-90,-82.5,"S",130.96,110,153.05
