"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",172.84,149,194.05
2,75,60,67.5,"N",229.97,209.475,249.525
3,60,45,52.5,"N",277.7,254,309.05
4,45,30,37.5,"N",307.91,285.475,331.2
5,30,15,22.5,"N",201.96,183.475,223.05
6,15,0,7.5,"N",86.08,68.475,104.625
7,0,-15,-7.5,"S",71.66,56.475,86
8,-15,-30,-22.5,"S",83.92,66,100.525
9,-30,-45,-37.5,"S",70.25,58,85
10,-45,-60,-52.5,"S",43.8,33,55.05
11,-60,-75,-67.5,"S",55.95,44,69
12,-75,-90,-82.5,"S",49.81,38.475,66.05
