"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",295.88,268.9,325.675
2,75,60,67.5,"N",408.44,382.95,439.05
3,60,45,52.5,"N",266.95,244.8,290.525
4,45,30,37.5,"N",177.1,154,202.05
5,30,15,22.5,"N",152.2,127.95,176.625
6,15,0,7.5,"N",145.27,122.9,167.05
7,0,-15,-7.5,"S",122.23,103.425,139
8,-15,-30,-22.5,"S",92.26,77.95,110.525
9,-30,-45,-37.5,"S",79.35,64.95,98.6749999999999
10,-45,-60,-52.5,"S",63.19,50.475,78.525
11,-60,-75,-67.5,"S",67.21,54,81.525
12,-75,-90,-82.5,"S",35.22,24.95,45.525
