"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",76.17,60.475,95.05
2,75,60,67.5,"N",216.66,191.475,243.575
3,60,45,52.5,"N",306.78,273.475,338.1
4,45,30,37.5,"N",224.09,198.475,248
5,30,15,22.5,"N",233.38,210.475,255.05
6,15,0,7.5,"N",147.26,123.9,171.625
7,0,-15,-7.5,"S",103.94,84.325,122.05
8,-15,-30,-22.5,"S",118.08,100.475,134.525
9,-30,-45,-37.5,"S",43.68,33,56.05
10,-45,-60,-52.5,"S",41.87,31,55
11,-60,-75,-67.5,"S",74.9,60,90
12,-75,-90,-82.5,"S",0,0,0
