"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",151.57,122.375,171.525
2,75,60,67.5,"N",165.04,144.9,187.525
3,60,45,52.5,"N",212.12,190.475,236.05
4,45,30,37.5,"N",227.94,204.95,254.525
5,30,15,22.5,"N",148.84,124.475,170
6,15,0,7.5,"N",121.33,101.475,144.525
7,0,-15,-7.5,"S",151.22,135,170.05
8,-15,-30,-22.5,"S",201.02,180,218
9,-30,-45,-37.5,"S",204.24,180.475,228.525
10,-45,-60,-52.5,"S",125.23,106,147.525
11,-60,-75,-67.5,"S",109.23,91.475,127
12,-75,-90,-82.5,"S",81.94,66.9,97.05
