"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",181.71,158,202.625
2,75,60,67.5,"N",180.04,155,202.625
3,60,45,52.5,"N",210.36,187.475,233.525
4,45,30,37.5,"N",206.29,184,231.2
5,30,15,22.5,"N",176.31,154.425,197
6,15,0,7.5,"N",116.12,96.9,134.525
7,0,-15,-7.5,"S",68.62,51.425,83.05
8,-15,-30,-22.5,"S",92.4,71.475,111.15
9,-30,-45,-37.5,"S",100.71,81.475,121
10,-45,-60,-52.5,"S",122.02,102,141
11,-60,-75,-67.5,"S",139.84,124.475,159
12,-75,-90,-82.5,"S",67.02,49.475,82
