"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",145.91,123.475,165
2,75,60,67.5,"N",124.42,108,144.525
3,60,45,52.5,"N",122.38,104.475,140.525
4,45,30,37.5,"N",147.34,127.375,171.05
5,30,15,22.5,"N",105.61,89,125
6,15,0,7.5,"N",83.81,68.475,104.1
7,0,-15,-7.5,"S",91.04,72.475,107.525
8,-15,-30,-22.5,"S",143.08,124,161.525
9,-30,-45,-37.5,"S",176.86,156,198
10,-45,-60,-52.5,"S",182.22,159.95,206.05
11,-60,-75,-67.5,"S",203.84,172.475,231.525
12,-75,-90,-82.5,"S",246.97,219.95,271
